Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																			
Дата голосования: 04.12.2011																																																																			
																																																																			
Наименование Избирательной комиссии:    Анжеро-Судженская городская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
1	"Число избирателей, внесенных в список избирателей"	67066	1041	789	1163	844	968	1482	1533	1496	1082	1563	1195	1459	1601	1328	1015	1418	839	937	1165	1677	946	1348	1216	1483	1336	728	808	1133	471	642	937	811	826	1057	675	1111	929	899	866	1125	903	683	969	1009	294	884	1410	1358	812	295	1515	1297	1355	1545	1464	1754	1716	1337	1202	1322					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	59300	900	700	1000	750	850	1350	1400	1300	950	1400	1100	1300	1400	1200	900	1300	750	850	1050	1500	900	1200	1100	1300	1200	650	700	950	400	550	800	700	700	900	600	1000	850	800	800	950	800	600	850	900	250	800	1250	1250	650	250	1400	1100	1200	1400	1300	1600	1500	1000	1100	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	40588	588	333	555	664	764	1258	1249	1213	511	850	703	756	1098	683	478	1102	371	378	890	747	517	555	678	755	1104	467	364	476	316	437	484	458	509	634	331	702	522	743	498	619	596	460	734	505	166	399	781	864	470	164	864	1013	795	1321	825	1132	1420	521	563	635					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4492	47	25	18	43	53	65	78	75	46	54	70	90	40	68	111	150	36	217	62	79	21	70	57	13	60	89	55	168	22	38	33	25	70	209	100	84	57	57	61	32	58	44	83	52	81	21	149	94	34	25	59	71	77	69	34	43	46	415	192	97					
6	Число погашенных избирательных бюллетеней	14220	265	342	427	43	33	27	73	12	393	496	327	454	262	449	311	48	343	255	98	674	362	575	365	532	36	94	281	306	62	75	283	217	121	57	169	214	271	0	241	299	146	96	33	343	3	380	320	292	146	61	477	16	328	10	441	425	34	64	345	368					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4492	47	25	18	43	53	65	78	75	46	54	70	90	40	68	111	150	36	217	62	79	21	70	57	13	60	89	55	168	22	38	33	25	70	209	100	84	57	57	61	32	58	44	83	52	81	21	149	94	34	25	59	71	77	69	34	43	46	415	192	97					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	40582	588	333	555	664	764	1258	1249	1213	511	850	703	756	1092	683	478	1102	371	378	890	747	517	555	678	755	1104	467	364	476	316	437	484	458	509	634	331	702	522	743	498	619	596	460	734	505	166	399	781	864	470	164	864	1013	795	1321	825	1132	1420	521	563	635					
9	Число недействительных избирательных бюллетеней	1137	32	6	11	16	9	13	19	37	45	18	17	17	21	12	16	14	6	0	0	17	13	10	26	24	17	14	8	159	8	56	7	11	13	4	13	17	10	2	83	10	9	35	52	17	6	10	8	10	5	2	25	6	15	14	22	23	8	9	17	13					
10	Число действительных избирательных бюллетеней	43937	603	352	562	691	808	1310	1308	1251	512	886	756	829	1111	739	573	1238	401	595	952	809	525	615	709	744	1147	542	411	485	330	419	510	472	566	839	418	769	569	798	476	641	645	469	765	540	241	410	922	948	499	187	898	1078	857	1376	837	1152	1458	927	738	719					
