Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Анжеро-Судженская городская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60					
1	"Число избирателей, внесенных в списки избирателей"	67782	1030	768	1111	969	1012	1400	1610	1499	1101	1874	826	1551	1538	1055	982	1346	829	1119	1273	1601	956	1463	1287	1614	1365	887	842	1184	417	643	967	839	944	1197	906	1149	963	928	883	614	824	681	1058	1015	310	845	1265	1551	673	340	1656	1326	1558	1572	1831	1821	1660	813	1128	1313					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	58750	900	700	950	750	850	1250	1400	1350	1050	1650	650	1300	1250	850	850	1150	700	900	1100	1400	850	1350	1100	1450	1200	750	700	1000	350	550	800	700	800	1050	800	900	850	850	800	550	700	600	1000	900	250	800	1150	1200	600	300	1450	1200	1300	1400	1600	1600	1450	750	1000	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47775	696	601	910	677	748	1071	1246	1265	930	1405	569	915	782	732	631	939	450	820	1019	1285	796	1162	979	1054	946	599	501	673	334	445	561	643	704	889	582	649	611	757	730	440	500	536	499	726	176	677	877	1063	499	272	1208	885	941	1264	1451	1350	1194	356	742	813					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5322	63	49	40	63	71	57	78	60	97	56	73	84	195	47	134	73	64	78	59	113	35	124	68	82	54	87	70	298	9	76	54	29	93	144	166	157	70	93	30	57	52	50	396	62	21	34	81	86	76	28	66	73	72	64	53	61	65	320	193	119					
6	Число погашенных избирательных бюллетеней	5653	141	50	0	10	31	122	76	25	23	189	8	301	273	71	85	138	186	2	22	2	19	64	53	314	200	64	129	29	7	29	185	28	3	17	52	94	169	0	40	53	148	14	105	112	53	89	192	51	25	0	176	242	287	72	96	189	191	74	65	168					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5322	63	49	40	63	71	57	78	60	97	56	73	84	195	47	134	73	64	78	59	113	35	124	68	82	54	87	70	298	9	76	54	29	93	144	166	157	70	93	30	57	52	50	396	62	21	34	81	86	76	28	66	73	72	64	53	61	65	320	193	119					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47775	696	601	910	677	748	1071	1246	1265	930	1405	569	915	782	732	631	939	450	820	1019	1285	796	1162	979	1054	946	599	501	673	334	445	561	643	704	889	582	649	611	757	730	440	500	536	499	726	176	677	877	1063	499	272	1208	885	941	1264	1451	1350	1194	356	742	813					
9	Число недействительных избирательных бюллетеней	436	4	5	25	3	4	9	6	9	2	20	4	1	5	5	2	18	3	6	3	4	8	7	21	8	8	3	2	1	9	3	6	2	0	4	2	12	5	6	0	4	2	5	16	84	1	0	2	1	0	1	6	9	7	3	12	20	9	1	6	2					
10	Число действительных избирательных бюллетеней	52661	755	645	925	737	815	1119	1318	1316	1025	1441	638	998	972	774	763	994	511	892	1075	1394	823	1279	1026	1128	992	683	569	970	334	518	609	670	797	1029	746	794	676	844	760	493	550	581	879	704	196	711	956	1148	575	299	1268	949	1006	1325	1492	1391	1250	675	929	930					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1489	15	10	10	15	20	20	30	18	10	33	30	30	30	15	30	30	10	25	30	30	10	35	28	50	35	18	40	20	10	10	15	10	15	20	15	25	45	30	30	25	10	30	10	20	10	25	40	30	20	10	80	30	40	32	40	40	40	10	25	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1370	11	10	10	15	20	20	30	18	10	33	29	30	26	15	18	30	10	25	28	22	10	32	28	50	35	18	40	20	9	4	14	10	14	20	13	25	45	21	20	11	10	18	10	20	5	25	40	30	10	8	80	30	33	32	40	40	40	7	23	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1199	23	8	4	28	27	14	15	4	3	20	15	6	9	13	20	17	20	140	15	22	8	17	30	0	9	24	22	69	4	1	4	35	5	13	11	54	10	12	13	11	2	11	19	18	14	2	15	64	36	15	32	22	96	24	12	10	5	17	5	5					
14	Число погашенных неиспользованных открепительных удостоверений	119	4	0	0	0	0	0	0	0	0	0	1	0	4	0	12	0	0	0	2	8	0	3	0	0	0	0	0	0	1	6	1	0	1	0	2	0	0	9	10	14	0	12	0	0	5	0	0	0	10	2	0	0	7	0	0	0	0	3	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
