Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Осинская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157					
1	"Число избирателей, внесенных в списки"	12139	73	136	663	128	225	418	239	239	275	527	711	940	916	377	664	473	260	429	144	736	222	206	1221	651	446	134	592	94					
2	"Число бюллетеней, полученных участковыми комиссиями"	12132	70	140	600	130	230	410	230	220	250	590	748	938	900	386	685	474	254	414	160	720	230	205	1212	648	460	155	578	95					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8235	51	103	447	100	140	296	167	190	210	290	430	559	534	190	350	377	215	341	99	544	124	151	800	493	367	111	493	63					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	738	8	8	52	12	17	24	26	24	27	49	54	35	38	37	50	21	16	24	4	38	34	8	27	23	16	23	22	21					
6	Число погашенных бюллетеней	3159	11	29	101	18	73	90	37	6	13	251	264	344	328	159	285	76	23	49	57	138	72	46	385	132	77	21	63	11					
7	Число бюллетеней в переносных ящиках для голосования	738	8	8	52	12	17	24	26	24	27	49	54	35	38	37	50	21	16	24	4	38	34	8	27	23	16	23	22	21					
8	Число бюллетеней в стационарных ящиках для голосования	8235	51	103	447	100	140	296	167	190	210	290	430	559	534	190	350	377	215	341	99	544	124	151	800	493	367	111	493	63					
9	Число недействительных бюллетеней	244	1	7	13	0	3	15	6	7	7	8	10	13	11	25	10	18	7	10	8	13	4	2	12	15	7	4	7	1					
10	Число действительных бюллетеней	8729	58	104	486	112	154	305	187	207	230	331	474	581	561	202	390	380	224	355	95	569	154	157	815	501	376	130	508	83					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	419	10	10	20	10	10	20	15	15	20	15	21	20	20	15	15	10	15	18	10	20	10	10	20	20	15	10	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	0	1	0	0	2	0	0	1	2	0	5	12	17	0	9	9	0	4	0	0	3	2	6	2	0	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	1	2	4	1	1	0	2	5	2	0	3	10	3	2	1	1	2	5	0	6	2	1	3	2	2	2	1	0					
14	Число погашенных открепительных удостоверений	338	10	9	20	10	8	20	15	14	18	15	16	8	3	15	6	1	15	14	10	20	7	8	14	18	15	10	9	10					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	296	3	3	25	6	4	9	4	7	10	10	12	12	7	6	20	12	7	14	4	23	7	5	26	17	10	7	23	3					
		3.29%	5.08%	2.70%	5.01%	5.35%	2.54%	2.81%	2.07%	3.27%	4.21%	2.94%	2.47%	2.02%	1.22%	2.64%	5.0%	3.01%	3.03%	3.83%	3.88%	3.95%	4.43%	3.14%	3.14%	3.29%	2.61%	5.22%	4.46%	3.57%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	189	2	0	7	0	1	2	0	9	11	2	6	13	14	3	8	4	4	9	5	16	3	5	5	12	17	9	19	3					
		2.10%	3.38%	0.0%	1.40%	0.0%	0.63%	0.62%	0.0%	4.20%	4.64%	0.58%	1.23%	2.18%	2.44%	1.32%	2.0%	1.00%	1.73%	2.46%	4.85%	2.74%	1.89%	3.14%	0.60%	2.32%	4.43%	6.71%	3.68%	3.57%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	244	2	3	18	5	3	7	9	3	7	9	16	15	16	14	10	2	10	7	5	19	6	6	16	8	9	5	12	2					
		2.71%	3.38%	2.70%	3.60%	4.46%	1.91%	2.18%	4.66%	1.40%	2.95%	2.65%	3.30%	2.52%	2.79%	6.16%	2.5%	0.50%	4.32%	1.91%	4.85%	3.26%	3.79%	3.77%	1.93%	1.55%	2.34%	3.73%	2.33%	2.38%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	127	0	7	7	0	0	2	3	2	0	0	15	12	15	1	8	2	4	5	4	12	2	0	12	6	5	1	2	0					
