Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Малгобекская городская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28					
1	"Число избирателей, внесенных в список"	16627	831	1871	2238	1761	1398	1365	1896	1161	983	426	365	360	710	1262					
2	Число полученных избирательных бюллетеней	17110	860	1900	2450	1790	1400	1420	1970	1180	1020	450	360	330	670	1310					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15714	806	1728	2221	1685	1337	1348	1808	1065	913	415	325	302	544	1217					
5	"Число избирательных бюллетеней, выданных вне помещения"	42	1	0	3	1	2	0	0	7	16	0	0	0	12	0					
6	Число погашенных избирательных бюллетеней	1354	53	172	226	104	61	72	162	108	91	35	35	28	114	93					
7	Число избирательных бюллетеней в переносных ящиках	42	1	0	3	1	2	0	0	7	16	0	0	0	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	15714	806	1728	2221	1685	1337	1348	1808	1065	913	415	325	302	544	1217					
9	Число недействительных избирательных бюллетеней	7	0	0	1	0	3	1	2	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	15749	807	1728	2223	1686	1336	1347	1806	1072	929	415	325	302	556	1217					
11	Число полученных открепительных  удостоверений	200	15	16	20	17	15	15	17	15	15	10	10	10	10	15					
12	Число выданных открепительных удостоверений	7	1	0	5	0	0	0	0	0	1	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	193	14	16	15	17	15	15	17	15	14	10	10	10	10	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	21	1	1	1	2	1	2	1	2	1	3	1	2	1	2					
		0.13%	0.12%	0.06%	0.04%	0.12%	0.07%	0.15%	0.06%	0.19%	0.11%	0.72%	0.31%	0.66%	0.18%	0.16%					
19	. Малышкин Олег Александрович	25	2	1	3	1	2	1	2	2	2	2	1	1	2	3					
		0.16%	0.25%	0.06%	0.13%	0.06%	0.15%	0.07%	0.11%	0.19%	0.22%	0.48%	0.31%	0.33%	0.36%	0.25%					
20	. Миронов Сергей Михайлович	146	4	12	10	14	2	8	12	9	8	12	14	19	12	10					
		0.93%	0.50%	0.69%	0.45%	0.83%	0.15%	0.59%	0.66%	0.84%	0.86%	2.89%	4.31%	6.29%	2.16%	0.82%					
21	. Путин Владимир Владимирович	15426	793	1704	2203	1655	1326	1321	1778	1041	911	394	306	275	528	1191					
		97.91%	98.27%	98.61%	99.06%	98.16%	99.03%	98.00%	98.34%	97.11%	98.06%	94.94%	94.15%	91.06%	94.96%	97.86%					
22	. Хакамада Ирина Муцуовна	27	1	2	1	4	1	2	3	2	3	2	1	2	1	2					
		0.17%	0.12%	0.12%	0.04%	0.24%	0.07%	0.15%	0.17%	0.19%	0.32%	0.48%	0.31%	0.66%	0.18%	0.16%					
23	. Харитонов Николай Михайлович	97	6	6	5	8	4	13	10	14	4	1	2	3	12	9					
		0.62%	0.74%	0.35%	0.22%	0.47%	0.30%	0.96%	0.55%	1.31%	0.43%	0.24%	0.62%	0.99%	2.16%	0.74%					
																					
24	Против всех	7	0	2	0	2	0	0	0	2	0	1	0	0	0	0					
		0.04%	0.00%	0.12%	0.00%	0.12%	0.00%	0.00%	0.00%	0.19%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
