Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
"Наименование Избирательной комиссии:    Липецк, Правобережная"																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	65562	680	1071	2077	2384	2130	1996	1631	2541	2473	1911	2666	1544	2134	1919	1833	1339	1295	1393	2126	2308	1960	1943	1778	2129	2185	2539	1480	1617	1967	2219	2546	2229	1755	767	424	118	242	83	130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	62000	700	1000	2000	2200	2100	1900	1600	2500	2400	1800	2500	1500	2000	1900	1800	1300	1200	1300	2000	2200	1900	1900	1700	2000	1800	2000	1400	1500	1700	1700	2500	2100	1700	700	500	150	250	100	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24257	206	329	695	844	772	695	597	931	1115	833	1011	515	609	836	721	628	582	577	775	801	577	521	664	820	924	951	584	476	670	751	888	700	537	288	324	110	242	67	91									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1109	29	26	35	49	28	27	15	37	23	16	39	35	47	18	15	17	38	10	38	56	41	36	17	30	9	28	8	11	43	20	32	41	32	27	79	4	0	14	39									
6	Число погашенных избирательных бюллетеней	36634	465	645	1270	1307	1300	1178	988	1532	1262	951	1450	950	1344	1046	1064	655	580	713	1187	1343	1282	1343	1019	1150	867	1021	808	1013	987	929	1580	1359	1131	385	97	36	8	19	370									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1109	29	26	35	49	28	27	15	37	23	16	39	35	47	18	15	17	38	10	38	56	41	36	17	30	9	28	8	11	43	20	32	41	32	27	79	4	0	14	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24253	206	329	695	843	772	695	597	931	1115	833	1011	515	609	835	721	627	582	576	775	801	577	521	664	820	924	951	584	476	670	751	888	700	537	288	324	110	242	67	91									
9	Число недействительных избирательных бюллетеней	646	6	11	17	19	22	20	13	24	23	19	15	16	18	19	14	21	11	13	27	18	13	16	12	30	23	28	13	10	35	13	22	26	16	6	6	6	14	6	5									
10	Число действительных избирательных бюллетеней	24716	229	344	713	873	778	702	599	944	1115	830	1035	534	638	834	722	623	609	573	786	839	605	541	669	820	910	951	579	477	678	758	898	715	553	309	397	108	228	75	125									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	633	11	10	20	25	20	20	17	30	25	20	25	15	20	20	15	20	10	15	20	25	20	20	15	20	20	25	10	15	20	20	25	20	15	5	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	398	11	6	13	12	19	9	13	29	24	16	17	14	11	15	15	17	9	10	10	15	6	3	8	17	14	7	6	5	7	12	7	9	9	3	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	465	2	3	11	22	5	7	30	8	12	4	13	5	21	9	9	4	12	15	5	26	3	1	36	10	12	5	6	4	34	26	3	6	4	16	13	18	15	4	26									
14	Число погашенных неиспользованных открепительных удостоверений	235	0	4	7	13	1	11	4	1	1	4	8	1	9	5	0	3	1	5	10	10	14	17	7	3	6	18	4	10	13	8	18	11	6	2	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	1	0	1	2	0	0	1	1	2	3	1	1	1	1	3	0	4	1	0	1	1	0	1	1	1	1	1	0	2	1	3	1	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	974	5	9	27	29	24	28	21	54	62	47	41	15	22	27	35	30	23	30	50	34	17	17	34	34	31	23	14	22	28	22	28	29	21	19	8	3	6	2	3									
		3.84%	2.13%	2.54%	3.70%	3.25%	3.00%	3.88%	3.43%	5.58%	5.45%	5.54%	3.90%	2.73%	3.35%	3.17%	4.76%	4.66%	3.71%	5.12%	6.15%	3.97%	2.75%	3.05%	4.99%	4.00%	3.32%	2.35%	2.36%	4.52%	3.93%	2.85%	3.04%	3.91%	3.69%	6.03%	1.99%	2.63%	2.48%	2.47%	2.31%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	555	4	13	11	24	24	13	14	15	25	18	20	17	17	16	17	15	12	13	18	18	12	14	19	24	13	16	7	10	16	9	31	14	16	4	15	3	5	3	0									
		2.19%	1.70%	3.66%	1.51%	2.69%	3.00%	1.80%	2.29%	1.55%	2.20%	2.12%	1.90%	3.09%	2.59%	1.88%	2.31%	2.33%	1.94%	2.22%	2.21%	2.10%	1.94%	2.51%	2.79%	2.82%	1.39%	1.63%	1.18%	2.05%	2.24%	1.17%	3.37%	1.89%	2.81%	1.27%	3.72%	2.63%	2.07%	3.70%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1039	8	22	31	38	48	24	23	39	48	35	39	26	31	37	21	29	33	14	33	37	32	21	26	30	37	37	17	13	31	33	31	34	16	27	19	8	6	3	2									
