Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Тосненская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947					
1	"Число избирателей, внесенных в список избирателей"	88499	2119	2437	2007	1290	938	2798	2100	2016	2168	1539	2526	2120	2554	694	2119	530	2133	1453	720	171	852	700	642	1122	1218	1808	1500	612	726	821	575	1095	514	278	142	126	2462	492	2038	2761	1381	2050	1387	1567	1687	1970	1201	805	928	1031	1539	975	1339	1238	1400	1663	1790	2729	2129	1987	2087	700					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	84126	2000	2400	1980	900	900	2800	2000	2000	2000	1400	2370	2000	2200	600	2000	500	2000	1400	640	150	800	650	630	1100	1150	1800	1420	550	650	800	526	1000	480	250	120	120	2400	450	2000	2750	1300	2000	1300	1600	1600	1900	1100	750	900	1000	1450	850	1300	1200	1400	1600	1700	2600	2100	1900	2000	690					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	46854	942	1156	974	777	431	1286	1012	830	991	749	1041	1068	1087	237	970	218	845	681	296	62	418	371	200	910	1103	1524	1268	191	579	602	450	403	442	115	76	108	2243	223	1826	1465	700	1075	641	790	697	1456	988	271	807	344	523	277	998	510	656	711	829	1183	972	978	983	295					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2220	14	26	23	0	46	9	12	45	15	8	14	15	116	30	22	48	41	16	60	39	35	35	80	30	46	16	106	63	64	26	32	60	38	60	10	10	37	16	116	58	5	15	10	5	14	24	45	15	55	40	19	119	11	58	60	47	34	35	39	7	24	2					
6	Число погашенных избирательных бюллетеней	35052	1044	1218	983	123	423	1505	976	1125	994	643	1315	917	997	333	1008	234	1114	703	284	49	347	244	350	160	1	260	46	296	7	172	44	537	0	75	34	2	120	211	58	1227	595	910	649	805	889	420	67	464	38	616	908	454	291	632	684	842	837	1382	1089	915	993	393					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2219	14	26	23	0	46	9	12	44	15	8	14	15	116	30	22	48	41	16	60	39	35	35	80	30	46	16	106	63	64	26	32	60	38	60	10	10	37	16	116	58	5	15	10	5	14	24	45	15	55	40	19	119	11	58	60	47	34	35	39	7	24	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	46748	943	1130	973	776	431	1286	1012	832	988	749	1041	1068	1087	237	970	218	845	681	296	62	418	371	200	910	1103	1524	1268	191	579	602	450	403	442	115	76	108	2243	223	1824	1465	700	1075	641	789	697	1456	988	271	807	344	521	277	998	510	643	711	795	1183	972	976	959	295					
9	Число недействительных избирательных бюллетеней	1163	45	34	35	20	16	33	22	20	30	20	20	28	34	2	38	10	24	27	10	7	21	9	5	20	21	15	16	7	12	6	5	5	13	3	5	3	29	5	21	46	11	23	28	12	20	11	14	9	12	15	12	19	20	14	22	21	22	50	27	29	22	8					
10	Число действительных избирательных бюллетеней	47804	912	1122	961	756	461	1262	1002	856	973	737	1035	1055	1169	265	954	256	862	670	346	94	432	397	275	920	1128	1525	1358	247	631	622	477	458	467	172	81	115	2251	234	1919	1477	694	1067	623	782	691	1469	1019	277	850	369	528	377	989	554	681	737	807	1168	984	954	961	289					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1330	40	35	30	40	20	43	35	32	42	25	40	35	45	15	45	15	33	15	15	7	8	15	15	15	10	25	15	10	10	10	10	15	8	8	8	10	25	10	30	37	15	25	12	26	25	25	20	10	15	15	20	10	19	20	20	25	25	25	25	25	20	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	956	21	32	27	31	20	42	31	31	34	19	38	35	35	6	38	1	26	12	6	1	8	12	11	11	5	17	11	4	4	7	8	5	2	0	1	4	18	10	30	25	9	23	8	23	18	15	7	2	4	5	11	2	13	18	14	22	14	22	11	11	20	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1200	20	61	48	6	7	31	17	24	9	77	45	23	16	6	66	50	25	25	38	11	13	22	8	21	23	23	9	19	32	11	28	26	8	19	20	7	28	35	14	9	17	11	9	9	6	5	5	8	11	9	14	9	13	10	6	7	39	5	5	10	9	3					
14	Число погашенных неиспользованных открепительных удостоверений	374	19	3	3	9	0	1	4	1	8	6	2	0	10	9	7	14	7	3	9	6	0	3	4	4	5	8	4	6	6	3	2	10	6	8	7	6	7	0	0	12	6	2	4	3	7	10	13	8	11	10	9	8	6	2	6	3	11	3	14	14	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	2	0	1	0	0	3	0	3	2	3	3	2	4	0	3	0	3	0	0	0	1	0	0	1	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11132	263	348	298	131	132	396	285	269	301	209	284	339	369	71	281	57	228	182	86	18	129	99	46	110	120	254	181	59	86	107	73	125	56	23	18	15	387	46	210	344	174	282	139	202	146	294	127	54	60	94	147	92	162	156	176	212	219	339	301	297	327	97					
		22.73%	27.48%	30.10%	29.92%	16.88%	27.67%	30.58%	27.83%	30.71%	30.01%	27.61%	26.92%	31.30%	30.67%	26.59%	28.33%	21.43%	25.73%	26.11%	24.16%	17.82%	28.48%	24.38%	16.43%	11.70%	10.44%	16.49%	13.17%	23.23%	13.37%	17.04%	15.15%	26.99%	11.67%	13.14%	20.93%	12.71%	16.97%	19.25%	10.82%	22.59%	24.68%	25.87%	21.35%	25.44%	20.53%	19.86%	12.29%	18.88%	6.96%	24.48%	27.22%	23.23%	16.06%	27.46%	25.04%	27.97%	26.42%	27.83%	29.77%	30.21%	33.27%	32.66%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6291	141	193	178	223	67	189	170	119	126	130	189	169	185	39	153	29	115	112	57	19	79	74	40	59	68	132	110	35	74	42	57	74	41	23	10	13	205	45	139	212	108	170	94	134	104	106	57	51	43	56	74	66	92	82	107	92	126	188	106	132	112	56					
		12.85%	14.73%	16.70%	17.87%	28.74%	14.05%	14.59%	16.60%	13.58%	12.56%	17.17%	17.91%	15.60%	15.38%	14.61%	15.42%	10.90%	12.98%	16.07%	16.01%	18.81%	17.44%	18.23%	14.29%	6.28%	5.92%	8.57%	8.01%	13.78%	11.51%	6.69%	11.83%	15.98%	8.54%	13.14%	11.63%	11.02%	8.99%	18.83%	7.16%	13.92%	15.32%	15.60%	14.44%	16.88%	14.63%	7.16%	5.52%	17.83%	4.99%	14.58%	13.70%	16.67%	9.12%	14.44%	15.22%	12.14%	15.20%	15.44%	10.48%	13.43%	11.39%	18.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	493	10	9	10	8	3	10	13	8	17	8	17	6	16	5	11	2	10	13	3	2	5	8	5	6	3	6	4	4	1	2	2	7	6	4	2	1	11	2	10	15	8	6	3	15	7	19	5	3	3	8	13	6	7	10	6	12	14	15	13	13	15	7					
		1.01%	1.04%	0.78%	1.00%	1.03%	0.63%	0.77%	1.27%	0.91%	1.69%	1.06%	1.61%	0.55%	1.33%	1.87%	1.11%	0.75%	1.13%	1.87%	0.84%	1.98%	1.10%	1.97%	1.79%	0.64%	0.26%	0.39%	0.29%	1.57%	0.16%	0.32%	0.41%	1.51%	1.25%	2.29%	2.33%	0.85%	0.48%	0.84%	0.52%	0.98%	1.13%	0.55%	0.46%	1.89%	0.98%	1.28%	0.48%	1.05%	0.35%	2.08%	2.41%	1.52%	0.69%	1.76%	0.85%	1.58%	1.69%	1.23%	1.29%	1.32%	1.53%	2.36%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6820	180	210	141	107	56	238	200	164	204	154	202	181	213	54	174	50	165	111	54	9	44	78	41	60	123	101	105	21	44	62	39	82	42	45	14	3	172	24	171	248	109	161	78	161	136	143	60	45	44	69	102	60	105	85	108	122	150	199	187	144	115	51					
		13.93%	18.81%	18.17%	14.16%	13.79%	11.74%	18.38%	19.53%	18.72%	20.34%	20.34%	19.15%	16.71%	17.71%	20.22%	17.54%	18.80%	18.62%	15.93%	15.17%	8.91%	9.71%	19.21%	14.64%	6.38%	10.70%	6.56%	7.64%	8.27%	6.84%	9.87%	8.09%	17.71%	8.75%	25.71%	16.28%	2.54%	7.54%	10.04%	8.81%	16.28%	15.46%	14.77%	11.98%	20.28%	19.13%	9.66%	5.81%	15.73%	5.10%	17.97%	18.89%	15.15%	10.41%	14.96%	15.36%	16.09%	18.09%	16.34%	18.50%	14.65%	11.70%	17.17%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2219	34	73	72	16	16	77	59	50	62	48	89	72	62	15	52	17	61	16	17	4	13	19	10	9	22	36	11	15	12	13	20	24	8	11	1	1	37	22	69	79	44	64	27	63	39	58	39	17	20	19	35	12	42	38	32	52	45	58	51	56	60	4					
		4.53%	3.55%	6.31%	7.23%	2.06%	3.35%	5.95%	5.76%	5.71%	6.18%	6.34%	8.44%	6.65%	5.15%	5.62%	5.24%	6.39%	6.88%	2.30%	4.78%	3.96%	2.87%	4.68%	3.57%	0.96%	1.91%	2.34%	0.80%	5.91%	1.87%	2.07%	4.15%	5.18%	1.67%	6.29%	1.16%	0.85%	1.62%	9.21%	3.56%	5.19%	6.24%	5.87%	4.15%	7.93%	5.49%	3.92%	3.78%	5.94%	2.32%	4.95%	6.48%	3.03%	4.16%	6.69%	4.55%	6.86%	5.43%	4.76%	5.04%	5.70%	6.10%	1.35%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20577	275	281	251	263	182	345	267	243	252	180	247	282	316	77	272	100	280	232	125	42	160	117	133	676	790	993	944	111	410	394	283	141	312	66	34	81	1434	95	1315	570	245	380	277	197	254	843	727	107	677	123	154	137	578	182	248	242	244	364	322	307	325	73					
		42.02%	28.74%	24.31%	25.20%	33.89%	38.16%	26.64%	26.07%	27.74%	25.12%	23.78%	23.41%	26.04%	26.27%	28.84%	27.42%	37.59%	31.60%	33.29%	35.11%	41.58%	35.32%	28.82%	47.50%	71.91%	68.76%	64.48%	68.70%	43.70%	63.76%	62.74%	58.71%	30.45%	65.00%	37.71%	39.53%	68.64%	62.89%	39.75%	67.78%	37.43%	34.75%	34.86%	42.55%	24.81%	35.72%	56.96%	70.38%	37.41%	78.54%	32.03%	28.52%	34.60%	57.28%	32.04%	35.28%	31.93%	29.43%	29.89%	31.85%	31.23%	33.06%	24.58%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	272	9	8	11	8	5	7	8	3	11	8	7	6	8	4	11	1	3	4	4	0	2	2	0	0	2	3	3	2	4	2	3	5	2	0	2	1	5	0	5	9	6	4	5	10	5	6	4	0	3	0	3	4	3	1	4	5	9	5	4	5	7	1					
		0.56%	0.94%	0.69%	1.10%	1.03%	1.05%	0.54%	0.78%	0.34%	1.10%	1.06%	0.66%	0.55%	0.67%	1.50%	1.11%	0.38%	0.34%	0.57%	1.12%	0.00%	0.44%	0.49%	0.00%	0.00%	0.17%	0.19%	0.22%	0.79%	0.62%	0.32%	0.62%	1.08%	0.42%	0.00%	2.33%	0.85%	0.22%	0.00%	0.26%	0.59%	0.85%	0.37%	0.77%	1.26%	0.70%	0.41%	0.39%	0.00%	0.35%	0.00%	0.56%	1.01%	0.30%	0.18%	0.57%	0.66%	1.09%	0.41%	0.40%	0.51%	0.71%	0.34%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
