Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Тосненская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942					
1	"Число избирателей, внесенных в списки избирателей"	85669	2110	2508	2054	1333	874	2701	2150	1726	2315	1548	2393	2114	2574	671	2143	480	2003	1472	622	211	829	698	743	1071	1210	1600	684	742	589	808	565	1782	511	293	131	138	2674	449	2165	2821	1762	2624	2174	1979	1165	794	880	1016	1742	994	1285	650	2750	2010	2816	2008	1900	1900	715					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78390	1890	2200	1850	1200	750	2450	1950	1550	2100	1400	2200	1900	2300	600	1900	500	1800	1400	600	200	800	650	700	1000	1100	1550	600	700	500	700	500	1700	450	250	110	140	2500	400	1900	2600	1600	2400	2000	1800	1050	800	800	900	1500	800	1100	600	2500	2000	2600	2000	1850	1850	650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	41366	1000	1228	1092	742	489	1348	1052	760	1208	825	1211	1158	1251	235	1032	232	926	734	300	77	531	444	297	445	520	802	321	398	297	316	182	919	263	118	79	88	1210	212	1035	1478	757	1331	1100	911	443	252	294	402	744	345	640	404	1328	1003	1327	892	995	1002	341					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2749	16	35	27	5	101	11	14	6	24	9	19	21	118	51	24	41	51	17	83	46	48	39	94	115	90	95	40	31	22	70	114	72	48	82	17	40	59	39	170	74	29	17	14	35	46	39	51	31	35	150	32	43	26	25	22	19	16	32	9					
6	Число погашенных избирательных бюллетеней	34275	874	937	731	453	160	1091	884	784	868	566	970	721	931	314	844	227	823	649	217	77	221	167	309	440	490	653	239	271	181	314	204	709	139	50	14	12	1231	149	695	1048	814	1052	886	854	561	509	455	467	721	305	428	153	1146	972	1251	1089	839	816	300					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2749	16	35	27	5	101	11	14	6	24	9	19	21	118	51	24	41	51	17	83	46	48	39	94	115	90	95	40	31	22	70	114	72	48	82	17	40	59	39	170	74	29	17	14	35	46	39	51	31	35	150	32	43	26	25	22	19	16	32	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	41361	1000	1228	1092	742	489	1348	1052	760	1208	824	1211	1158	1251	235	1032	232	926	734	300	77	531	444	296	444	520	802	321	398	297	316	182	919	263	118	79	88	1210	212	1035	1476	757	1331	1100	911	443	252	294	402	744	345	640	404	1328	1003	1327	892	995	1002	341					
9	Число недействительных избирательных бюллетеней	377	3	11	15	9	2	8	12	8	6	9	9	8	17	0	11	2	7	9	1	3	2	6	7	5	3	0	7	0	5	1	1	7	0	1	3	5	7	0	16	15	15	11	9	11	2	0	2	4	11	10	4	8	18	0	16	10	0	0	5					
10	Число действительных избирательных бюллетеней	43733	1013	1252	1104	738	588	1351	1054	758	1226	824	1221	1171	1352	286	1045	271	970	742	382	120	577	477	383	554	607	897	354	429	314	385	295	984	311	199	93	123	1262	251	1189	1535	771	1337	1105	935	487	291	343	429	768	485	668	439	1336	1028	1333	901	1011	1034	345					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1526	40	40	40	56	20	40	40	40	30	30	40	40	40	15	40	10	20	20	10	10	20	20	40	20	20	20	20	15	15	15	15	30	10	10	10	10	40	15	40	40	40	40	40	40	20	10	10	15	20	15	15	10	40	35	20	35	35	30	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	842	22	31	16	56	15	19	20	18	25	15	30	30	25	7	26	1	19	13	6	2	18	16	24	7	10	19	4	10	5	5	6	17	5	0	0	2	28	10	21	24	26	25	24	8	7	2	3	2	19	6	13	6	9	10	12	15	12	15	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	633	12	24	26	9	8	16	11	12	19	7	13	12	13	7	20	8	14	2	16	8	8	26	11	8	8	4	4	15	6	8	3	3	13	15	3	4	11	16	24	13	10	8	11	8	11	6	10	12	14	13	17	17	6	9	5	5	4	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	684	18	9	24	0	5	21	20	22	5	15	10	10	15	8	14	9	1	7	4	8	2	4	16	13	10	1	16	5	10	10	9	13	5	10	10	8	12	5	19	16	14	15	16	32	13	8	7	13	1	9	2	4	31	25	8	20	23	15	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	0	1	4	0	0	0	3	2	5	0	5	2	3	0	2	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	1.Политическая партия «Аграрная партия России»	999	22	26	17	14	8	33	24	12	24	11	19	32	33	4	26	4	26	39	7	3	16	6	8	9	20	15	5	10	6	6	10	35	5	7	1	1	45	6	27	37	21	33	47	19	8	6	9	12	22	9	11	5	27	18	22	14	24	26	7					
		2.26%	2.17%	2.06%	1.52%	1.87%	1.36%	2.43%	2.25%	1.57%	1.95%	1.32%	1.54%	2.71%	2.41%	1.40%	2.46%	1.47%	2.66%	5.19%	1.83%	2.44%	2.76%	1.24%	2.05%	1.61%	3.28%	1.67%	1.39%	2.33%	1.88%	1.55%	3.38%	3.53%	1.61%	3.50%	1.04%	0.78%	3.55%	2.39%	2.24%	2.39%	2.67%	2.45%	4.22%	2.01%	1.64%	2.06%	2.61%	2.77%	2.82%	1.82%	1.64%	1.12%	1.99%	1.75%	1.63%	1.54%	2.37%	2.51%	2.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	461	10	21	11	5	2	30	10	10	21	11	14	16	17	1	19	1	13	8	3	0	2	0	6	1	1	8	2	1	1	2	2	7	3	0	1	0	15	4	20	17	7	17	18	10	5	1	3	0	8	0	12	7	16	10	8	4	4	10	5					
		1.05%	0.98%	1.66%	0.98%	0.67%	0.34%	2.21%	0.94%	1.31%	1.70%	1.32%	1.14%	1.36%	1.24%	0.35%	1.80%	0.37%	1.33%	1.07%	0.78%	0.00%	0.35%	0.00%	1.54%	0.18%	0.16%	0.89%	0.55%	0.23%	0.31%	0.52%	0.68%	0.71%	0.96%	0.00%	1.04%	0.00%	1.18%	1.59%	1.66%	1.10%	0.89%	1.26%	1.62%	1.06%	1.02%	0.34%	0.87%	0.00%	1.03%	0.00%	1.79%	1.57%	1.18%	0.97%	0.59%	0.44%	0.40%	0.97%	1.43%					
20	3.Политическая партия «Демократическая партия России»	38	2	2	1	2	0	2	1	0	3	2	2	2	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	1	1	0	0	1	1	0	3	1	0	0	1	1	0	0	0	0	0					
		0.09%	0.20%	0.16%	0.09%	0.27%	0.00%	0.15%	0.09%	0.00%	0.24%	0.24%	0.16%	0.17%	0.07%	0.00%	0.00%	0.37%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.06%	0.13%	0.07%	0.09%	0.00%	0.00%	0.34%	0.29%	0.00%	0.39%	0.20%	0.00%	0.00%	0.07%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5042	104	161	189	61	33	182	139	95	163	126	183	155	155	35	153	28	106	86	31	6	35	73	25	50	92	80	26	60	45	37	17	76	24	15	7	6	133	12	131	170	69	156	109	97	54	28	17	45	85	49	100	39	151	132	212	130	112	114	38					
