Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Лямбирская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508					
1	"Число избирателей, внесенных в список"	25229	1648	1530	1171	207	1259	1635	1636	1815	284	214	388	335	169	119	278	765	417	886	1015	1217	787	1044	1102	357	224	669	951	337	827	243	251	332	150	645	322					
2	Число полученных избирательных бюллетеней	25359	1650	1520	1160	210	1280	1590	1600	1800	280	210	380	350	174	120	270	760	400	900	1100	1270	800	1060	1160	345	225	675	940	340	770	250	270	320	200	655	325					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22084	1616	1511	1081	197	1087	1513	1392	1515	228	178	332	322	169	91	238	667	342	660	866	863	694	981	1041	300	220	577	901	318	692	183	230	303	115	606	55					
5	"Число избирательных бюллетеней, выданных вне помещения"	2017	26	9	73	7	125	62	196	125	32	32	37	6	0	25	31	93	58	81	11	249	52	12	14	43	0	73	31	14	78	55	17	17	31	35	267					
6	Число погашенных избирательных бюллетеней	1258	8	0	6	6	68	15	12	160	20	0	11	22	5	4	1	0	0	159	223	158	54	67	105	2	5	25	8	8	0	12	23	0	54	14	3					
7	Число избирательных бюллетеней в переносных ящиках	2017	26	9	73	7	125	62	196	125	32	32	37	6	0	25	31	93	58	81	11	249	52	12	14	43	0	73	31	14	78	55	17	17	31	35	267					
8	Число бюллетеней в стационарных ящиках для голосования	22084	1616	1511	1081	197	1087	1513	1392	1515	228	178	332	322	169	91	238	667	342	660	866	863	694	981	1041	300	220	577	901	318	692	183	230	303	115	606	55					
9	Число недействительных избирательных бюллетеней	637	0	0	7	0	168	16	7	24	2	0	10	1	1	0	0	5	6	17	50	99	37	10	53	3	1	0	66	1	9	6	2	0	1	28	7					
10	Число действительных избирательных бюллетеней	23464	1642	1520	1147	204	1044	1559	1581	1616	258	210	359	327	168	116	269	755	394	724	827	1013	709	983	1002	340	219	650	866	331	761	232	245	320	145	613	315					
11	Число полученных открепительных  удостоверений	480	30	30	20	5	20	30	30	40	5	5	5	5	5	5	5	10	5	20	25	25	20	30	30	5	5	10	10	5	10	5	5	5	5	10	0					
12	Число выданных открепительных удостоверений	291	24	19	3	0	20	19	16	38	1	0	2	1	0	0	3	1	0	14	15	16	15	27	25	0	1	8	6	3	1	4	1	2	0	6	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	236	52	20	2	4	0	7	4	4	8	7	4	0	0	3	0	2	4	5	1	7	7	5	2	6	2	6	3	6	2	0	2	3	2	1	55					
14	Число неиспользованных открепительных удостоверений	189	6	11	17	5	0	11	14	2	4	5	3	4	5	5	2	9	5	6	10	9	5	3	5	5	4	2	4	2	9	1	4	3	5	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	154	3	2	6	0	0	5	8	12	2	0	0	1	0	1	0	1	0	11	10	13	27	10	20	0	0	1	2	2	6	4	1	2	1	3	0					
		0.64%	0.18%	0.13%	0.52%	0.00%	0.00%	0.32%	0.50%	0.73%	0.77%	0.00%	0.00%	0.30%	0.00%	0.86%	0.00%	0.13%	0.00%	1.48%	1.14%	1.17%	3.62%	1.01%	1.90%	0.00%	0.00%	0.15%	0.21%	0.60%	0.78%	1.68%	0.40%	0.62%	0.68%	0.47%	0.00%					
19	. Малышкин Олег Александрович	161	2	1	0	2	21	11	6	3	2	0	3	1	1	2	0	3	0	8	20	10	9	19	19	0	0	1	2	2	2	2	1	1	3	4	0					
		0.67%	0.12%	0.07%	0.00%	0.98%	1.73%	0.70%	0.38%	0.18%	0.77%	0.00%	0.81%	0.30%	0.59%	1.72%	0.00%	0.39%	0.00%	1.08%	2.28%	0.90%	1.21%	1.91%	1.80%	0.00%	0.00%	0.15%	0.21%	0.60%	0.26%	0.84%	0.40%	0.31%	2.05%	0.62%	0.00%					
20	. Миронов Сергей Михайлович	52	2	2	3	0	6	3	4	8	0	0	2	1	0	0	0	0	0	2	4	3	2	1	2	1	0	1	2	0	0	0	0	1	0	1	1					
