Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Бураевская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064					
1	"Число избирателей, внесенных в списки"	19919	1124	902	762	665	748	657	795	968	223	64	312	241	142	356	571	341	231	531	428	98	156	340	361	378	419	358	323	369	234	204	263	84	376	172	307	220	167	285	317	205	152	137	455	194	134	110	332	198	364	406	218	137	642	225	330	188					
2	"Число бюллетеней, полученных участковыми комиссиями"	21184	1180	958	776	725	790	702	845	983	244	100	346	248	169	395	596	345	238	600	444	118	170	350	363	376	456	382	340	375	236	217	280	94	413	195	339	250	196	338	340	198	151	151	457	202	149	132	348	215	385	425	240	146	680	240	353	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16406	967	815	640	559	669	562	706	785	179	48	227	212	109	323	491	279	194	391	339	93	137	218	253	304	379	260	266	297	200	174	229	54	306	158	275	210	115	255	284	174	130	99	319	152	119	100	287	107	273	262	167	120	523	176	271	165					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2064	31	33	17	23	32	64	50	54	34	16	60	24	33	33	54	29	25	104	72	5	17	85	60	27	35	59	39	35	19	14	17	30	32	7	32	7	47	30	16	16	0	22	68	18	14	10	28	80	55	144	46	17	49	23	51	22					
6	Число погашенных бюллетеней	2714	182	110	119	143	89	76	89	144	31	36	59	12	27	39	51	37	19	105	33	20	16	47	50	45	42	63	35	43	17	29	34	10	75	30	32	33	34	53	40	8	21	30	70	32	16	22	33	28	57	19	27	9	108	41	31	13					
7	Число бюллетеней в переносных ящиках для голосования	2064	31	33	17	23	32	64	50	54	34	16	60	24	33	33	54	29	25	104	72	5	17	85	60	27	35	59	39	35	19	14	17	30	32	7	32	7	47	30	16	16	0	22	68	18	14	10	28	80	55	144	46	17	49	23	51	22					
8	Число бюллетеней в стационарных ящиках для голосования	16405	966	815	640	559	669	562	706	785	179	48	227	212	109	323	491	279	194	391	339	93	137	218	253	304	379	260	266	297	200	174	229	54	306	158	275	210	115	255	284	174	130	99	319	152	119	100	287	107	273	262	167	120	523	176	271	165					
9	Число недействительных бюллетеней	559	54	39	2	5	4	0	10	74	11	0	10	21	6	3	12	4	0	1	3	0	0	28	10	29	0	3	8	0	9	1	3	0	18	18	11	2	7	11	14	5	6	4	3	9	8	6	1	5	1	3	4	10	32	28	1	2					
10	Число действительных бюллетеней	17910	943	809	655	577	697	626	746	765	202	64	277	215	136	353	533	304	219	494	408	98	154	275	303	302	414	316	297	332	210	187	243	84	320	147	296	215	155	274	286	185	124	117	384	161	125	104	314	182	327	403	209	127	540	171	321	185					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	6	6	6	6	6	6	6	6	3	0	3	3	3	3	5	3	3	5	4	3	3	3	3	3	4	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	4	3	3	5	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	85	6	6	6	6	6	6	6	6	3	0	2	1	1	1	0	1	0	1	1	1	0	3	1	1	0	1	2	0	1	0	0	0	3	0	2	0	2	3	3	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	4	2	6	2	6	2	0	2	0	0	0	0	1	0	1	1	3	1	0	0	0	0	0	1	2	2	2	0	0	1	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	0	0	3	0	0	3	2	0	4					
14	Число погашенных открепительных удостоверений	115	0	0	0	0	0	0	0	0	0	0	1	2	2	2	5	2	3	4	3	2	3	0	2	2	4	2	1	3	2	3	3	3	1	3	1	3	1	0	0	3	3	3	4	2	3	2	3	3	2	4	3	3	5	3	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	554	38	39	24	22	16	17	18	26	9	2	5	7	5	3	14	7	9	10	6	3	2	9	14	21	27	22	10	4	2	7	10	1	16	4	3	4	2	9	3	8	8	4	11	5	2	3	8	6	5	6	3	4	8	10	5	8					
		2.99%	3.81%	4.59%	3.65%	3.78%	2.28%	2.71%	2.38%	3.09%	4.22%	3.12%	1.74%	2.96%	3.52%	0.84%	2.56%	2.27%	4.10%	2.02%	1.45%	3.06%	1.29%	2.97%	4.47%	6.34%	6.52%	6.89%	3.27%	1.20%	0.91%	3.72%	4.06%	1.19%	4.73%	2.42%	0.97%	1.84%	1.23%	3.15%	1.0%	4.21%	6.15%	3.30%	2.84%	2.94%	1.50%	2.72%	2.53%	3.20%	1.52%	1.47%	1.40%	2.91%	1.39%	5.02%	1.55%	4.27%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	216	14	11	5	8	13	10	16	14	2	2	5	4	3	3	6	10	2	2	1	4	1	5	1	5	4	5	5	1	2	2	1	0	7	0	0	1	0	7	1	2	1	1	2	2	1	2	3	1	4	2	2	1	3	1	4	1					
		1.16%	1.40%	1.29%	0.76%	1.37%	1.85%	1.59%	2.11%	1.66%	0.93%	3.12%	1.74%	1.69%	2.11%	0.84%	1.10%	3.24%	0.91%	0.40%	0.24%	4.08%	0.64%	1.65%	0.31%	1.51%	0.96%	1.56%	1.63%	0.30%	0.91%	1.06%	0.40%	0.0%	2.07%	0.0%	0.0%	0.46%	0.0%	2.45%	0.33%	1.05%	0.76%	0.82%	0.51%	1.17%	0.75%	1.81%	0.95%	0.53%	1.21%	0.49%	0.93%	0.72%	0.52%	0.50%	1.24%	0.53%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	361	28	22	11	17	18	19	13	11	5	3	5	4	2	3	4	5	3	4	0	0	0	10	6	9	5	4	7	3	5	4	2	0	3	2	8	0	4	9	7	4	1	3	3	6	1	2	14	21	4	2	2	0	8	9	13	3					
		1.95%	2.80%	2.59%	1.67%	2.92%	2.56%	3.03%	1.71%	1.31%	2.34%	4.68%	1.74%	1.69%	1.40%	0.84%	0.73%	1.62%	1.36%	0.80%	0.0%	0.0%	0.0%	3.30%	1.91%	2.71%	1.20%	1.25%	2.29%	0.90%	2.28%	2.12%	0.81%	0.0%	0.88%	1.21%	2.60%	0.0%	2.46%	3.15%	2.33%	2.10%	0.76%	2.47%	0.77%	3.52%	0.75%	1.81%	4.44%	11.22%	1.21%	0.49%	0.93%	0.0%	1.39%	4.52%	4.03%	1.60%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	179	15	10	1	8	15	14	7	11	2	0	2	6	0	1	1	2	0	7	2	0	0	3	2	4	3	1	1	3	2	1	1	0	5	2	4	2	2	2	4	0	5	2	0	1	0	2	3	0	0	0	2	7	3	4	1	3					
		0.96%	1.50%	1.17%	0.15%	1.37%	2.13%	2.23%	0.92%	1.31%	0.93%	0.0%	0.69%	2.54%	0.0%	0.28%	0.18%	0.64%	0.0%	1.41%	0.48%	0.0%	0.0%	0.99%	0.63%	1.20%	0.72%	0.31%	0.32%	0.90%	0.91%	0.53%	0.40%	0.0%	1.47%	1.21%	1.30%	0.92%	1.23%	0.70%	1.33%	0.0%	3.84%	1.65%	0.0%	0.58%	0.0%	1.81%	0.95%	0.0%	0.0%	0.0%	0.93%	5.10%	0.52%	2.01%	0.31%	1.60%					
22	"5. ""За Русь Святую"""	50	2	0	2	1	2	2	0	3	1	0	0	0	1	4	1	1	0	1	0	0	0	2	0	1	2	1	1	3	0	1	0	0	1	0	1	0	0	0	2	1	0	1	0	2	0	1	0	2	2	1	0	0	1	1	0	2					
		0.27%	0.20%	0.0%	0.30%	0.17%	0.28%	0.31%	0.0%	0.35%	0.46%	0.0%	0.0%	0.0%	0.70%	1.12%	0.18%	0.32%	0.0%	0.20%	0.0%	0.0%	0.0%	0.66%	0.0%	0.30%	0.48%	0.31%	0.32%	0.90%	0.0%	0.53%	0.0%	0.0%	0.29%	0.0%	0.32%	0.0%	0.0%	0.0%	0.66%	0.52%	0.0%	0.82%	0.0%	1.17%	0.0%	0.90%	0.0%	1.06%	0.60%	0.24%	0.0%	0.0%	0.17%	0.50%	0.0%	1.06%					
23	"6. ""Объединенная Российская партия ""Русь"""	108	5	5	2	3	1	4	4	4	0	2	3	1	1	2	1	2	0	2	1	0	5	3	0	2	2	2	4	9	5	0	3	0	2	2	2	1	2	2	3	0	1	1	1	2	0	1	1	1	1	0	1	1	1	3	0	1					
		0.58%	0.50%	0.58%	0.30%	0.51%	0.14%	0.63%	0.52%	0.47%	0.0%	3.12%	1.04%	0.42%	0.70%	0.56%	0.18%	0.64%	0.0%	0.40%	0.24%	0.0%	3.24%	0.99%	0.0%	0.60%	0.48%	0.62%	1.31%	2.71%	2.28%	0.0%	1.21%	0.0%	0.59%	1.21%	0.65%	0.46%	1.23%	0.70%	1.0%	0.0%	0.76%	0.82%	0.25%	1.17%	0.0%	0.90%	0.31%	0.53%	0.30%	0.0%	0.46%	0.72%	0.17%	1.50%	0.0%	0.53%					
24	"7. ""Новый курс - Автомобильная Россия"""	105	17	14	5	4	8	4	8	10	1	1	1	0	0	2	2	1	0	0	1	1	0	1	0	1	1	3	0	1	0	0	1	0	1	0	2	0	2	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	3	2	0	3					
		0.56%	1.70%	1.65%	0.76%	0.68%	1.14%	0.63%	1.05%	1.19%	0.46%	1.56%	0.34%	0.0%	0.0%	0.56%	0.36%	0.32%	0.0%	0.0%	0.24%	1.02%	0.0%	0.33%	0.0%	0.30%	0.24%	0.94%	0.0%	0.30%	0.0%	0.0%	0.40%	0.0%	0.29%	0.0%	0.65%	0.0%	1.23%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.52%	1.00%	0.0%	1.60%					
25	"8. ""Народно-республиканская партия России"""	87	4	4	2	3	3	5	4	1	0	1	3	2	3	3	4	2	1	1	1	1	0	1	1	3	0	0	0	5	1	1	0	0	3	0	0	0	1	3	1	1	0	1	0	0	0	0	4	2	2	0	0	1	4	2	1	1					
		0.47%	0.40%	0.47%	0.30%	0.51%	0.42%	0.79%	0.52%	0.11%	0.0%	1.56%	1.04%	0.84%	2.11%	0.84%	0.73%	0.64%	0.45%	0.20%	0.24%	1.02%	0.0%	0.33%	0.31%	0.90%	0.0%	0.0%	0.0%	1.50%	0.45%	0.53%	0.0%	0.0%	0.88%	0.0%	0.0%	0.0%	0.61%	1.05%	0.33%	0.52%	0.0%	0.82%	0.0%	0.0%	0.0%	0.0%	1.26%	1.06%	0.60%	0.0%	0.0%	0.72%	0.69%	1.00%	0.31%	0.53%					
26	"9. ""Российская экологическая партия ""Зеленые"""	60	1	3	3	1	3	2	4	2	0	0	3	0	0	2	1	0	1	1	3	0	0	2	2	1	3	1	2	1	1	1	0	0	2	0	1	1	0	1	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	2					
