Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    район Богородское																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №3268					
1	"Число избирателей, внесенных в список избирателей"	63266	1909	2077	341	1877	2771	2218	2994	2363	1986	2849	2934	2013	2328	2717	2518	2616	2276	2638	2027	2680	2178	2875	2156	2252	2462	2412	2713	86					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44950	1290	1480	210	1270	1960	1730	2060	1700	1390	2130	1960	1420	1640	1850	1950	1850	1310	1790	1420	2150	1560	2270	1500	1760	1700	1630	1870	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	35282	855	898	210	957	1305	1631	1890	1251	894	1816	1770	1200	1163	1397	1750	1087	1132	1162	884	1916	958	2071	1458	1534	1208	1407	1398	80					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	889	16	47	0	24	27	76	13	78	15	101	113	20	25	50	26	21	19	15	38	14	29	33	16	22	14	6	25	6					
6	Число погашенных избирательных бюллетеней	8779	419	535	0	289	628	23	157	371	481	213	77	200	452	403	174	742	159	613	498	220	573	166	26	204	478	217	447	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	889	16	47	0	24	27	76	13	78	15	101	113	20	25	50	26	21	19	15	38	14	29	33	16	22	14	6	25	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34775	854	882	210	957	1301	1420	1877	1210	879	1816	1769	1193	1132	1397	1675	1086	1132	1162	884	1913	956	2046	1414	1519	1208	1406	1397	80					
9	Число недействительных избирательных бюллетеней	878	51	22	2	18	26	180	44	31	19	22	33	19	22	29	33	30	26	33	33	0	48	0	18	69	28	18	22	2					
10	Число действительных избирательных бюллетеней	34786	819	907	208	963	1302	1316	1846	1257	875	1895	1849	1194	1135	1418	1668	1077	1125	1144	889	1927	937	2079	1412	1472	1194	1394	1400	84					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1084	13	25	8	25	44	42	36	47	32	44	60	25	35	65	41	52	40	40	45	55	50	49	26	45	41	51	48	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1048	13	25	7	25	43	40	36	46	32	43	58	25	35	65	33	52	38	39	40	54	48	48	26	42	40	51	44	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1403	61	18	48	82	18	45	35	32	66	27	60	34	43	37	58	35	65	144	37	88	15	77	58	43	50	56	71	0					
14	Число погашенных неиспользованных открепительных удостоверений	36	0	0	1	0	1	2	0	1	0	1	2	0	0	0	8	0	2	1	5	1	2	1	0	3	1	0	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	611	7	34	0	23	24	13	16	19	42	22	30	28	24	27	41	19	22	43	17	26	30	14	18	22	20	14	16	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3740	139	163	19	145	208	31	224	33	146	122	232	117	116	116	101	207	81	211	171	24	174	21	176	40	199	255	264	5					
		10.49%	15.98%	17.55%	9.05%	14.78%	15.66%	2.07%	11.85%	2.56%	16.33%	6.36%	12.33%	9.65%	10.03%	8.02%	5.94%	18.70%	7.04%	17.93%	18.55%	1.25%	17.66%	1.01%	12.31%	2.60%	16.28%	18.06%	18.57%	5.81%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3329	114	157	19	151	177	20	164	35	123	177	412	130	57	105	77	145	59	185	123	22	143	22	142	54	181	184	144	7					
		9.33%	13.10%	16.90%	9.05%	15.39%	13.33%	1.34%	8.68%	2.72%	13.76%	9.23%	21.89%	10.72%	4.93%	7.26%	4.53%	13.10%	5.13%	15.72%	13.34%	1.14%	14.52%	1.06%	9.93%	3.50%	14.81%	13.03%	10.13%	8.14%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	361	15	22	4	21	31	0	29	0	14	6	18	14	1	0	9	17	3	12	17	0	17	6	22	5	16	28	33	1					
		1.01%	1.72%	2.37%	1.90%	2.14%	2.33%	0.00%	1.53%	0.00%	1.57%	0.31%	0.96%	1.15%	0.09%	0.00%	0.53%	1.54%	0.26%	1.02%	1.84%	0.00%	1.73%	0.29%	1.54%	0.32%	1.31%	1.98%	2.32%	1.16%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	7210	215	181	26	213	361	77	359	310	225	412	339	230	290	396	304	307	41	279	216	271	244	303	205	236	304	437	415	14					
		20.22%	24.71%	19.48%	12.38%	21.71%	27.18%	5.15%	18.99%	24.07%	25.17%	21.49%	18.01%	18.96%	25.06%	27.37%	17.87%	27.73%	3.56%	23.70%	23.43%	14.06%	24.77%	14.57%	14.34%	15.31%	24.88%	30.95%	29.18%	16.28%					
