Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    Кугарчинская																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №2474	УИК №2475	УИК №2476	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484					
1	"Число избирателей, внесенных в список избирателей"	23101	815	2158	1676	948	613	81	273	220	81	183	428	305	344	502	348	252	358	206	430	481	143	269	119	187	247	497	1078	886	1174	54	260	146	291	58	250	123	95	219	233	105	276	577	123	283	801	119	148	107	151	148	622	208	116	241	126	407	253	216	101	132	167	114	114	232	183					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23426	797	2127	1652	1060	712	84	275	225	81	195	430	304	346	507	353	256	372	207	427	485	153	269	119	191	248	500	1088	879	1181	54	262	156	297	58	250	121	96	217	235	108	281	587	123	285	804	121	152	107	154	148	629	213	118	243	127	426	256	216	102	133	167	117	114	237	189					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	19884	577	1977	1447	628	533	70	214	145	61	157	372	269	311	439	324	227	325	200	413	420	118	258	114	169	204	403	830	641	1003	44	232	128	266	44	220	111	90	182	183	71	247	544	107	283	756	119	125	94	129	120	580	194	110	210	105	360	223	211	91	112	145	106	84	231	178					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1682	28	106	151	34	48	8	56	42	17	23	47	29	25	49	14	25	33	0	14	34	15	11	4	18	40	48	78	22	47	9	2	18	22	14	29	10	5	30	48	34	17	24	7	0	40	0	12	13	22	28	29	14	5	22	18	40	20	5	8	20	22	8	16	0	5					
6	Число погашенных избирательных бюллетеней	1860	192	44	54	398	131	6	5	38	3	15	11	6	10	19	15	4	14	7	0	31	20	0	1	4	4	49	180	216	131	1	28	10	9	0	1	0	1	5	4	3	17	19	9	2	8	2	15	0	3	0	20	5	3	11	4	26	13	0	3	1	0	3	14	6	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1682	28	106	151	34	48	8	56	42	17	23	47	29	25	49	14	25	33	0	14	34	15	11	4	18	40	48	78	22	47	9	2	18	22	14	29	10	5	30	48	34	17	24	7	0	40	0	12	13	22	28	29	14	5	22	18	40	20	5	8	20	22	8	16	0	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19884	577	1977	1447	628	533	70	214	145	61	157	372	269	311	439	324	227	325	200	413	420	118	258	114	169	204	403	830	641	1003	44	232	128	266	44	220	111	90	182	183	71	247	544	107	283	756	119	125	94	129	120	580	194	110	210	105	360	223	211	91	112	145	106	84	231	178					
9	Число недействительных избирательных бюллетеней	103	7	1	4	6	14	0	0	2	0	0	6	0	2	3	0	1	0	0	0	0	0	0	0	0	0	0	7	5	20	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	8	0	3					
10	Число действительных избирательных бюллетеней	21463	598	2082	1594	656	567	78	270	185	78	180	413	298	334	485	338	251	358	200	427	454	133	269	118	187	244	451	901	658	1030	53	234	145	288	58	249	121	95	211	231	105	264	568	110	283	796	119	137	107	145	148	609	208	115	231	123	400	242	216	99	132	167	114	92	231	180					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	288	9	5	27	30	27	4	0	3	1	3	6	3	6	2	1	2	2	0	3	7	1	2	3	1	2	6	18	19	17	0	1	1	2	0	2	0	0	4	2	3	2	5	0	3	10	1	1	11	0	1	8	2	1	0	1	4	5	0	1	1	3	2	1	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	288	9	5	27	30	27	4	0	3	1	3	6	3	6	2	1	2	2	0	3	7	1	2	3	1	2	6	18	19	17	0	1	1	2	0	2	0	0	4	2	3	2	5	0	3	10	1	1	11	0	1	8	2	1	0	1	4	5	0	1	1	3	2	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	2	7	4	4	4	0	2	0	1	1	2	3	0	0	1	1	2	0	3	0	1	2	1	0	1	0	1	5	2	1	1	1	0	2	3	2	3	1	0	4	1	1	1	0	4	0	0	0	0	2	0	1	0	0	0	1	0	0	2	0	3	1	1	2	1					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																								
