Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Бологовская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №1192									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30683	1013	1286	2171	804	1706	1258	1366	1803	1811	2016	1209	590	938	767	1219	948	290	529	483	246	1352	438	346	987	1130	338	455	295	416	527	1196	181	127	411	31									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27527	900	1100	1900	700	1500	1100	1100	1600	1600	1800	1100	550	900	750	1200	900	250	500	450	200	1300	400	300	900	1000	300	400	250	400	500	1000	150	100	400	27									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10919	355	367	761	244	644	486	296	570	732	697	356	116	287	276	323	245	126	171	143	95	574	222	109	460	528	115	158	47	140	120	902	59	68	100	27									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2104	45	93	20	35	34	20	70	83	24	13	40	51	34	190	178	131	35	74	81	32	61	28	81	29	4	80	62	126	85	129	32	39	4	61	0									
6	Число погашенных избирательных бюллетеней	14504	500	640	1119	421	822	594	734	947	844	1090	704	383	579	284	699	524	89	255	226	73	665	150	110	411	468	105	180	77	175	251	66	52	28	239	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2104	45	93	20	35	34	20	70	83	24	13	40	51	34	190	178	131	35	74	81	32	61	28	81	29	4	80	62	126	85	129	32	39	4	61	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10915	355	366	760	244	644	486	296	570	732	697	356	116	287	276	323	245	126	171	143	95	574	222	109	460	527	115	158	47	140	120	901	59	68	100	27									
9	Число недействительных избирательных бюллетеней	274	13	14	21	6	16	15	6	11	14	24	7	1	7	2	6	4	2	5	7	1	16	7	2	15	12	1	6	2	2	5	17	1	5	1	0									
10	Число действительных избирательных бюллетеней	12745	387	445	759	273	662	491	360	642	742	686	389	166	314	464	495	372	159	240	217	126	619	243	188	474	519	194	214	171	223	244	916	97	67	160	27									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	17	21	36	14	28	21	22	30	30	34	20	9	15	25	20	15	14	8	16	4	22	7	6	21	17	6	8	5	12	9	26	3	2	7	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	267	3	7	3	9	15	15	3	6	17	7	6	1	8	25	10	2	7	8	16	4	5	1	1	17	11	6	1	5	12	6	26	2	0	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	273	4	4	1	12	5	12	2	9	1	4	4	6	3	7	6	10	3	5	6	11	6	2	3	3	1	2	1	6	4	3	121	3	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	283	14	14	33	5	13	6	19	24	13	27	14	8	7	0	10	13	7	0	0	0	17	6	5	4	6	0	7	0	0	3	0	1	2	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	56	3	1	7	0	3	3	1	1	1	3	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1	6	1	2	16	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	146	5	9	6	0	7	4	3	11	10	14	4	0	5	2	5	3	2	5	3	4	4	2	4	4	2	1	1	2	6	2	12	1	1	1	1									
		1.12%	1.25%	1.96%	0.77%	0.00%	1.03%	0.79%	0.82%	1.68%	1.32%	1.97%	1.01%	0.00%	1.56%	0.43%	0.99%	0.80%	1.24%	2.04%	1.34%	3.15%	0.63%	0.80%	2.11%	0.82%	0.38%	0.51%	0.45%	1.16%	2.67%	0.80%	1.29%	1.02%	1.39%	0.62%	3.70%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	313	16	10	21	6	14	13	3	15	19	14	11	2	12	8	11	10	6	5	1	4	20	4	6	14	13	4	2	3	3	12	24	0	3	3	1									
