Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Лаганская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13798	718	634	539	396	340	752	777	604	712	1011	574	509	722	524	478	450	439	713	188	710	606	735	667									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14140	737	648	543	466	357	754	804	629	688	1027	594	523	765	489	484	457	451	728	193	735	615	761	692									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11072	597	538	457	346	283	642	658	507	610	603	481	420	594	450	314	299	379	624	148	553	491	559	519									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	309	12	8	7	7	6	8	12	8	4	20	15	17	30	6	16	5	5	34	12	20	7	26	24									
6	Число погашенных избирательных бюллетеней	2759	128	102	79	113	68	104	134	114	74	404	98	86	141	33	154	153	67	70	33	162	117	176	149									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	309	12	8	7	7	6	8	12	8	4	20	15	17	30	6	16	5	5	34	12	20	7	26	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11072	597	538	457	346	283	642	658	507	610	603	481	420	594	450	314	299	379	624	148	553	491	559	519									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	11381	609	546	464	353	289	650	670	515	614	623	496	437	624	456	330	304	384	658	160	573	498	585	543									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	15	15	10	10	10	15	15	15	15	20	15	10	15	10	10	10	10	15	10	15	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	118	8	3	2	6	2	2	10	0	6	5	5	5	13	2	1	7	3	8	1	2	7	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	20	1	1	1	1	2	1	1	1	1	2	0	1	0	3	1	1	1	0	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	182	7	12	8	4	8	13	5	15	9	15	10	5	2	8	9	3	7	7	9	13	8	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	53	5	3	3	2	1	4	5	1	4	5	1	3	3	0	0	3	1	1	0	1	0	3	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1									
