Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Глушковская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19408	1049	1866	1830	1928	1060	826	440	662	401	465	1076	282	493	699	374	400	381	1194	262	199	534	414	378	144	168	121	1014	578	170									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16175	850	1550	1450	1550	850	700	350	550	350	400	900	250	400	600	300	350	300	1000	250	200	450	350	350	125	150	100	850	500	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9637	549	892	823	758	347	308	199	384	171	307	664	112	240	381	190	156	98	847	164	162	299	207	269	109	122	87	430	266	96									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1647	30	44	97	77	34	25	54	57	68	90	82	70	44	49	26	74	96	120	27	20	101	83	44	11	12	11	94	72	35									
6	Число погашенных избирательных бюллетеней	4891	271	614	530	715	469	367	97	109	111	3	154	68	116	170	84	120	106	33	59	18	50	60	37	5	16	2	326	162	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1647	30	44	97	77	34	25	54	57	68	90	82	70	44	49	26	74	96	120	27	20	101	83	44	11	12	11	94	72	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9636	549	892	823	758	347	308	199	384	171	307	664	112	240	381	190	156	98	847	164	162	299	207	268	109	122	87	430	266	96									
9	Число недействительных избирательных бюллетеней	204	4	13	30	11	14	5	9	14	11	0	5	3	4	3	17	12	7	2	6	1	9	0	2	2	2	2	6	5	5									
10	Число действительных избирательных бюллетеней	11079	575	923	890	824	367	328	244	427	228	397	741	179	280	427	199	218	187	965	185	181	391	290	310	118	132	96	518	333	126									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	233	20	15	15	20	13	10	3	10	5	5	13	3	10	10	8	5	5	13	5	5	6	5	3	2	3	2	9	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	169	16	15	11	17	10	8	2	5	3	3	7	1	8	9	4	3	2	13	2	5	6	0	3	0	2	0	9	0	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	14	9	4	26	1	11	2	3	0	0	3	4	3	0	2	2	3	1	0	0	2	1	1	1	1	1	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	64	4	0	4	3	3	2	1	5	2	2	6	2	2	1	4	2	3	0	3	0	0	5	0	2	1	2	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	5	4	3	3	2	4	2	9	7	0	2	1	0	2	1	0	2	0	1	0	0	0	0	0	0	1	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	3	3	8	4	5	3	1	2	0	1	3	0	14	1	1	0	1	0	3	1	0	0	2	1	0	0	2	2	1									
		0.55%	0.52%	0.32%	0.87%	0.48%	1.31%	0.90%	0.40%	0.45%	0.00%	0.25%	0.40%	0.00%	4.93%	0.23%	0.46%	0.00%	0.52%	0.00%	1.57%	0.55%	0.00%	0.00%	0.64%	0.83%	0.00%	0.00%	0.38%	0.59%	0.76%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	297	20	39	29	29	13	23	7	11	11	8	3	2	11	4	9	6	4	9	4	3	6	5	7	4	0	1	14	9	6									
		2.63%	3.45%	4.17%	3.15%	3.47%	3.41%	6.91%	2.77%	2.49%	4.60%	2.02%	0.40%	1.10%	3.87%	0.93%	4.17%	2.61%	2.06%	0.93%	2.09%	1.65%	1.50%	1.72%	2.24%	3.33%	0.00%	1.02%	2.67%	2.66%	4.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	55	7	0	6	8	6	3	1	2	2	3	1	0	1	2	1	3	1	0	0	0	0	1	1	3	0	0	2	0	1									
		0.49%	1.21%	0.00%	0.65%	0.96%	1.57%	0.90%	0.40%	0.45%	0.84%	0.76%	0.13%	0.00%	0.35%	0.47%	0.46%	1.30%	0.52%	0.00%	0.00%	0.00%	0.00%	0.34%	0.32%	2.50%	0.00%	0.00%	0.38%	0.00%	0.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8084	331	581	531	558	227	206	162	291	166	301	563	150	172	386	140	148	146	873	156	149	341	230	270	97	124	85	372	244	84									
		71.65%	57.17%	62.07%	57.72%	66.83%	59.58%	61.86%	64.03%	65.99%	69.46%	75.82%	75.47%	82.42%	60.56%	89.77%	64.81%	64.35%	75.26%	90.28%	81.68%	81.87%	85.25%	79.31%	86.54%	80.83%	92.54%	86.73%	70.99%	72.19%	64.12%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	37	7	4	3	7	0	1	2	1	3	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	2									
		0.33%	1.21%	0.43%	0.33%	0.84%	0.00%	0.30%	0.79%	0.23%	1.26%	0.00%	0.13%	0.00%	0.35%	0.00%	0.00%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.19%	0.30%	1.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	2	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0									
		0.08%	0.35%	0.11%	0.11%	0.12%	0.00%	0.30%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1223	90	127	152	109	56	44	31	65	17	53	69	10	35	27	24	31	17	36	11	15	18	19	11	5	4	8	84	41	14									
		10.84%	15.54%	13.57%	16.52%	13.05%	14.70%	13.21%	12.25%	14.74%	7.11%	13.35%	9.25%	5.49%	12.32%	6.28%	11.11%	13.48%	8.76%	3.72%	5.76%	8.24%	4.50%	6.55%	3.53%	4.17%	2.99%	8.16%	16.03%	12.13%	10.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	3	3	8	1	3	3	2	4	2	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0									
		0.29%	0.52%	0.32%	0.87%	0.12%	0.79%	0.90%	0.79%	0.91%	0.84%	0.00%	0.00%	0.00%	0.35%	0.00%	0.46%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	2	3	3	2	2	0	0	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0									
		0.19%	0.35%	0.32%	0.33%	0.24%	0.52%	0.00%	0.00%	0.45%	0.42%	0.00%	0.27%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	3	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.08%	0.00%	0.32%	0.00%	0.12%	0.26%	0.00%	0.00%	0.00%	0.00%	0.25%	0.13%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	42	4	7	9	2	2	1	3	2	0	1	2	0	1	0	1	2	0	0	2	0	2	0	1	0	0	0	0	0	0									
		0.37%	0.69%	0.75%	0.98%	0.24%	0.52%	0.30%	1.19%	0.45%	0.00%	0.25%	0.27%	0.00%	0.35%	0.00%	0.46%	0.87%	0.00%	0.00%	1.05%	0.00%	0.50%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	988	81	124	110	81	45	34	27	39	21	24	71	15	40	7	20	20	11	41	8	9	20	30	16	8	4	2	31	33	16									
		8.76%	13.99%	13.25%	11.96%	9.70%	11.81%	10.21%	10.67%	8.84%	8.79%	6.05%	9.52%	8.24%	14.08%	1.63%	9.26%	8.70%	5.67%	4.24%	4.19%	4.95%	5.00%	10.34%	5.13%	6.67%	2.99%	2.04%	5.92%	9.76%	12.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	62	6	4	15	9	2	2	1	2	0	2	7	1	0	0	0	5	1	0	0	0	1	0	0	0	0	0	3	0	1									
