Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Ак-Довуракская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38					
1	"Число избирателей, внесенных в списки избирателей"	6876	1378	1120	1125	1167	1084	1002					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6598	1286	1053	1082	1100	1072	1005					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5262	922	778	880	828	973	881					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	199	22	68	32	26	27	24					
6	Число погашенных избирательных бюллетеней	1137	342	207	170	246	72	100					
7	Число избирательных бюллетеней в переносных ящиках для голосования	199	22	68	32	26	27	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5262	922	778	880	828	973	881					
9	Число недействительных избирательных бюллетеней	52	19	5	6	12	8	2					
10	Число действительных избирательных бюллетеней	5409	925	841	906	842	992	903					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	82	13	13	14	15	14	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	40	10	7	4	9	5	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	12	1	3	4	3	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	42	3	6	10	6	9	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	35	4	7	6	10	3	5					
		0.64%	0.42%	0.83%	0.66%	1.17%	0.30%	0.55%					
19	2.Всероссийская политическая партия «Гражданская Сила»	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	1	1	1	1	1	1					
		0.11%	0.11%	0.12%	0.11%	0.12%	0.10%	0.11%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	97	21	12	10	27	12	15					
		1.78%	2.22%	1.42%	1.10%	3.16%	1.20%	1.66%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	0	0	1	0	0	1					
		0.04%	0.00%	0.00%	0.11%	0.00%	0.00%	0.11%					
23	6.Политическая партия «Партия социальной справедливости»	4	0	0	2	1	0	1					
		0.07%	0.00%	0.00%	0.22%	0.12%	0.00%	0.11%					
24	7.Политическая партия «Либерально-демократическая партия России»	69	14	12	15	12	8	8					
		1.26%	1.48%	1.42%	1.64%	1.41%	0.80%	0.88%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	72	8	10	16	17	11	10					
		1.32%	0.85%	1.18%	1.75%	1.99%	1.10%	1.10%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	27	2	4	5	6	4	6					
		0.49%	0.21%	0.47%	0.55%	0.70%	0.40%	0.66%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5085	872	792	849	766	951	855					
		93.11%	92.37%	93.62%	93.09%	89.70%	95.10%	94.48%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	12	3	3	1	2	2	1					
		0.22%	0.32%	0.35%	0.11%	0.23%	0.20%	0.11%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
