Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва													
Дата голосования: 04.12.2011													
													
Наименование Избирательной комиссии:    Ак-Довуракская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38					
1	"Число избирателей, внесенных в список избирателей"	6550	1199	1081	1016	1164	1085	1005					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6606	1205	1115	1016	1175	1085	1010					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5984	1052	1041	997	820	1072	1002					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	103	13	40	19	15	13	3					
6	Число погашенных избирательных бюллетеней	519	140	34	0	340	0	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	103	13	40	19	15	13	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5984	1052	1041	997	820	1072	1002					
9	Число недействительных избирательных бюллетеней	29	3	13	5	2	0	6					
10	Число действительных избирательных бюллетеней	6058	1062	1068	1011	833	1085	999					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	78	14	13	14	15	11	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	33	8	7	4	5	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	15	6	3	2	3	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	45	6	6	10	10	5	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	1	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	144	15	6	22	61	3	37					
		2.37%	1.41%	0.56%	2.17%	7.31%	0.28%	3.68%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	61	13	6	10	11	9	12					
		1.00%	1.22%	0.56%	0.98%	1.32%	0.83%	1.19%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	5	5	3	4	1	3					
		0.34%	0.47%	0.46%	0.30%	0.48%	0.09%	0.30%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	112	10	5	8	48	5	36					
		1.84%	0.94%	0.46%	0.79%	5.75%	0.46%	3.58%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	15	2	4	2	3	4	0					
		0.25%	0.19%	0.37%	0.20%	0.36%	0.37%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5693	1014	1041	965	704	1061	908					
		93.53%	95.21%	96.30%	94.98%	84.31%	97.79%	90.35%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	12	3	1	1	2	2	3					
		0.20%	0.28%	0.09%	0.10%	0.24%	0.18%	0.30%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
