Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Веселовская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №2519					
1	"Число избирателей, внесенных в список избирателей"	19427	2563	1182	1216	2564	313	117	212	808	637	404	382	905	500	1347	682	761	471	307	470	882	329	987	573	815					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17810	2350	1050	1100	2350	300	110	200	750	600	350	350	850	450	1200	630	700	430	270	450	800	300	900	550	770					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10225	1360	596	609	1144	143	65	108	463	338	194	177	444	359	701	337	445	332	179	300	483	196	580	285	387					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	996	39	99	44	95	22	11	20	39	30	75	30	92	14	42	37	21	10	29	30	44	24	37	54	58					
6	Число погашенных избирательных бюллетеней	6589	951	355	447	1111	135	34	72	248	232	81	143	314	77	457	256	234	88	62	120	273	80	283	211	325					
7	Число избирательных бюллетеней в переносных ящиках для голосования	996	39	99	44	95	22	11	20	39	30	75	30	92	14	42	37	21	10	29	30	44	24	37	54	58					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10225	1360	596	609	1144	143	65	108	463	338	194	177	444	359	701	337	445	332	179	300	483	196	580	285	387					
9	Число недействительных избирательных бюллетеней	119	17	6	8	7	0	0	1	6	3	1	3	4	0	8	4	8	2	1	3	11	2	18	3	3					
10	Число действительных избирательных бюллетеней	11102	1382	689	645	1232	165	76	127	496	365	268	204	532	373	735	370	458	340	207	327	516	218	599	336	442					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	691	44	30	45	55	20	20	20	20	30	25	20	45	30	40	30	30	20	20	20	30	20	20	20	37					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	329	41	15	27	26	3	4	3	20	30	4	2	15	5	9	7	8	2	0	17	14	7	20	17	33					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	91	13	6	9	4	1	1	3	5	2	3	2	4	3	4	2	2	4	3	4	5	2	5	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	362	3	15	18	29	17	16	17	0	0	21	18	30	25	31	23	22	18	20	3	16	13	0	3	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	1	0	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1237	154	98	74	162	27	7	10	52	34	32	14	63	37	69	37	50	23	34	45	55	28	70	19	43					
		11.02%	11.01%	14.10%	11.33%	13.08%	16.36%	9.21%	7.81%	10.36%	9.24%	11.90%	6.76%	11.75%	9.92%	9.29%	9.89%	10.73%	6.73%	16.35%	13.64%	10.44%	12.73%	11.35%	5.60%	9.66%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1292	138	69	81	145	19	4	8	78	19	34	22	90	52	70	31	59	39	15	44	60	34	85	34	62					
		11.51%	9.86%	9.93%	12.40%	11.70%	11.52%	5.26%	6.25%	15.54%	5.16%	12.64%	10.63%	16.79%	13.94%	9.42%	8.29%	12.66%	11.40%	7.21%	13.33%	11.39%	15.45%	13.78%	10.03%	13.93%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	99	10	7	4	20	0	4	0	7	7	2	4	5	1	5	7	4	2	3	1	2	1	2	1	0					
		0.88%	0.71%	1.01%	0.61%	1.61%	0.00%	5.26%	0.00%	1.39%	1.90%	0.74%	1.93%	0.93%	0.27%	0.67%	1.87%	0.86%	0.58%	1.44%	0.30%	0.38%	0.45%	0.32%	0.29%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2824	408	187	196	341	31	11	20	91	134	50	40	109	72	233	137	84	44	54	56	144	46	131	65	140					
		25.17%	29.16%	26.91%	30.02%	27.52%	18.79%	14.47%	15.63%	18.13%	36.41%	18.59%	19.32%	20.34%	19.30%	31.36%	36.63%	18.03%	12.87%	25.96%	16.97%	27.32%	20.91%	21.23%	19.17%	31.46%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	203	49	23	17	25	3	0	1	6	1	7	4	4	1	12	2	11	0	2	3	7	2	10	5	8					
		1.81%	3.50%	3.31%	2.60%	2.02%	1.82%	0.00%	0.78%	1.20%	0.27%	2.60%	1.93%	0.75%	0.27%	1.62%	0.53%	2.36%	0.00%	0.96%	0.91%	1.33%	0.91%	1.62%	1.47%	1.80%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5396	619	304	271	536	80	50	88	260	168	142	119	254	208	338	156	245	231	99	177	246	106	299	211	189					
		48.09%	44.25%	43.74%	41.50%	43.26%	48.48%	65.79%	68.75%	51.79%	45.65%	52.79%	57.49%	47.39%	55.76%	45.49%	41.71%	52.58%	67.54%	47.60%	53.64%	46.68%	48.18%	48.46%	62.24%	42.47%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	51	4	1	2	3	5	0	0	2	2	1	1	7	2	8	0	5	1	0	1	2	1	2	1	0					
		0.45%	0.29%	0.14%	0.31%	0.24%	3.03%	0.00%	0.00%	0.40%	0.54%	0.37%	0.48%	1.31%	0.54%	1.08%	0.00%	1.07%	0.29%	0.00%	0.30%	0.38%	0.45%	0.32%	0.29%	0.00%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
