Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																
Дата голосования: 18.09.2016																																																																
																																																																
Наименование Избирательной комиссии:    Сарапульская городская																																																																
																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																
																																																																
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	75336	1833	1288	808	1688	1376	1326	1370	1229	1329	1343	1244	1269	1334	1394	1626	1304	1200	1573	1329	1346	1486	2270	1070	904	1500	1626	1519	1191	1326	2753	1323	1390	1429	1179	1316	1503	1621	1757	1086	1645	1762	890	1474	1336	1542	1345	1736	1096	1600	1256	950	1584	1662									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74100	1800	1250	800	1650	1400	1300	1350	1200	1300	1300	1200	1250	1300	1400	1600	1300	1200	1550	1300	1300	1450	2300	1050	850	1500	1600	1500	1150	1300	2700	1300	1350	1400	1150	1300	1500	1600	1750	1050	1650	1750	800	1450	1300	1500	1350	1700	1100	1550	1250	950	1550	1650									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28855	558	442	256	625	403	413	482	499	355	357	327	270	550	599	664	560	462	641	461	521	556	929	274	356	580	591	532	494	513	682	510	412	532	460	580	523	771	711	553	706	848	364	579	706	733	729	826	553	734	571	305	546	651									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	499	18	13	1	52	6	2	6	14	6	4	0	30	9	6	11	5	12	13	5	11	2	27	1	3	5	4	4	3	8	18	10	0	10	5	3	6	15	16	1	12	8	34	4	6	12	5	2	8	5	5	11	9	13									
6	Число погашенных избирательных бюллетеней	44746	1224	795	543	973	991	885	862	687	939	939	873	950	741	795	925	735	726	896	834	768	892	1344	775	491	915	1005	964	653	779	2000	780	938	858	685	717	971	814	1023	496	932	894	402	867	588	755	616	872	539	811	674	634	995	986									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	499	18	13	1	52	6	2	6	14	6	4	0	30	9	6	11	5	12	13	5	11	2	27	1	3	5	4	4	3	8	18	10	0	10	5	3	6	15	16	1	12	8	34	4	6	12	5	2	8	5	5	11	9	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28845	558	442	256	625	403	413	482	498	355	357	327	270	550	599	664	560	460	641	459	521	556	929	274	356	580	591	531	494	513	682	510	412	532	457	580	523	771	710	553	706	848	364	579	706	733	729	826	553	734	571	305	546	651									
9	Число недействительных избирательных бюллетеней	626	20	11	7	20	9	6	10	12	7	6	9	12	14	19	15	10	10	16	12	9	11	14	2	6	10	13	11	10	16	16	13	10	7	8	21	7	9	16	10	14	12	3	12	16	18	11	25	15	8	16	9	8	15									
10	Число действительных избирательных бюллетеней	28718	556	444	250	657	400	409	478	500	354	355	318	288	545	586	660	555	462	638	452	523	547	942	273	353	575	582	524	487	505	684	507	402	535	454	562	522	777	710	544	704	844	395	571	696	727	723	803	546	731	560	307	547	649									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1005	25	20	10	25	20	20	20	15	20	20	15	20	20	20	20	20	15	20	20	20	20	25	15	10	20	20	20	15	20	30	20	20	20	15	20	20	20	20	15	20	20	10	20	20	20	20	20	15	20	20	10	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	366	5	6	5	7	5	1	7	4	1	8	2	7	12	9	5	14	6	14	6	4	10	20	8	2	7	6	9	5	11	6	3	3	8	0	6	6	11	5	5	5	12	2	9	4	3	9	15	12	9	6	5	9	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	207	7	4	0	7	0	3	5	4	5	2	6	3	6	5	2	12	4	4	8	3	1	8	5	4	2	6	3	0	8	2	2	4	6	3	1	10	2	1	0	3	2	5	1	5	2	0	0	2	4	2	3	6	14									
14	Число погашенных неиспользованных открепительных удостоверений	639	20	14	5	18	15	19	13	11	19	12	13	13	8	11	15	6	9	6	14	16	10	5	7	8	13	14	11	10	9	24	17	17	12	15	14	14	9	15	10	15	8	8	11	16	17	11	5	3	11	14	5	11	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	2	0	0	1	0	2	0	0	0	0	0	0	1	2	0	1	1	1	1	1	1	0	0	0	0	0	2	1	0	1	0	0	1	1	0	1	0	3	0	0	1	0	0	0	1	1	1	1	1	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	399	10	8	2	8	6	9	6	8	7	4	5	3	13	13	11	4	10	8	11	11	10	10	5	8	11	5	7	4	4	6	6	8	4	5	9	2	6	4	5	13	8	6	8	9	9	16	12	3	14	4	9	7	5									
		1.36%	1.74%	1.76%	0.78%	1.18%	1.47%	2.17%	1.23%	1.56%	1.94%	1.11%	1.53%	1.00%	2.33%	2.15%	1.63%	0.71%	2.12%	1.22%	2.37%	2.07%	1.79%	1.05%	1.82%	2.23%	1.88%	0.84%	1.31%	0.80%	0.77%	0.86%	1.15%	1.94%	0.74%	1.08%	1.54%	0.38%	0.76%	0.55%	0.90%	1.81%	0.93%	1.51%	1.37%	1.26%	1.21%	2.18%	1.45%	0.53%	1.89%	0.69%	2.85%	1.26%	0.75%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	750	12	12	7	18	13	5	18	13	7	10	10	2	10	10	11	6	16	15	14	18	14	27	4	5	10	15	10	17	11	17	10	14	10	6	17	11	18	24	17	25	25	9	27	17	21	18	22	13	20	14	12	12	31									
		2.56%	2.08%	2.64%	2.72%	2.66%	3.18%	1.20%	3.69%	2.54%	1.94%	2.77%	3.06%	0.67%	1.79%	1.65%	1.63%	1.06%	3.39%	2.29%	3.02%	3.38%	2.51%	2.82%	1.45%	1.39%	1.71%	2.52%	1.87%	3.42%	2.11%	2.43%	1.92%	3.40%	1.85%	1.30%	2.92%	2.08%	2.29%	3.31%	3.07%	3.48%	2.92%	2.26%	4.63%	2.39%	2.82%	2.45%	2.66%	2.32%	2.71%	2.43%	3.80%	2.16%	4.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	663	12	14	4	16	8	10	13	9	13	7	8	3	15	26	26	18	11	19	17	16	8	37	8	6	18	13	8	10	9	5	15	11	8	6	11	10	17	25	12	10	23	6	11	16	19	11	8	9	17	10	3	7	11									
		2.26%	2.08%	3.08%	1.56%	2.36%	1.96%	2.41%	2.66%	1.76%	3.60%	1.94%	2.45%	1.00%	2.68%	4.30%	3.85%	3.19%	2.33%	2.91%	3.66%	3.01%	1.43%	3.87%	2.91%	1.67%	3.08%	2.18%	1.50%	2.01%	1.73%	0.71%	2.88%	2.67%	1.48%	1.30%	1.89%	1.89%	2.16%	3.44%	2.17%	1.39%	2.69%	1.51%	1.89%	2.25%	2.55%	1.50%	0.97%	1.60%	2.30%	1.74%	0.95%	1.26%	1.66%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12952	264	210	117	301	175	193	228	223	168	162	147	142	232	249	273	262	221	258	187	225	219	390	124	140	257	266	215	207	246	319	223	189	263	218	237	228	346	312	241	301	393	176	263	306	330	322	381	243	353	241	171	284	311									
		44.14%	45.83%	46.15%	45.53%	44.46%	42.79%	46.51%	46.72%	43.55%	46.54%	44.88%	44.95%	47.33%	41.50%	41.16%	40.44%	46.37%	46.82%	39.45%	40.30%	42.29%	39.25%	40.79%	45.09%	38.99%	43.93%	44.71%	40.19%	41.65%	47.22%	45.57%	42.88%	45.87%	48.52%	47.19%	40.65%	43.10%	44.02%	42.98%	43.50%	41.92%	45.91%	44.22%	45.11%	42.98%	44.30%	43.87%	46.01%	43.32%	47.77%	41.84%	54.11%	51.17%	46.84%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	149	6	2	0	4	3	1	6	5	0	2	1	3	0	6	2	5	1	1	4	0	2	6	3	2	4	1	1	5	1	5	2	3	2	1	2	1	3	4	3	11	2	1	1	3	3	2	7	3	7	0	0	1	5									
