Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Кашарская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062					
1	"Число избирателей, внесенных в списки"	20539	2008	1124	1487	655	558	410	366	1012	185	166	563	181	589	1000	626	168	347	143	399	421	743	334	217	347	311	1383	145	122	745	671	397	357	434	501	659	557	208					
2	"Число бюллетеней, полученных участковыми комиссиями"	21009	2004	1137	1491	667	558	412	364	1006	186	167	566	218	592	1016	635	172	351	145	398	420	739	447	216	344	311	1383	147	123	753	684	390	350	665	508	665	572	207					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12439	1119	586	732	286	375	267	299	552	114	125	406	153	374	549	466	110	189	97	247	210	405	278	130	225	222	850	99	90	463	469	293	183	407	255	337	319	158					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1969	89	44	68	58	77	86	31	32	45	11	50	28	43	203	16	27	52	13	63	71	51	56	47	49	31	148	36	17	83	75	20	52	27	49	54	42	25					
6	Число погашенных бюллетеней	6601	796	507	691	323	106	59	34	422	27	31	110	37	175	264	153	35	110	35	88	139	283	113	39	70	58	385	12	16	207	140	77	115	231	204	274	211	24					
7	Число бюллетеней в переносных ящиках для голосования	1969	89	44	68	58	77	86	31	32	45	11	50	28	43	203	16	27	52	13	63	71	51	56	47	49	31	148	36	17	83	75	20	52	27	49	54	42	25					
8	Число бюллетеней в стационарных ящиках для голосования	12379	1119	586	732	286	375	267	299	552	114	125	406	153	374	549	466	110	189	97	247	210	405	278	130	225	222	790	99	90	463	469	293	183	407	255	337	319	158					
9	Число недействительных бюллетеней	230	27	12	9	6	12	6	5	8	3	4	3	0	13	11	0	1	0	2	3	5	1	4	3	7	4	32	0	0	2	1	4	6	6	15	3	8	4					
10	Число действительных бюллетеней	14118	1181	618	791	338	440	347	325	576	156	132	453	181	404	741	482	136	241	108	307	276	455	330	174	267	249	906	135	107	544	543	309	229	428	289	388	353	179					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	500	41	27	36	22	14	10	9	24	4	4	14	5	14	24	15	4	8	3	10	10	18	11	5	8	7	33	3	3	18	16	9	8	16	12	16	14	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	86	16	10	9	8	2	5	0	3	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	8	0	0	4	7	0	0	0	2	0	3	0					
