Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Ноябрьская городская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140					
1	"Число избирателей, внесенных в списки избирателей"	80785	2513	2489	2252	2483	2558	2376	2182	2191	2374	2381	2371	2651	2187	2176	2426	2189	2233	2517	2359	2095	2467	2022	2144	2219	2219	1615	2414	2182	3580	4004	2325	1794	1993	1472	1332					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78700	2300	2450	2150	2400	2400	2250	2050	2150	2250	2100	2150	2500	2150	2250	2300	2050	2150	2350	2300	1950	2400	1900	1950	2150	2150	1500	2200	2050	4500	4700	2150	1550	1800	1600	1450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	3626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1721	1905	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	66515	2236	2342	1842	2352	2302	2175	1883	1887	1665	2034	2003	2341	1943	1988	2126	1819	1926	2328	1936	1847	1798	1494	1861	2084	2062	1400	1676	1890	1677	1813	1927	1496	1614	1445	1303					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	633	14	18	18	13	22	15	16	17	12	16	26	13	7	19	9	32	18	22	12	16	12	18	22	16	18	12	94	17	6	2	20	7	22	27	5					
6	Число погашенных избирательных бюллетеней	7926	50	90	290	35	76	60	151	246	573	50	121	146	200	243	165	199	206	0	352	87	590	388	67	50	70	88	430	143	1096	980	203	47	164	128	142					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4259	14	18	18	13	22	15	16	17	12	16	26	13	7	19	9	32	18	22	12	16	12	18	22	16	18	12	94	17	1727	1907	20	7	22	27	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66479	2236	2342	1842	2352	2302	2175	1883	1887	1665	2034	2003	2341	1943	1969	2126	1819	1926	2328	1931	1847	1798	1494	1861	2084	2062	1388	1676	1890	1677	1813	1927	1496	1614	1445	1303					
9	Число недействительных избирательных бюллетеней	56	2	3	1	1	0	15	3	1	0	2	2	0	3	1	0	0	1	0	2	0	4	3	0	2	0	1	2	2	0	2	2	0	1	0	0					
10	Число действительных избирательных бюллетеней	70682	2248	2357	1859	2364	2324	2175	1896	1903	1677	2048	2027	2354	1947	1987	2135	1851	1943	2350	1941	1863	1806	1509	1883	2098	2080	1399	1768	1905	3404	3718	1945	1503	1635	1472	1308					
