Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Саткинская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №2353	УИК №2354									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	61735	1530	642	1509	1593	321	1732	1748	2145	1429	1299	880	954	857	584	1545	1465	618	972	561	1438	1559	1635	1527	1651	430	343	313	550	1608	1024	1150	293	1854	815	1047	2623	766	532	301	607	719	336	236	141	2060	1939	1887	2265	1566	848	906	784	339	1127	232	154	841	905									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49720	1240	520	1230	1280	260	1400	1390	1680	1150	1060	710	760	680	470	1230	1170	500	780	460	1160	1260	1320	1230	1320	350	280	250	430	1300	820	920	250	1500	650	850	2190	600	440	240	490	580	260	180	110	1670	1560	1520	1820	1270	690	720	630	280	910	190	120	660	730									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26161	679	206	599	446	127	907	868	897	734	634	404	454	393	286	656	750	298	339	147	639	706	726	781	775	172	114	121	181	556	223	297	137	714	341	372	1245	339	288	122	300	179	110	66	57	778	990	869	982	669	403	441	370	115	254	95	41	372	397									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1421	38	17	26	101	7	13	12	6	11	34	8	13	12	8	14	34	16	44	12	12	13	12	12	9	30	45	33	18	40	31	20	26	16	27	101	116	19	80	24	17	27	1	15	4	22	16	24	31	10	30	22	23	20	9	12	22	0	6									
6	Число погашенных избирательных бюллетеней	22145	523	297	605	733	126	480	510	777	405	392	298	293	275	176	560	386	186	404	301	509	541	582	437	536	148	121	96	231	704	566	603	87	770	282	377	829	242	72	94	173	374	149	99	49	870	554	627	807	591	257	257	237	145	647	83	57	288	327									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1421	38	17	26	101	7	13	12	6	11	34	8	13	12	8	14	34	16	44	12	12	13	12	12	9	30	45	33	18	40	31	20	26	16	27	101	116	19	80	24	17	27	1	15	4	22	16	24	31	10	30	22	23	20	9	12	22	0	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26160	679	206	599	446	127	907	868	897	734	634	404	454	393	286	656	750	298	339	147	639	706	726	780	775	172	114	121	181	556	223	297	137	714	341	372	1245	339	288	122	300	179	110	66	57	778	990	869	982	669	403	441	370	115	254	95	41	372	397									
9	Число недействительных избирательных бюллетеней	1080	22	8	30	32	5	46	36	35	46	9	19	16	19	7	20	24	15	20	3	18	21	37	32	26	13	0	1	10	29	6	8	9	29	9	10	44	10	34	3	1	5	2	1	0	40	30	46	58	39	10	15	22	4	17	7	4	10	8									
10	Число действительных избирательных бюллетеней	26501	695	215	595	515	129	874	844	868	699	659	393	451	386	287	650	760	299	363	156	633	698	701	760	758	189	159	153	189	567	248	309	154	701	359	463	1317	348	334	143	316	201	109	80	61	760	976	847	955	640	423	448	371	131	246	100	59	362	395									
