Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
"Наименование Избирательной комиссии:    Иркутск, Октябрьская"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705					
1	"Число избирателей, внесенных в список избирателей"	110816	2354	2304	2652	2153	2631	1863	1723	1730	1775	2646	2429	2483	2462	1929	2658	2470	1064	2307	2491	2512	2533	1842	2108	2509	1960	2390	1273	1370	2456	1737	1159	2245	1784	1242	1880	1948	1755	2129	1538	2343	2528	2771	2555	1529	1797	1804	1974	1264	586	1168	905	2367	1891	1873	2892	75					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	96250	1800	2150	2400	1700	2000	1400	1300	1300	1400	2400	2400	2400	2400	1400	2550	2300	1000	1800	2400	2400	2350	1700	2000	2400	1850	2300	1150	1000	1900	1400	1400	1700	1200	1000	1500	1500	1700	2050	1100	1800	2450	2700	2000	1450	1700	1750	1850	1000	600	1000	850	2000	1400	1400	2100	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	48001	935	1004	1202	920	1167	895	767	552	827	1005	1074	1026	1045	711	1040	963	425	1083	1226	1117	1220	844	935	1224	967	1018	599	478	1123	821	863	1207	496	308	718	867	833	968	550	951	1100	1364	1095	747	733	771	814	525	182	505	439	938	782	652	1305	75					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1628	18	26	24	22	24	12	23	15	22	14	100	35	30	36	38	29	9	14	25	18	19	36	24	35	26	77	16	46	9	9	20	5	247	11	5	37	21	24	22	16	31	14	18	21	19	24	29	0	128	4	7	40	16	10	28	0					
6	Число погашенных избирательных бюллетеней	46620	847	1120	1174	758	809	493	510	733	551	1381	1226	1338	1325	653	1472	1308	566	703	1149	1265	1111	820	1041	1141	857	1205	535	476	768	570	517	488	457	681	777	596	846	1058	528	833	1319	1322	887	682	948	955	1007	475	290	491	404	1022	602	738	767	25					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1628	18	26	24	22	24	12	23	15	22	14	100	35	30	36	38	29	9	14	25	18	19	36	24	35	26	77	16	46	9	9	20	5	247	11	5	37	21	24	22	16	31	14	18	21	19	24	29	0	128	4	7	40	16	10	28	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47990	935	1004	1202	920	1167	895	767	552	827	1005	1074	1025	1045	711	1040	963	425	1083	1226	1117	1220	844	935	1224	967	1015	599	478	1121	821	863	1207	496	308	718	867	833	968	550	951	1100	1364	1095	747	733	771	814	525	182	505	439	935	782	652	1303	75					
9	Число недействительных избирательных бюллетеней	503	12	8	8	12	15	6	9	1	5	14	21	9	17	4	9	9	5	6	14	16	11	5	8	8	9	7	4	1	16	7	20	9	7	6	5	8	20	11	15	13	17	11	5	8	6	6	4	6	4	7	5	11	14	9	0	0					
10	Число действительных избирательных бюллетеней	49115	941	1022	1218	930	1176	901	781	566	844	1005	1153	1051	1058	743	1069	983	429	1091	1237	1119	1228	875	951	1251	984	1085	611	523	1114	823	863	1203	736	313	718	896	834	981	557	954	1114	1367	1108	760	746	789	839	519	306	502	441	964	784	653	1331	75					
