Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Ширинская																																								
																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375					
1	"Число избирателей, внесенных в списки"	21582	1133	1981	2433	1020	171	180	126	1760	1435	305	1355	1562	522	534	139	363	180	61	662	116	192	139	688	453	938	499	651	880	178	465	150	68	243					
2	"Число бюллетеней, полученных участковыми комиссиями"	21325	1119	1925	2390	1010	171	181	128	1708	1378	294	1300	1570	534	533	140	364	180	60	627	124	179	139	696	475	959	494	654	899	179	460	142	72	241					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10774	504	929	1102	599	103	135	112	792	683	96	594	727	147	290	90	244	127	48	374	75	119	93	335	251	474	273	351	469	92	269	110	54	113					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	750	48	54	96	30	3	0	4	56	60	9	42	43	47	30	0	15	22	3	27	5	0	2	0	21	25	20	23	10	0	12	0	4	39					
6	Число погашенных бюллетеней	9801	567	942	1192	381	65	46	12	860	635	189	664	800	340	213	50	105	31	9	226	44	60	44	361	203	460	201	280	420	87	179	32	14	89					
7	Число бюллетеней в переносных ящиках для голосования	750	48	54	96	30	3	0	4	56	60	9	42	43	47	30	0	15	22	3	27	5	0	2	0	21	25	20	23	10	0	12	0	4	39					
8	Число бюллетеней в стационарных ящиках для голосования	10767	504	927	1101	599	103	135	112	792	680	96	594	726	147	290	90	244	127	48	374	75	119	93	335	251	474	273	351	469	92	269	110	54	113					
9	Число недействительных бюллетеней	100	5	2	5	6	4	4	1	7	4	0	6	4	2	5	3	2	0	0	4	1	2	5	0	4	5	6	1	3	1	2	1	0	5					
10	Число действительных бюллетеней	11417	547	979	1192	623	102	131	115	841	736	105	630	765	192	315	87	257	149	51	397	79	117	90	335	268	494	287	373	476	91	279	109	58	147					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	243	5	20	20	7	5	5	5	20	10	5	10	10	7	7	5	5	5	5	8	5	5	5	7	7	7	7	5	7	5	6	5	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	3	3	1	3	0	1	0	8	2	0	9	5	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	3	5	3	0	0	1	1	19	0	0	0	1	0	1	0	1	0	0	13	1	1	0	0	1	2	0	0	2	1	0	0	0	1					
14	Число погашенных открепительных удостоверений	202	2	17	19	4	5	4	5	12	8	5	1	5	6	7	5	4	5	5	7	5	4	5	7	7	6	6	5	7	5	6	5	5	3					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	110	5	3	5	2	2	0	5	2	0	0	7	9	2	10	2	5	6	1	8	2	3	3	2	0	7	3	3	4	3	1	3	0	2					
		0.95%	0.90%	0.30%	0.41%	0.31%	1.88%	0.0%	4.31%	0.23%	0.0%	0.0%	1.10%	1.17%	1.03%	3.12%	2.22%	1.93%	4.02%	1.96%	1.99%	2.5%	2.52%	3.15%	0.59%	0.0%	1.40%	1.02%	0.80%	0.83%	3.26%	0.35%	2.72%	0.0%	1.31%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	82	4	12	14	3	1	2	1	4	5	1	4	3	1	0	0	0	1	3	4	0	0	0	4	1	2	3	2	3	0	1	0	0	3					
		0.71%	0.72%	1.22%	1.16%	0.47%	0.94%	1.48%	0.86%	0.47%	0.67%	0.95%	0.62%	0.39%	0.51%	0.0%	0.0%	0.0%	0.67%	5.88%	0.99%	0.0%	0.0%	0.0%	1.19%	0.36%	0.40%	1.02%	0.53%	0.62%	0.0%	0.35%	0.0%	0.0%	1.97%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	333	14	32	23	21	2	0	7	26	19	2	20	33	16	13	3	1	2	3	11	3	1	2	9	12	11	19	6	9	1	3	1	1	7					
		2.89%	2.53%	3.26%	1.92%	3.33%	1.88%	0.0%	6.03%	3.06%	2.56%	1.90%	3.14%	4.29%	8.24%	4.06%	3.33%	0.38%	1.34%	5.88%	2.74%	3.75%	0.84%	2.10%	2.68%	4.41%	2.20%	6.48%	1.60%	1.87%	1.08%	1.06%	0.90%	1.72%	4.60%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	209	4	17	19	9	6	0	0	19	25	5	18	19	6	3	0	8	0	1	8	2	0	1	6	2	6	5	4	7	3	3	0	1	2					
		1.81%	0.72%	1.73%	1.58%	1.43%	5.66%	0.0%	0.0%	2.24%	3.37%	4.76%	2.83%	2.47%	3.09%	0.93%	0.0%	3.08%	0.0%	1.96%	1.99%	2.5%	0.0%	1.05%	1.79%	0.73%	1.20%	1.70%	1.06%	1.46%	3.26%	1.06%	0.0%	1.72%	1.31%					
22	"5. ""За Русь Святую"""	34	1	4	0	4	0	0	0	0	4	1	5	0	0	2	0	2	1	2	2	0	0	0	2	0	2	0	1	0	1	0	0	0	0					
		0.29%	0.18%	0.40%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.54%	0.95%	0.78%	0.0%	0.0%	0.62%	0.0%	0.77%	0.67%	3.92%	0.49%	0.0%	0.0%	0.0%	0.59%	0.0%	0.40%	0.0%	0.26%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	43	0	5	3	1	0	0	0	3	1	0	2	2	0	1	0	4	0	4	0	1	3	1	1	0	3	1	0	3	1	0	1	0	2					
		0.37%	0.0%	0.50%	0.25%	0.15%	0.0%	0.0%	0.0%	0.35%	0.13%	0.0%	0.31%	0.26%	0.0%	0.31%	0.0%	1.54%	0.0%	7.84%	0.0%	1.25%	2.52%	1.05%	0.29%	0.0%	0.60%	0.34%	0.0%	0.62%	1.08%	0.0%	0.90%	0.0%	1.31%					
24	"7. ""Новый курс - Автомобильная Россия"""	57	3	9	8	8	0	1	0	8	1	0	2	5	0	0	0	0	0	0	1	2	0	0	0	0	5	0	1	3	0	0	0	0	0					
		0.49%	0.54%	0.91%	0.66%	1.27%	0.0%	0.74%	0.0%	0.94%	0.13%	0.0%	0.31%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	2.5%	0.0%	0.0%	0.0%	0.0%	1.00%	0.0%	0.26%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	0	0	0	0	1	0	0	2	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.0%	0.23%	0.13%	0.0%	0.0%	0.13%	0.0%	0.31%	0.0%	0.38%	0.0%	1.96%	0.24%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%					
26	"9. ""Российская экологическая партия ""Зеленые"""	35	0	4	2	0	0	0	0	4	0	2	4	1	0	1	0	0	0	0	1	2	1	1	1	0	4	1	5	0	1	0	0	0	0					
		0.30%	0.0%	0.40%	0.16%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	1.90%	0.62%	0.13%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.24%	2.5%	0.84%	1.05%	0.29%	0.0%	0.80%	0.34%	1.33%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	653	16	13	48	10	7	21	9	19	15	3	9	12	8	30	3	23	14	6	51	4	14	3	62	39	29	39	58	54	1	15	5	1	12					
		5.66%	2.89%	1.32%	4.01%	1.58%	6.60%	15.55%	7.75%	2.24%	2.02%	2.85%	1.41%	1.56%	4.12%	9.37%	3.33%	8.88%	9.39%	11.76%	12.71%	5.0%	11.76%	3.15%	18.50%	14.33%	5.81%	13.31%	15.50%	11.27%	1.08%	5.33%	4.54%	1.72%	7.89%					
28	"11. ""Истинные патриоты России"""	20	0	2	4	0	0	0	0	0	3	0	2	1	0	0	0	0	0	0	1	0	0	0	1	0	0	3	1	1	0	1	0	0	0					
