Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Костомукшская городская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24531	1311	2315	395	2972	2526	2792	2661	2717	2675	2692	1448	27									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25000	1350	2300	400	2990	2590	2800	2700	2780	2690	2700	1400	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9825	533	910	130	1195	917	1330	1065	998	1096	1049	585	17									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	91	10	6	4	13	8	2	10	17	5	5	2	9									
6	Число погашенных избирательных бюллетеней	15084	807	1384	266	1782	1665	1468	1625	1765	1589	1646	813	274									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	91	10	6	4	13	8	2	10	17	5	5	2	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9792	533	904	130	1195	916	1330	1045	996	1094	1047	585	17									
9	Число недействительных избирательных бюллетеней	230	6	19	3	25	17	28	32	35	33	23	9	0									
10	Число действительных избирательных бюллетеней	9653	537	891	131	1183	907	1304	1023	978	1066	1029	578	26									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	50	50	50	50	50	50	50	50	50	50	50	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	75	2	4	2	7	6	18	4	9	6	13	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	2	3	0	2	2	6	5	8	4	4	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	475	48	46	48	43	44	32	46	41	44	37	46	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	4	2	0	2	4	44	8	3	6	5	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	180	9	26	0	10	21	33	15	18	23	17	8	0									
		1.82%	1.66%	2.86%	0.00%	0.83%	2.27%	2.48%	1.42%	1.78%	2.09%	1.62%	1.36%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	196	14	18	3	26	16	21	20	20	28	19	11	0									
		1.98%	2.58%	1.98%	2.24%	2.15%	1.73%	1.58%	1.90%	1.97%	2.55%	1.81%	1.87%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	243	16	25	3	35	27	33	22	26	27	18	11	0									
		2.46%	2.95%	2.75%	2.24%	2.90%	2.92%	2.48%	2.09%	2.57%	2.46%	1.71%	1.87%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4836	257	437	70	629	452	665	521	454	544	473	321	13									
		48.93%	47.33%	48.02%	52.24%	52.07%	48.92%	49.92%	49.38%	44.82%	49.50%	44.96%	54.68%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	92	5	7	4	11	10	9	10	11	13	7	4	1									
		0.93%	0.92%	0.77%	2.99%	0.91%	1.08%	0.68%	0.95%	1.09%	1.18%	0.67%	0.68%	3.85%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	0	3	0	2	0	2	1	2	3	2	1	1									
		0.17%	0.00%	0.33%	0.00%	0.17%	0.00%	0.15%	0.09%	0.20%	0.27%	0.19%	0.17%	3.85%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1656	81	148	23	203	147	211	159	188	195	208	90	3									
		16.76%	14.92%	16.26%	17.16%	16.80%	15.91%	15.84%	15.07%	18.56%	17.74%	19.77%	15.33%	11.54%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	102	1	12	0	13	8	16	14	8	11	14	5	0									
		1.03%	0.18%	1.32%	0.00%	1.08%	0.87%	1.20%	1.33%	0.79%	1.00%	1.33%	0.85%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	184	13	18	2	16	25	17	21	17	22	17	15	1									
		1.86%	2.39%	1.98%	1.49%	1.32%	2.71%	1.28%	1.99%	1.68%	2.00%	1.62%	2.56%	3.85%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	3	1	0	1	1	0	1	2	1	1	0	0									
		0.11%	0.55%	0.11%	0.00%	0.08%	0.11%	0.00%	0.09%	0.20%	0.09%	0.10%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	290	21	29	5	37	20	30	28	36	31	34	18	1									
		2.93%	3.87%	3.19%	3.73%	3.06%	2.16%	2.25%	2.65%	3.55%	2.82%	3.23%	3.07%	3.85%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1079	79	102	7	126	108	141	126	112	95	119	61	3									
		10.92%	14.55%	11.21%	5.22%	10.43%	11.69%	10.59%	11.94%	11.06%	8.64%	11.31%	10.39%	11.54%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	72	4	7	1	10	5	20	9	6	3	5	2	0									
		0.73%	0.74%	0.77%	0.75%	0.83%	0.54%	1.50%	0.85%	0.59%	0.27%	0.48%	0.34%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	695	34	58	13	64	67	106	76	78	70	95	31	3									
		7.03%	6.26%	6.37%	9.70%	5.30%	7.25%	7.96%	7.20%	7.70%	6.37%	9.03%	5.28%	11.54%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
