Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Сретенская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17228	1049	795	398	721	441	956	364	501	847	1493	1682	666	716	136	455	357	333	383	164	452	38	213	47	59	364	222	263	274	43	63	135	273	54	154	112	70	735	679	480	41									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16965	1000	780	370	700	430	900	340	490	860	1400	1600	500	700	140	440	350	320	370	160	440	40	270	50	85	350	220	310	310	45	90	170	330	55	185	135	80	740	690	480	40									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6205	289	216	83	230	141	356	137	156	187	524	639	205	195	65	127	104	126	189	69	237	37	135	31	52	104	109	135	124	32	48	96	193	40	60	78	70	154	151	253	28									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	616	26	21	3	21	24	34	13	20	49	12	21	4	18	8	22	36	21	24	17	32	0	32	5	7	37	14	21	25	1	0	3	4	1	7	3	0	8	14	8	0									
6	Число погашенных избирательных бюллетеней	10144	685	543	284	449	265	510	190	314	624	864	940	291	487	67	291	210	173	157	74	171	3	103	14	26	209	97	154	161	12	42	71	133	14	118	54	10	578	525	219	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	616	26	21	3	21	24	34	13	20	49	12	21	4	18	8	22	36	21	24	17	32	0	32	5	7	37	14	21	25	1	0	3	4	1	7	3	0	8	14	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6205	289	216	83	230	141	356	137	156	187	524	639	205	195	65	127	104	126	189	69	237	37	135	31	52	104	109	135	124	32	48	96	193	40	60	78	70	154	151	253	28									
9	Число недействительных избирательных бюллетеней	135	11	9	0	2	0	6	6	4	1	12	4	6	3	7	3	2	2	8	1	6	0	1	0	7	2	0	3	6	0	2	2	1	0	0	2	0	4	6	5	1									
10	Число действительных избирательных бюллетеней	6686	304	228	86	249	165	384	144	172	235	524	656	203	210	66	146	138	145	205	85	263	37	166	36	52	139	123	153	143	33	46	97	196	41	67	79	70	158	159	256	27									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	290	20	8	6	8	8	20	4	5	20	15	15	15	10	3	5	5	4	4	4	5	2	4	3	3	4	5	5	5	3	3	3	10	2	5	3	3	15	15	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	86	11	0	2	6	1	12	1	0	1	11	9	5	7	1	2	1	0	1	0	0	0	2	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	2	4	3	5	1	3	4	2	4	0	5	5	2	1	0	1	2	1	2	2	1	3	1	1	2	4	1	5	0	1	1	3	1	2	1	1	1	0	4	1									
14	Число погашенных неиспользованных открепительных удостоверений	204	9	8	4	2	7	8	3	5	19	4	6	10	3	2	3	4	4	3	4	5	2	2	3	3	4	5	0	3	3	3	3	10	2	5	3	3	15	15	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	3	3	2	2	0	6	0	2	17	1	4	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	78	6	1	0	2	8	7	0	2	2	3	7	4	0	2	0	7	3	0	0	2	0	0	0	0	2	4	3	0	1	0	0	3	0	1	3	0	1	0	4	0									
