Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Балезинская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27449	2285	1864	911	981	1707	1283	1824	751	1518	344	604	359	536	107	677	86	481	142	167	427	335	97	385	103	228	469	327	523	353	124	447	532	171	428	191	432	159	266	425	346	779	617	249	205	196	497	156	65	66	187	965	72									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27640	2300	1870	920	990	1700	1280	1830	740	1520	340	610	360	540	100	680	80	480	130	170	420	330	95	380	100	230	470	330	530	360	120	450	540	190	420	190	435	150	270	420	360	780	620	250	200	200	495	165	60	60	180	1100	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14053	1107	860	463	427	861	605	843	332	673	221	311	196	295	43	355	41	241	90	66	284	192	65	254	77	133	273	138	239	143	42	276	269	96	230	102	271	91	130	232	150	431	267	145	88	76	299	94	47	37	120	667	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	941	11	13	5	11	16	4	13	12	22	5	39	17	18	0	35	12	22	4	13	17	10	6	19	0	19	22	15	40	41	18	39	69	15	32	5	10	2	10	34	81	39	53	10	12	12	17	6	2	6	5	3	0									
6	Число погашенных избирательных бюллетеней	12646	1182	997	452	552	823	671	974	396	825	114	260	147	227	57	290	27	217	36	91	119	128	24	107	23	78	175	177	251	176	60	135	202	79	158	83	154	57	130	154	129	310	300	95	100	112	179	65	11	17	55	430	35									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	941	11	13	5	11	16	4	13	12	22	5	39	17	18	0	35	12	22	4	13	17	10	6	19	0	19	22	15	40	41	18	39	69	15	32	5	10	2	10	34	81	39	53	10	12	12	17	6	2	6	5	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14049	1107	860	463	427	861	605	843	332	673	221	311	196	295	43	355	41	240	90	66	284	192	65	254	77	133	273	138	239	143	42	276	269	96	230	102	271	91	129	232	150	431	267	145	88	76	299	94	46	37	120	666	65									
9	Число недействительных избирательных бюллетеней	513	28	37	12	7	27	16	32	8	28	6	16	12	10	1	15	0	10	3	1	5	10	5	0	2	2	11	4	7	4	1	17	8	1	9	1	11	3	1	10	5	23	12	9	7	8	9	2	4	9	5	38	1									
10	Число действительных избирательных бюллетеней	14477	1090	836	456	431	850	593	824	336	667	220	334	201	303	42	375	53	252	91	78	296	192	66	273	75	150	284	149	272	180	59	298	330	110	253	106	270	90	138	256	226	447	308	146	93	80	307	98	44	34	120	631	64									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	510	45	30	15	15	25	26	25	10	20	6	10	7	10	2	13	1	9	2	3	8	6	2	7	2	4	9	6	10	7	2	9	16	3	8	8	8	3	5	8	12	15	12	5	4	4	10	8	1	1	3	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	278	22	20	11	7	16	9	17	6	3	2	7	1	0	0	7	0	9	2	3	2	4	0	7	2	4	3	2	9	6	0	9	10	3	0	8	3	0	5	1	10	7	5	0	0	1	7	8	0	1	0	19	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	250	7	12	5	6	12	6	5	7	4	4	3	5	3	4	6	5	10	5	5	3	5	6	7	8	5	5	2	4	2	1	6	11	2	3	5	3	4	2	1	2	3	2	1	1	2	2	3	4	8	2	21	0									
14	Число погашенных неиспользованных открепительных удостоверений	232	23	10	4	8	9	17	8	4	17	4	3	6	10	2	6	1	0	0	0	6	2	2	0	0	0	6	4	1	1	2	0	6	0	8	0	5	3	0	7	2	8	7	5	4	3	3	0	1	0	3	11	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	2	1	1	1	2	0	2	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	106	10	7	2	2	7	3	2	3	3	4	1	1	3	0	2	1	1	3	3	1	0	0	3	0	0	2	0	6	1	0	0	5	1	6	3	0	1	1	1	2	4	0	1	3	0	2	0	0	1	1	2	1									
