Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва													
Дата голосования: 02.12.2007													
													
Наименование Избирательной комиссии:    Волгореченская городская													
													
Сводная таблица результатов выборов													
													
		Сумма	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324					
1	"Число избирателей, внесенных в списки избирателей"	14296	2268	2219	2676	2255	2517	2361					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	14200	2250	2200	2650	2250	2500	2350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9197	1534	1353	1661	1497	1652	1500					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	231	49	51	31	40	20	40					
6	Число погашенных избирательных бюллетеней	4772	667	796	958	713	828	810					
7	Число избирательных бюллетеней в переносных ящиках для голосования	231	49	51	31	40	20	40					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9193	1534	1353	1661	1495	1650	1500					
9	Число недействительных избирательных бюллетеней	57	11	8	12	9	8	9					
10	Число действительных избирательных бюллетеней	9367	1572	1396	1680	1526	1662	1531					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	84	10	14	15	20	15	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	72	7	13	14	15	14	9					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	75	15	6	24	5	10	15					
14	Число погашенных неиспользованных открепительных удостоверений	12	3	1	1	5	1	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	6	2	1	1	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0					
													
18	1.Политическая партия «Аграрная партия России»	435	81	65	61	87	70	71					
		4.62%	5.12%	4.63%	3.61%	5.67%	4.19%	4.61%					
19	2.Всероссийская политическая партия «Гражданская Сила»	131	15	14	39	22	32	9					
		1.39%	0.95%	0.99%	2.30%	1.43%	1.92%	0.58%					
20	3.Политическая партия «Демократическая партия России»	13	1	2	2	3	3	2					
		0.14%	0.06%	0.14%	0.12%	0.20%	0.18%	0.13%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1089	184	160	171	207	181	186					
		11.56%	11.62%	11.40%	10.11%	13.49%	10.84%	12.08%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	94	7	9	18	12	31	17					
		0.99%	0.44%	0.64%	1.06%	0.78%	1.86%	1.10%					
23	6.Политическая партия «Партия социальной справедливости»	40	7	7	6	5	11	4					
		0.42%	0.44%	0.50%	0.35%	0.33%	0.66%	0.26%					
24	7.Политическая партия «Либерально-демократическая партия России»	1017	143	159	204	182	169	160					
		10.79%	9.03%	11.32%	12.06%	11.86%	10.12%	10.39%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	1120	172	162	228	179	197	182					
		11.88%	10.87%	11.54%	13.48%	11.66%	11.80%	11.82%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	131	18	13	25	15	41	19					
		1.39%	1.14%	0.93%	1.48%	0.98%	2.46%	1.23%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5148	926	791	902	790	893	846					
		54.63%	58.50%	56.34%	53.31%	51.47%	53.47%	54.94%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	149	18	14	24	24	34	35					
		1.58%	1.14%	0.99%	1.42%	1.56%	2.04%	2.27%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
