Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Усть-Джегутинская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227					
1	"Число избирателей, внесенных в списки"	33762	1622	1982	973	840	1860	1602	1196	2143	1418	1823	1654	1462	1186	878	497	917	672	2698	1178	1771	1236	1484	2231	439					
2	"Число бюллетеней, полученных участковыми комиссиями"	32795	1551	1894	895	800	1773	1515	1127	2038	1381	1732	1837	1376	1116	821	466	871	629	2603	1578	1686	1190	1402	2096	418					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17579	526	737	216	393	1686	419	486	782	448	611	611	432	601	341	321	870	455	2341	1163	1206	776	519	1354	285					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1067	14	84	102	0	14	46	124	48	50	65	74	13	13	146	4	0	18	20	15	17	65	69	46	20					
6	Число погашенных бюллетеней	14149	1011	1073	577	407	73	1050	517	1208	883	1056	1152	931	502	334	141	1	156	242	400	463	349	814	696	113					
7	Число бюллетеней в переносных ящиках для голосования	1067	14	84	102	0	14	46	124	48	50	65	74	13	13	146	4	0	18	20	15	17	65	69	46	20					
8	Число бюллетеней в стационарных ящиках для голосования	17579	526	737	216	393	1686	419	486	782	448	611	611	432	601	341	321	870	455	2341	1163	1206	776	519	1354	285					
9	Число недействительных бюллетеней	276	6	14	5	0	0	11	13	8	36	3	6	11	7	4	3	0	0	40	4	22	0	6	76	1					
10	Число действительных бюллетеней	18370	534	807	313	393	1700	454	597	822	462	673	679	434	607	483	322	870	473	2321	1174	1201	841	582	1324	304					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	120	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	48	3	5	3	3	1	2	1	5	5	3	1	1	1	0	0	0	1	2	2	2	2	3	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	27	2	2	4	1	2	1	1	2	1	3	1	0	0	0	0	0	0	0	2	1	0	2	2	0					
14	Число погашенных открепительных удостоверений	72	2	0	2	2	4	3	4	0	0	2	4	4	4	5	5	5	4	3	3	3	3	2	4	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	236	15	19	4	7	0	16	4	10	10	7	12	10	18	11	5	0	3	0	11	18	0	17	38	1					
		1.26%	2.77%	2.31%	1.25%	1.78%	0.0%	3.44%	0.65%	1.20%	2.00%	1.03%	1.75%	2.24%	2.93%	2.25%	1.53%	0.0%	0.63%	0.0%	0.93%	1.47%	0.0%	2.89%	2.71%	0.32%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1267	11	7	1	1	0	3	4	6	6	7	12	3	3	1	70	270	75	568	111	67	0	4	14	23					
		6.79%	2.03%	0.85%	0.31%	0.25%	0.0%	0.64%	0.65%	0.72%	1.20%	1.03%	1.75%	0.67%	0.48%	0.20%	21.53%	31.03%	15.85%	24.05%	9.42%	5.47%	0.0%	0.68%	1.0%	7.54%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	360	21	19	3	4	1	11	12	27	18	21	17	30	5	11	12	0	0	0	2	112	0	15	18	1					
		1.93%	3.88%	2.31%	0.94%	1.01%	0.05%	2.36%	1.96%	3.25%	3.61%	3.10%	2.48%	6.74%	0.81%	2.25%	3.69%	0.0%	0.0%	0.0%	0.16%	9.15%	0.0%	2.55%	1.28%	0.32%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	120	9	12	6	1	0	8	5	9	5	8	5	5	0	4	2	0	2	0	3	9	0	15	8	4					
		0.64%	1.66%	1.46%	1.88%	0.25%	0.0%	1.72%	0.81%	1.08%	1.00%	1.18%	0.72%	1.12%	0.0%	0.82%	0.61%	0.0%	0.42%	0.0%	0.25%	0.73%	0.0%	2.55%	0.57%	1.31%					
22	"5. ""За Русь Святую"""	44	7	1	1	0	0	0	0	3	4	8	1	4	0	4	2	0	1	0	0	0	0	6	2	0					
		0.23%	1.29%	0.12%	0.31%	0.0%	0.0%	0.0%	0.0%	0.36%	0.80%	1.18%	0.14%	0.89%	0.0%	0.82%	0.61%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	1.02%	0.14%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	43	1	1	0	0	0	0	1	3	3	0	6	1	0	1	0	0	0	0	0	0	0	2	23	1					
