Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Мончегорская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338					
1	"Число избирателей, внесенных в список избирателей"	41846	2682	2830	2590	2534	2316	929	938	1397	1150	1834	2068	2212	2204	1791	200	1982	1955	1739	2342	1672	1453	520	219	2289					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37520	2450	2550	2350	2300	2100	850	850	1250	1050	1650	1800	2000	2000	1600	120	1750	1800	1550	2100	1500	1300	450	200	1950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22118	1380	1336	1358	1260	1210	469	455	672	568	901	1150	1182	1236	990	0	1173	1070	865	1350	825	583	287	110	1688					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	506	13	10	17	11	16	13	12	32	21	20	24	24	12	18	112	18	28	13	20	39	9	5	1	18					
6	Число погашенных избирательных бюллетеней	14895	1057	1204	975	1029	874	368	383	546	461	729	626	794	752	591	8	559	702	672	730	636	708	158	89	244					
7	Число избирательных бюллетеней в переносных ящиках для голосования	506	13	10	17	11	16	13	12	32	21	20	24	24	12	18	112	18	28	13	20	39	9	5	1	18					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22108	1380	1335	1356	1260	1206	469	455	672	568	901	1150	1182	1236	990	0	1173	1069	865	1348	825	583	287	110	1688					
9	Число недействительных избирательных бюллетеней	367	14	12	24	8	20	13	8	6	12	21	19	20	14	25	3	16	23	16	23	12	12	3	1	42					
10	Число действительных избирательных бюллетеней	22247	1379	1333	1349	1263	1202	469	459	698	577	900	1155	1186	1234	983	109	1175	1074	862	1345	852	580	289	110	1664					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	766	70	20	70	20	20	30	30	40	35	15	20	15	20	15	0	20	45	50	11	50	45	5	10	110					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	261	14	8	14	8	10	2	2	4	4	10	13	5	11	6	0	13	16	7	10	8	2	0	1	93					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	141	6	4	0	2	3	3	2	4	0	1	10	2	3	16	2	22	1	5	2	3	1	20	1	28					
14	Число погашенных неиспользованных открепительных удостоверений	505	56	12	56	12	10	28	28	36	31	5	7	10	9	9	0	7	29	43	1	42	43	5	9	17					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	0	5					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4574	290	247	289	254	256	83	98	138	136	190	268	243	265	222	26	272	249	197	286	202	111	53	17	182					
		20.23%	20.82%	18.36%	21.05%	19.98%	20.95%	17.22%	20.99%	19.60%	23.09%	20.63%	22.83%	20.15%	21.23%	22.02%	23.21%	22.84%	22.70%	22.44%	20.91%	23.38%	18.75%	18.15%	15.32%	10.67%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	5198	345	372	326	337	254	114	102	171	122	189	251	266	270	206	19	250	230	173	297	199	124	52	16	513					
		22.99%	24.77%	27.66%	23.74%	26.51%	20.79%	23.65%	21.84%	24.29%	20.71%	20.52%	21.38%	22.06%	21.63%	20.44%	16.96%	20.99%	20.97%	19.70%	21.71%	23.03%	20.95%	17.81%	14.41%	30.07%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	273	25	12	25	13	11	9	0	14	5	5	10	9	16	14	4	8	9	16	18	5	10	4	2	29					
		1.21%	1.79%	0.89%	1.82%	1.02%	0.90%	1.87%	0.00%	1.99%	0.85%	0.54%	0.85%	0.75%	1.28%	1.39%	3.57%	0.67%	0.82%	1.82%	1.32%	0.58%	1.69%	1.37%	1.80%	1.70%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4536	281	266	291	246	254	95	93	145	123	207	217	289	252	202	16	241	197	183	260	155	136	59	17	311					
		20.06%	20.17%	19.78%	21.19%	19.35%	20.79%	19.71%	19.91%	20.60%	20.88%	22.48%	18.48%	23.96%	20.19%	20.04%	14.29%	20.24%	17.96%	20.84%	19.01%	17.94%	22.97%	20.21%	15.32%	18.23%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1031	69	48	57	59	85	29	34	22	28	44	68	35	64	38	3	67	61	58	60	27	24	22	0	29					
		4.56%	4.95%	3.57%	4.15%	4.64%	6.96%	6.02%	7.28%	3.13%	4.75%	4.78%	5.79%	2.90%	5.13%	3.77%	2.68%	5.63%	5.56%	6.61%	4.39%	3.13%	4.05%	7.53%	0.00%	1.70%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6531	366	387	357	345	336	137	129	203	162	262	339	341	361	294	41	331	320	232	419	253	174	97	56	589					
		28.88%	26.27%	28.77%	26.00%	27.14%	27.50%	28.42%	27.62%	28.84%	27.50%	28.45%	28.88%	28.28%	28.93%	29.17%	36.61%	27.79%	29.17%	26.42%	30.63%	29.28%	29.39%	33.22%	50.45%	34.53%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	104	3	1	4	9	6	2	3	5	1	3	2	3	6	7	0	6	8	3	5	11	1	2	2	11					
		0.46%	0.22%	0.07%	0.29%	0.71%	0.49%	0.41%	0.64%	0.71%	0.17%	0.33%	0.17%	0.25%	0.48%	0.69%	0.00%	0.50%	0.73%	0.34%	0.37%	1.27%	0.17%	0.68%	1.80%	0.64%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
