Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
"Наименование Избирательной комиссии:    Грозный, Ленинская"																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №438	УИК №439	УИК №440	УИК №459	УИК №460	УИК №465	УИК №466	УИК №467									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44703	1239	2420	2458	2444	2862	2041	2622	2708	2598	2255	2438	1671	2251	2183	2109	1137	2993	1935	669	1768	1292	160	250	200									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43545	1203	2356	2393	2378	2788	1985	2552	2636	2526	2165	2371	1599	2191	2124	2056	1108	2914	1879	651	1768	1292	160	250	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	41760	1156	2293	2334	2307	2712	1909	2483	2536	2432	2133	2312	1577	2132	2029	1979	1058	2795	1827	625	1267	1292	148	236	188									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	157	5	8	12	11	12	9	10	8	8	5	6	6	7	11	5	8	13	9	4	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	1128	42	55	47	60	64	67	59	92	86	27	53	16	52	84	72	42	106	43	22	1	0	12	14	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	657	5	8	12	11	12	9	10	8	8	5	6	6	7	11	5	8	13	9	4	500	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	41760	1156	2293	2334	2307	2712	1909	2483	2536	2432	2133	2312	1577	2132	2029	1979	1058	2795	1827	625	1267	1292	148	236	188									
9	Число недействительных избирательных бюллетеней	7	0	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	42410	1161	2300	2346	2318	2723	1918	2492	2544	2439	2138	2317	1583	2139	2039	1984	1066	2807	1836	629	1767	1292	148	236	188									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	98	2	2	2	2	2	2	2	2	2	3	2	2	4	2	2	2	2	2	2	26	31	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	0	0	2	0	2	2	1	1	1	3	0	0	3	0	0	0	2	0	0	22	30	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	72	4	1	4	2	4	2	0	4	2	2	1	0	15	1	3	0	1	8	2	10	6	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	29	2	2	0	2	0	0	1	1	1	0	2	2	1	2	2	2	0	2	2	4	1	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	250	0	3	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	239	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
