Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Усть-Янская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636					
1	"Число избирателей, внесенных в списки"	5788	503	43	1145	941	75	785	40	255	403	905	184	319	67	63	60					
2	"Число бюллетеней, полученных участковыми комиссиями"	5810	525	50	1150	920	75	780	40	250	460	850	185	320	65	75	65					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	29	23	0	0	0	0	0	0	0	0	0	0	6	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3824	334	37	651	556	63	550	40	186	290	539	145	271	48	55	59					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	205	27	0	29	63	0	21	0	6	13	35	0	11	0	0	0					
6	Число погашенных бюллетеней	1752	141	13	470	301	12	209	0	58	157	276	40	32	17	20	6					
7	Число бюллетеней в переносных ящиках для голосования	233	50	0	29	62	0	21	0	6	13	35	0	17	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	3822	334	37	651	556	63	550	40	186	288	539	145	271	48	55	59					
9	Число недействительных бюллетеней	43	0	0	7	2	2	11	0	0	0	7	2	12	0	0	0					
10	Число действительных бюллетеней	4012	384	37	673	616	61	560	40	192	301	567	143	276	48	55	59					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	20	5	25	25	5	20	5	11	20	30	5	14	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	55	7	0	12	11	1	1	0	0	6	3	0	14	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	1	0	8	3	2	1	0	0	1	2	0	3	0	0	0					
14	Число погашенных открепительных удостоверений	145	13	5	13	14	4	19	5	11	14	27	5	0	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
