Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Солнцевская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019					
1	"Число избирателей, внесенных в список"	14523	1888	1785	292	219	420	232	129	217	280	351	411	187	150	101	951	180	302	1022	114	442	161	449	641	600	632	621	167	529	190	860					
2	Число полученных избирательных бюллетеней	13138	1710	1628	262	197	374	208	117	195	252	319	375	171	134	88	868	171	262	917	104	397	144	414	575	545	572	572	147	469	168	783					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8735	1079	975	222	161	238	135	69	134	154	241	286	135	95	61	679	118	179	507	87	234	90	265	460	366	342	378	77	305	107	556					
5	"Число избирательных бюллетеней, выданных вне помещения"	2475	118	156	40	36	65	50	36	48	82	78	82	36	22	27	121	47	59	167	15	102	50	132	112	136	143	127	64	102	47	175					
6	Число погашенных избирательных бюллетеней	1928	513	497	0	0	71	23	12	13	16	0	7	0	17	0	68	6	24	243	2	61	4	17	3	43	87	67	6	62	14	52					
7	Число избирательных бюллетеней в переносных ящиках	2475	118	156	40	36	65	50	36	48	82	78	82	36	22	27	121	47	59	167	15	102	50	132	112	136	143	127	64	102	47	175					
8	Число бюллетеней в стационарных ящиках для голосования	8735	1079	975	222	161	238	135	69	134	154	241	286	135	95	61	679	118	179	507	87	234	90	265	460	366	342	378	77	305	107	556					
9	Число недействительных избирательных бюллетеней	176	11	14	8	0	0	3	8	1	5	5	4	0	0	2	15	7	4	10	0	3	6	9	12	7	11	2	1	12	2	14					
10	Число действительных избирательных бюллетеней	11034	1186	1117	254	197	303	182	97	181	231	314	364	171	117	86	785	158	234	664	102	333	134	388	560	495	474	503	140	395	152	717					
11	Число полученных открепительных  удостоверений	161	20	11	4	4	4	4	3	3	4	4	5	4	3	3	8	4	4	10	4	4	4	5	6	6	6	6	3	5	3	7					
12	Число выданных открепительных удостоверений	75	18	11	1	0	1	0	0	0	1	1	0	4	0	0	4	2	0	10	4	0	0	0	0	1	1	4	0	3	2	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	6	2	0	2	3	1	2	1	2	2	2	1	1	4	4	1	4	4	4	1	1	1	0	2	2	0	1	7	1	2					
14	Число неиспользованных открепительных удостоверений	86	2	0	3	4	3	4	3	3	3	3	5	0	3	3	4	2	4	0	0	4	4	5	6	5	5	2	3	2	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	242	34	31	8	4	8	3	1	1	3	2	9	1	0	0	26	4	7	15	3	9	1	7	0	12	6	11	1	14	5	16					
		2.16%	2.84%	2.74%	3.05%	2.03%	2.64%	1.62%	0.95%	0.55%	1.27%	0.63%	2.45%	0.58%	0.00%	0.00%	3.25%	2.42%	2.94%	2.23%	2.94%	2.68%	0.71%	1.76%	0.00%	2.39%	1.24%	2.18%	0.71%	3.44%	3.25%	2.19%					
19	. Малышкин Олег Александрович	301	49	32	3	2	2	3	6	1	1	18	9	1	1	5	16	2	10	33	6	11	8	4	16	11	9	10	3	10	3	16					
		2.69%	4.09%	2.83%	1.15%	1.02%	0.66%	1.62%	5.71%	0.55%	0.42%	5.64%	2.45%	0.58%	0.85%	5.68%	2.00%	1.21%	4.20%	4.90%	5.88%	3.27%	5.71%	1.01%	2.80%	2.19%	1.86%	1.98%	2.13%	2.46%	1.95%	2.19%					
20	. Миронов Сергей Михайлович	73	9	7	1	3	0	0	8	2	2	4	2	0	0	0	4	3	1	8	0	2	0	2	4	1	3	1	0	5	0	1					
		0.65%	0.75%	0.62%	0.38%	1.52%	0.00%	0.00%	7.62%	1.10%	0.85%	1.25%	0.54%	0.00%	0.00%	0.00%	0.50%	1.82%	0.42%	1.19%	0.00%	0.60%	0.00%	0.50%	0.70%	0.20%	0.62%	0.20%	0.00%	1.23%	0.00%	0.14%					
21	. Путин Владимир Владимирович	7543	730	715	191	129	249	143	77	133	150	207	233	121	95	57	602	109	142	424	60	203	84	329	428	357	285	343	89	247	112	499					
		67.29%	60.99%	63.22%	72.90%	65.48%	82.18%	77.30%	73.33%	73.08%	63.56%	64.89%	63.32%	70.76%	81.20%	64.77%	75.25%	66.06%	59.66%	62.91%	58.82%	60.42%	60.00%	82.87%	74.83%	71.12%	58.76%	67.92%	63.12%	60.69%	72.73%	68.26%					
22	. Хакамада Ирина Муцуовна	158	27	23	4	4	5	2	1	1	1	4	8	2	0	1	4	3	5	8	2	2	3	2	8	3	7	3	4	6	5	10					
		1.41%	2.26%	2.03%	1.53%	2.03%	1.65%	1.08%	0.95%	0.55%	0.42%	1.25%	2.17%	1.17%	0.00%	1.14%	0.50%	1.82%	2.10%	1.19%	1.96%	0.60%	2.14%	0.50%	1.40%	0.60%	1.44%	0.59%	2.84%	1.47%	3.25%	1.37%					
23	. Харитонов Николай Михайлович	2515	297	271	43	54	33	30	4	42	71	75	98	46	21	23	117	37	68	155	28	102	35	40	97	106	156	128	42	113	26	157					
		22.44%	24.81%	23.96%	16.41%	27.41%	10.89%	16.22%	3.81%	23.08%	30.08%	23.51%	26.63%	26.90%	17.95%	26.14%	14.62%	22.42%	28.57%	23.00%	27.45%	30.36%	25.00%	10.08%	16.96%	21.12%	32.16%	25.35%	29.79%	27.76%	16.88%	21.48%					
																																					
24	Против всех	202	40	38	4	1	6	1	0	1	3	4	5	0	0	0	16	0	1	21	3	4	3	4	7	5	8	7	1	0	1	18					
		1.80%	3.34%	3.36%	1.53%	0.51%	1.98%	0.54%	0.00%	0.55%	1.27%	1.25%	1.36%	0.00%	0.00%	0.00%	2.00%	0.00%	0.42%	3.12%	2.94%	1.19%	2.14%	1.01%	1.22%	1.00%	1.65%	1.39%	0.71%	0.00%	0.65%	2.46%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
