Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																					
Дата голосования: 18.09.2016																																																					
																																																					
Наименование Избирательной комиссии:    Железногорская городская																																																					
																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																					
																																																					
		Сумма	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №2198	УИК №2322									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	76005	3112	2244	1790	1609	1801	1808	1514	1808	1868	1482	1551	1632	1751	1666	1907	1557	1195	2401	2247	1451	1824	1587	2365	2144	2434	2571	2688	2501	2490	2666	406	2240	2125	565	614	2187	2466	2189	645	238	2581	85									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75361	2600	2300	1800	1600	1800	1800	1400	1800	1800	1500	1600	1600	1800	1700	1900	1500	1200	2400	2200	1400	1800	1600	2400	2200	2400	2600	2700	2500	2500	2700	400	2200	2100	500	600	2200	2500	2200	600	200	2600	161									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33055	1424	963	765	746	910	868	830	854	940	636	759	767	667	677	741	529	501	893	942	613	693	660	1193	1017	1165	1165	1209	1163	1143	1160	200	644	778	188	208	968	1128	778	214	83	1233	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	539	30	14	16	13	14	16	2	18	13	73	9	2	8	11	10	15	7	7	9	18	11	25	15	7	10	5	10	8	6	10	0	11	8	2	14	7	6	4	12	12	12	39									
6	Число погашенных избирательных бюллетеней	41767	1146	1323	1019	841	876	916	568	928	847	791	832	831	1125	1012	1149	956	692	1500	1249	769	1096	915	1192	1176	1225	1430	1481	1329	1351	1530	200	1545	1314	310	378	1225	1366	1418	374	105	1355	82									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	539	30	14	16	13	14	16	2	18	13	73	9	2	8	11	10	15	7	7	9	18	11	25	15	7	10	5	10	8	6	10	0	11	8	2	14	7	6	4	12	12	12	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33003	1420	961	765	744	906	868	826	852	939	636	758	764	667	677	741	529	501	893	939	612	693	660	1193	1015	1159	1164	1207	1162	1143	1157	199	644	771	188	207	968	1127	778	214	83	1233	40									
9	Число недействительных избирательных бюллетеней	859	48	29	21	18	30	23	29	15	21	19	28	31	13	20	28	11	13	22	26	16	12	17	25	20	22	27	15	19	29	22	1	25	35	4	7	28	33	16	8	1	29	3									
10	Число действительных избирательных бюллетеней	32683	1402	946	760	739	890	861	799	855	931	690	739	735	662	668	723	533	495	878	922	614	692	668	1183	1002	1147	1142	1202	1151	1120	1145	198	630	744	186	214	947	1100	766	218	94	1216	76									
