Выборы Президента Российской Федерации																																																																																																																																																																				
																																																																																																																																																																				
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																																																																				
																																																																																																																																																																				
Итоги голосования 																																																																																																																																																																				
																																																																																																																																																																				
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1583	УИК №1584	УИК №1587	УИК №1590	УИК №1591	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626					
1	"Число избирателей, внесенных в список"	118036	2304	2085	2556	2140	1667	2472	2505	2721	2245	2932	2001	3049	2550	2047	1661	2759	2947	2979	2954	2756	2890	2660	2153	1710	1992	2440	2235	2667	2321	2972	2051	1162	2756	2867	1660	3025	2212	2220	3030	2226	1364	2706	2867	2947	2584	2650	1153	188	19	27	30	30	29	30	29	30	30	18	19	19	25	34	26	17	17	17	16	21	39	37	37	37	40	22	22	87	95	91	67	321	315	19	18	22	89	73	29	122	93	87	86	87	31	35	34	25	72	78	14	15	21	19	84	82	23	22	15	45	38	149	24	28	25	26	24	24	27	27	22	326	29	20	21	20	21	14	26	36	28	18	26	22	39	89	19	10	50	19	19	20	17	51	21	20	84	52	52	16	82	87	40	40	40	18	17	21	21					
2	Число полученных избирательных бюллетеней	111616	2200	2000	2300	2000	1700	2400	2400	2400	2000	2800	1900	2900	2500	1900	1600	2700	2800	2700	2700	2600	2700	2500	2000	1300	1900	2400	2100	2500	2300	2900	1900	900	2500	2600	1600	2900	2000	2100	3000	2100	1300	2600	2800	2900	2500	2500	1100	210	19	27	30	30	29	30	29	30	30	18	19	19	25	34	26	17	17	17	16	21	39	37	37	37	40	22	22	87	95	91	67	321	315	19	18	22	89	73	29	122	93	87	86	87	31	38	34	25	72	78	14	15	21	19	84	82	23	22	15	45	40	149	24	28	25	26	24	24	27	27	22	326	29	20	21	20	21	14	26	36	28	18	26	22	39	89	19	10	50	20	19	20	19	51	21	20	84	52	52	16	82	87	40	40	40	18	17	21	21					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	64269	1259	918	1349	1284	751	1307	1331	1495	1335	1611	889	1583	1192	852	887	1338	1543	1654	1391	1562	1557	1463	1658	1014	1003	1095	1105	1429	1244	1235	1090	690	1423	1836	916	1517	1094	1270	1477	1568	691	1003	1422	1448	1335	1390	584	188	19	27	30	30	29	30	29	29	30	18	19	19	25	34	26	17	17	17	16	21	39	37	37	37	38	22	22	87	95	91	67	321	315	19	18	22	89	73	29	122	93	87	86	87	31	35	34	25	72	77	14	15	21	19	84	82	23	22	15	45	38	149	24	28	25	26	23	24	27	27	22	326	29	20	21	20	21	14	26	36	28	18	26	22	39	89	19	10	50	19	19	20	17	51	21	20	84	52	52	16	82	87	40	40	40	18	17	21	21					
5	"Число избирательных бюллетеней, выданных вне помещения"	1443	21	15	16	28	12	21	21	20	32	22	23	32	21	10	24	59	53	51	192	31	50	25	79	9	9	31	49	15	32	39	14	14	27	5	24	27	13	16	29	13	10	21	30	13	52	26	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	45904	920	1067	935	688	937	1072	1048	885	633	1167	988	1285	1287	1038	689	1303	1204	995	1117	1007	1093	1012	263	277	888	1274	946	1056	1024	1626	796	196	1050	759	660	1356	893	814	1494	519	599	1576	1348	1439	1113	1084	449	22	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	1443	21	15	16	28	12	21	21	20	32	22	23	32	21	10	24	59	53	51	192	31	50	25	79	9	9	31	49	15	32	39	14	14	27	5	24	27	13	16	29	13	10	21	30	13	52	26	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	64199	1258	918	1347	1284	751	1307	1331	1495	1292	1611	889	1583	1192	852	887	1337	1543	1654	1391	1562	1557	1463	1658	1014	1003	1095	1104	1425	1244	1235	1090	687	1423	1835	916	1517	1094	1269	1472	1567	691	1003	1422	1445	1334	1390	583	188	19	27	30	30	29	30	29	29	30	18	19	19	25	34	26	17	17	17	16	21	39	37	37	37	38	22	22	87	95	91	67	321	315	19	18	22	89	73	29	122	93	87	86	87	31	35	34	25	72	77	14	15	21	19	84	82	23	22	15	45	38	149	24	28	25	26	23	22	27	27	22	326	29	20	21	20	21	14	26	36	28	18	26	22	39	89	19	10	50	19	19	20	17	51	21	20	84	52	52	16	82	87	40	40	40	18	17	21	21					
9	Число недействительных избирательных бюллетеней	462	4	7	11	9	6	7	8	7	7	14	8	11	13	10	5	13	14	20	9	17	4	9	12	13	7	10	11	4	13	6	3	4	7	18	2	11	4	10	11	15	10	10	0	14	7	5	5	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	2	11	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	65180	1275	926	1352	1303	757	1321	1344	1508	1317	1619	904	1604	1200	852	906	1383	1582	1685	1574	1576	1603	1479	1725	1010	1005	1116	1142	1436	1263	1268	1101	697	1443	1822	938	1533	1103	1275	1490	1565	691	1014	1452	1444	1379	1411	645	186	19	27	30	30	29	28	29	29	29	18	19	19	25	34	26	17	16	17	16	21	39	37	37	37	38	22	22	87	94	90	64	319	304	19	18	22	89	73	29	122	93	86	86	87	31	34	34	25	71	77	14	15	21	19	83	82	23	22	15	45	38	149	24	28	24	26	23	19	27	27	22	323	29	19	21	20	21	14	26	36	28	18	26	22	39	88	19	10	50	19	19	20	17	51	21	20	84	52	52	16	82	87	40	40	40	18	17	21	21					
