Выборы Президента Российской Федерации																																																																		
																																																																		
Наименование Избирательной комиссии:    Cемилукская																																																																		
																																																																		
Итоги голосования 																																																																		
																																																																		
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542	УИК №3543	УИК №3544	УИК №3545	УИК №3546	УИК №3547	УИК №3548	УИК №3549	УИК №3550	УИК №3551	УИК №3552	УИК №3553	УИК №3554	УИК №3555									
1	Число избирателей, внесенных в список	52954	2728	1406	531	1515	2336	2707	2225	1923	2705	230	1054	472	406	678	435	224	1457	2127	1352	1386	480	147	378	1258	253	760	439	453	347	212	158	457	367	712	626	929	466	485	1844	1391	235	394	201	529	449	443	370	295	2021	2123	2007	333	429	1539	1527									
2	Число полученных избирательных бюллетеней	50100	2600	1310	450	1450	2200	2600	2100	1800	2450	300	950	420	400	600	440	220	1300	2000	1300	1300	490	140	360	1200	270	700	400	460	340	200	150	400	370	700	610	880	420	450	1690	1330	200	370	210	520	450	500	340	290	2000	2050	1850	300	400	1470	1400									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	27454	1474	612	233	628	1005	1452	1058	884	1341	230	566	258	231	421	218	51	771	977	1028	839	213	70	257	508	149	533	293	299	201	163	78	236	187	448	422	483	263	242	1473	789	114	233	112	319	136	244	265	220	780	883	630	166	217	783	768									
5	Число избирательных бюллетеней, выданных вне помещения	6304	157	119	111	66	116	73	69	66	73	0	24	150	143	137	103	116	135	274	123	204	168	48	80	392	63	79	107	114	117	37	66	149	118	94	69	187	129	159	60	113	85	78	74	110	225	160	57	31	121	128	222	54	49	154	148									
6	Число погашенных избирательных бюллетеней	16342	969	579	106	756	1079	1075	973	850	1036	70	360	12	26	42	119	53	394	749	149	257	109	22	23	300	58	88	0	47	22	0	6	15	65	158	119	210	28	49	157	428	1	59	24	91	89	96	18	39	1099	1039	998	80	134	533	484									
7	Число избирательных бюллетеней в переносных ящиках	6304	157	119	111	66	116	73	69	66	73	0	24	150	143	137	103	116	135	274	123	204	168	48	80	392	63	79	107	114	117	37	66	149	118	94	69	187	129	159	60	113	85	78	74	110	225	160	57	31	121	128	222	54	49	154	148									
8	Число бюллетеней в стационарных ящиках для голосования	27453	1474	612	233	628	1005	1452	1058	884	1341	230	566	258	230	421	218	51	771	977	1028	839	213	70	257	508	149	533	293	299	201	163	78	236	187	448	422	483	263	242	1473	789	114	233	112	319	136	244	265	220	780	883	630	166	217	783	768									
9	Число недействительных избирательных бюллетеней	267	38	5	4	3	6	11	6	8	3	1	1	2	4	3	7	2	0	13	10	5	0	2	1	4	3	2	5	3	2	1	3	1	3	4	1	10	0	2	9	6	1	4	2	1	0	3	5	1	10	12	10	4	0	4	16									
10	Число действительных избирательных бюллетеней	33490	1593	726	340	691	1115	1514	1121	942	1411	229	589	406	369	555	314	165	906	1238	1141	1038	381	116	336	896	209	610	395	410	316	199	141	384	302	538	490	660	392	399	1524	896	198	307	184	428	361	401	317	250	891	999	842	216	266	933	900									
11	Число полученных открепительных  удостоверений	669	39	29	11	24	31	39	42	27	33	0	26	6	12	10	10	8	8	26	11	11	11	3	4	13	4	4	4	22	3	3	3	8	3	10	5	7	3	3	16	4	3	8	3	7	3	4	3	3	8	23	17	5	5	21	20									
