Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Ширинская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21971	1231	1590	1244	1958	1187	188	159	111	1741	1415	272	1425	1149	681	579	108	366	188	644	198	253	648	395	1166	487	658	960	151	531	124	164									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17500	1000	1250	1000	1550	1000	150	130	100	1400	1150	200	1150	920	500	450	80	300	150	500	150	200	500	300	1000	350	500	750	120	400	100	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	96	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	37	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8075	350	516	510	770	577	68	79	79	515	481	63	476	404	147	229	33	167	84	217	63	42	320	151	460	284	205	393	61	192	68	71									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	601	35	76	18	23	6	9	6	5	16	57	13	33	13	40	14	0	7	5	8	11	0	21	89	14	10	9	16	7	3	2	35									
6	Число погашенных избирательных бюллетеней	8728	615	658	472	757	417	73	45	16	869	612	124	632	503	313	207	47	126	61	275	76	108	159	60	526	56	286	341	52	168	30	44									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	697	35	76	18	23	6	9	6	5	16	57	13	42	13	40	14	0	7	5	8	11	50	21	89	14	10	9	16	7	40	2	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7909	350	516	510	770	411	68	79	79	515	481	63	476	404	147	229	33	167	84	217	63	42	320	151	460	284	205	393	61	192	68	71									
9	Число недействительных избирательных бюллетеней	211	1	5	13	23	17	2	0	0	17	12	2	20	9	5	11	0	1	1	14	3	5	3	7	11	5	7	7	3	3	2	2									
10	Число действительных избирательных бюллетеней	8395	384	587	515	770	400	75	85	84	514	526	74	498	408	182	232	33	173	88	211	71	87	338	233	463	289	207	402	65	229	68	104									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	905	45	50	50	50	50	20	10	10	50	50	15	50	50	30	30	10	20	10	30	10	15	30	20	50	25	30	35	10	25	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	254	8	6	13	16	5	8	10	10	8	25	1	12	4	2	3	5	1	6	18	0	0	0	3	50	1	7	7	0	0	10	15									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	116	9	6	4	10	6	3	2	4	11	2	3	2	4	1	2	4	3	1	2	2	1	2	1	10	2	3	4	2	2	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	651	37	44	37	34	45	12	0	0	42	25	14	38	46	28	27	5	19	4	12	10	15	30	17	0	24	23	28	10	25	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	5	8	5	0	0	0	0	1	0	9	0	0	3	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0									
