Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Волосовская   																																				
																																				
Сводная таблица итогов голосования  по федеральному округу																																				
																																				
		Сумма	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76					
1	"Число избирателей, внесенных в списки"	34607	1710	2760	2192	2196	814	2687	514	634	1794	315	1395	484	578	523	1358	1560	1383	1233	1294	1588	1035	1344	360	1082	1186	98	1144	1244	102					
2	"Число бюллетеней, полученных участковыми комиссиями"	34649	1712	2776	2225	2205	819	2717	531	637	1675	324	1386	480	584	516	1345	1528	1401	1235	1292	1585	1038	1337	366	1100	1190	99	1159	1275	112					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12571	664	999	755	898	262	1119	76	335	722	113	458	177	260	238	557	529	482	376	346	565	276	470	149	428	410	25	431	450	1					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2382	22	29	30	5	23	50	132	43	153	69	113	43	118	48	95	66	51	67	101	118	166	227	68	97	108	41	106	118	75					
6	Число погашенных бюллетеней	19696	1026	1748	1440	1302	534	1548	323	259	800	142	815	260	206	230	693	933	868	792	845	902	596	640	149	575	672	33	622	707	36					
7	Число бюллетеней в переносных ящиках для голосования	2382	22	29	30	5	23	50	132	43	153	69	113	43	118	48	95	66	51	67	101	118	166	227	68	97	108	41	106	118	75					
8	Число бюллетеней в стационарных ящиках для голосования	12566	664	999	755	897	262	1119	76	335	721	113	458	177	260	238	557	529	482	375	346	565	276	470	149	427	409	25	431	450	1					
9	Число недействительных бюллетеней	195	2	4	7	7	12	18	1	4	15	1	11	8	1	2	17	6	11	4	8	4	4	11	5	4	10	0	14	4	0					
10	Число действительных бюллетеней	14753	684	1024	778	895	273	1151	207	374	859	181	560	212	377	284	635	589	522	438	439	679	438	686	212	520	507	66	523	564	76					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	523	35	35	35	35	20	20	10	10	20	10	20	10	10	10	15	15	20	20	15	20	15	20	10	20	20	10	25	18	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	81	0	9	6	7	1	4	2	1	6	0	3	0	3	0	4	6	3	2	3	2	3	0	0	5	0	0	5	6	0					
