Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																			
Дата голосования: 02.12.2007																																			
																																			
Наименование Избирательной комиссии:    Краснинская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278					
1	"Число избирателей, внесенных в списки избирателей"	11956	257	308	183	219	131	544	1280	641	356	276	130	1949	1931	135	189	215	500	53	202	263	362	93	642	149	177	174	231	366					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	11558	248	306	177	215	126	510	1239	629	339	266	124	1840	1850	133	180	208	482	57	196	265	353	92	641	147	177	174	230	354					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5710	131	131	85	118	58	241	653	298	206	149	71	995	987	60	80	77	198	14	85	90	152	42	310	72	74	73	112	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1519	64	103	35	55	42	38	23	34	34	56	31	66	85	39	52	57	79	21	34	94	77	31	71	44	63	67	62	62					
6	Число погашенных избирательных бюллетеней	4329	53	72	57	42	26	231	563	297	99	61	22	779	778	34	48	74	205	22	77	81	124	19	260	31	40	34	56	144					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1519	64	103	35	55	42	38	23	34	34	56	31	66	85	39	52	57	79	21	34	94	77	31	71	44	63	67	62	62					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5710	131	131	85	118	58	241	653	298	206	149	71	995	987	60	80	77	198	14	85	90	152	42	310	72	74	73	112	148					
9	Число недействительных избирательных бюллетеней	178	4	8	4	4	0	6	32	11	13	16	3	13	20	0	0	6	7	0	5	1	5	2	4	0	5	0	3	6					
10	Число действительных избирательных бюллетеней	7051	191	226	116	169	100	273	644	321	227	189	99	1048	1052	99	132	128	270	35	114	183	224	71	377	116	132	140	171	204					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	450	10	12	7	8	5	20	51	25	13	10	5	73	73	5	7	8	18	2	7	10	13	3	24	6	7	6	9	13					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	84	2	2	0	0	0	3	13	7	4	0	0	25	17	0	0	1	0	0	0	2	0	0	1	1	0	2	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	101	8	3	5	5	4	7	8	0	1	2	1	13	4	4	3	3	0	1	2	0	7	4	5	3	0	1	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	366	8	10	7	8	5	17	38	18	9	10	5	48	56	5	7	7	18	2	7	8	13	3	23	5	7	4	5	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
