Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Улетовская																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273	УИК  274	УИК  275	УИК  276	УИК  277	УИК  278	УИК  279	УИК  280	УИК  281	УИК  282	УИК  283	УИК  284					
1	"Число избирателей, внесенных в списки"	15897	173	636	170	111	841	320	1003	230	250	316	650	479	117	667	321	1824	1939	988	747	458	589	2682	195	191					
2	"Число бюллетеней, полученных участковыми комиссиями"	16242	186	631	173	114	844	330	1025	236	251	320	655	477	120	667	491	1841	1941	988	760	460	605	2740	196	191					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7874	113	332	112	99	465	166	546	168	112	159	325	319	76	375	301	752	871	420	389	249	301	1064	67	93					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	633	0	39	17	0	31	19	54	5	13	19	65	17	8	0	20	77	60	39	22	11	15	78	7	17					
6	Число погашенных бюллетеней	7735	73	260	44	15	348	145	425	63	126	142	265	141	36	292	170	1012	1010	529	349	200	289	1598	122	81					
7	Число бюллетеней в переносных ящиках для голосования	633	0	39	17	0	31	19	54	5	13	19	65	17	8	0	20	77	60	39	22	11	15	78	7	17					
8	Число бюллетеней в стационарных ящиках для голосования	7872	113	332	112	99	465	166	546	168	112	159	325	319	76	375	301	750	871	420	389	249	301	1064	67	93					
9	Число недействительных бюллетеней	119	0	8	1	0	8	0	8	0	2	2	10	6	3	2	1	6	13	4	9	9	4	18	5	0					
10	Число действительных бюллетеней	8386	113	363	128	99	488	185	592	173	123	176	380	330	81	373	320	821	918	455	402	251	312	1124	69	110					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	350	4	13	4	3	18	7	21	5	5	7	15	11	3	14	10	39	42	22	17	10	13	59	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	72	0	3	0	0	4	0	3	0	0	1	7	4	0	1	1	8	17	3	1	2	3	13	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	35	0	0	0	0	1	0	2	1	0	1	1	1	1	2	2	3	3	2	1	1	5	4	1	3					
14	Число погашенных открепительных удостоверений	278	4	10	4	3	14	7	18	5	5	6	8	7	3	13	9	31	25	19	16	8	10	46	3	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	120	3	2	1	0	8	3	8	6	0	2	12	1	3	5	11	5	7	9	8	5	5	13	3	0					
