Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва										
Дата голосования: 02.12.2007										
										
Наименование Избирательной комиссии:    Красноселькупская										
										
Сводная таблица результатов выборов										
										
		Сумма	УИК №9	УИК №10	УИК №11					
1	"Число избирателей, внесенных в списки избирателей"	4921	3365	1402	154					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	4903	3350	1400	153					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	864	649	175	40					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3574	2455	1008	111					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	252	154	96	2					
6	Число погашенных избирательных бюллетеней	213	92	121	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1116	803	271	42					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3566	2448	1007	111					
9	Число недействительных избирательных бюллетеней	76	31	43	2					
10	Число действительных избирательных бюллетеней	4606	3220	1235	151					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	179	109	50	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	104	73	29	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	20	6	10	4					
14	Число погашенных неиспользованных открепительных удостоверений	75	36	21	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	19	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0					
										
18	1.Политическая партия «Аграрная партия России»	53	25	26	2					
		1.13%	0.77%	2.03%	1.31%					
19	2.Всероссийская политическая партия «Гражданская Сила»	20	8	12	0					
		0.43%	0.25%	0.94%	0.00%					
20	3.Политическая партия «Демократическая партия России»	5	4	1	0					
		0.11%	0.12%	0.08%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	125	67	57	1					
		2.67%	2.06%	4.46%	0.65%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	6	6	0	0					
		0.13%	0.18%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	6	3	0					
		0.19%	0.18%	0.23%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	197	98	88	11					
		4.21%	3.01%	6.89%	7.19%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	154	92	59	3					
		3.29%	2.83%	4.62%	1.96%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	21	14	6	1					
		0.45%	0.43%	0.47%	0.65%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3988	2879	977	132					
		85.18%	88.56%	76.45%	86.27%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	28	21	6	1					
		0.60%	0.65%	0.47%	0.65%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
