Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва											
Дата голосования: 04.12.2011											
											
Наименование Избирательной комиссии:    Красноселькупская											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №10	УИК №11	УИК №12	УИК №13					
1	"Число избирателей, внесенных в список избирателей"	4772	2001	1263	1341	167					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5071	2000	1500	1400	171					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	876	631	0	203	42					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3501	1240	1154	985	122					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	202	58	40	101	3					
6	Число погашенных избирательных бюллетеней	492	71	306	111	4					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1078	689	40	304	45					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3500	1240	1153	985	122					
9	Число недействительных избирательных бюллетеней	100	23	9	64	4					
10	Число действительных избирательных бюллетеней	4478	1906	1184	1225	163					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	327	94	103	110	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	306	81	103	107	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	52	18	19	3	12					
14	Число погашенных неиспользованных открепительных удостоверений	21	13	0	3	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	73	32	29	8	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	94	40	19	32	3					
		2.05%	2.07%	1.59%	2.48%	1.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	218	81	61	70	6					
		4.76%	4.20%	5.11%	5.43%	3.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	9	7	5	2					
		0.50%	0.47%	0.59%	0.39%	1.20%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	121	54	31	34	2					
		2.64%	2.80%	2.60%	2.64%	1.20%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	11	5	7	0					
		0.50%	0.57%	0.42%	0.54%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3983	1703	1057	1073	150					
		87.00%	88.28%	88.60%	83.24%	89.82%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	16	8	4	4	0					
		0.35%	0.41%	0.34%	0.31%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
