Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Пригородная																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №348									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	78089	1960	1987	2405	782	1106	1562	1776	1617	1912	2210	1681	1855	1708	2386	1900	2150	1972	1201	2312	1065	1358	2832	2481	2128	1069	1722	1552	1024	1951	2256	2714	2024	2689	2889	2657	946	1030	277	273	179	2046	2427	2094	661	187	1076									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75260	1900	1900	2386	780	1074	1500	1700	1500	1800	1900	1600	1800	1600	2350	1800	2050	1790	1180	2300	1030	1270	2790	2450	2020	1050	1720	1530	1000	1910	2160	2650	1950	2580	2820	2540	930	1020	260	250	170	2030	2360	2090	600	190	980									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	312	0	0	71	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	65280	1700	1751	2076	687	775	1268	1535	1388	1602	1699	1536	1468	1472	1685	1550	1755	1575	986	1918	798	1140	2506	2148	1800	966	1670	1372	849	1671	1848	2302	1700	2210	2579	2246	791	843	162	150	108	1679	2079	1687	546	166	838									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1251	0	0	24	0	21	0	14	6	63	36	24	0	8	400	9	23	19	34	35	14	0	0	0	20	38	34	8	26	47	27	5	10	50	45	34	50	15	3	10	0	20	57	13	4	5	0									
6	Число погашенных избирательных бюллетеней	8417	200	149	215	93	37	232	151	106	135	165	40	332	120	265	241	272	196	160	347	218	130	284	302	200	46	16	150	125	192	285	343	240	320	196	260	89	162	95	90	62	331	224	390	50	19	142									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1563	0	0	95	0	262	0	14	6	63	36	24	0	8	400	9	23	19	34	35	14	0	0	0	20	38	34	8	26	47	27	5	10	50	45	34	50	15	3	10	0	20	57	13	4	5	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	65280	1700	1751	2076	687	775	1268	1535	1388	1602	1699	1536	1468	1472	1685	1550	1755	1575	986	1918	798	1140	2506	2148	1800	966	1670	1372	849	1671	1848	2302	1700	2210	2579	2246	791	843	162	150	108	1679	2079	1687	546	166	838									
9	Число недействительных избирательных бюллетеней	318	0	6	0	6	0	27	1	2	2	5	5	4	0	10	18	0	13	1	16	2	6	3	14	0	0	0	0	6	5	2	1	4	3	6	9	13	0	6	0	44	0	78	0	0	0	0									
10	Число действительных избирательных бюллетеней	66525	1700	1745	2171	681	1037	1241	1548	1392	1663	1730	1555	1464	1480	2075	1541	1778	1581	1019	1937	810	1134	2503	2134	1820	1004	1704	1380	869	1713	1873	2306	1706	2257	2618	2271	828	858	159	160	64	1699	2058	1700	550	171	838									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1715	40	40	50	15	15	30	30	50	50	50	50	30	30	100	40	50	40	30	20	20	50	50	50	40	20	50	50	20	50	50	50	50	50	50	50	30	30	5	5	5	50	50	50	20	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	844	0	4	17	3	15	18	2	14	23	15	20	9	7	28	27	22	9	12	20	0	22	50	33	27	13	41	14	10	21	38	49	28	36	45	32	12	14	5	1	1	28	35	18	5	1	0									
