Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Угловская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695					
1	"Число избирателей, внесенных в списки"	11538	573	247	78	1040	280	841	158	511	583	119	138	1902	1690	219	635	226	80	337	305	640	246	690					
2	"Число бюллетеней, полученных участковыми комиссиями"	11135	540	240	81	1100	300	800	153	470	533	117	132	1800	1600	220	590	220	79	330	300	600	250	680					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7641	436	200	52	640	227	562	125	340	447	100	102	1093	1049	176	482	172	57	253	208	334	186	400					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	557	23	20	14	55	12	34	18	10	20	1	12	55	63	3	29	12	6	23	38	37	5	67					
6	Число погашенных бюллетеней	2937	81	20	15	405	61	204	10	120	66	16	18	652	488	41	79	36	16	54	54	229	59	213					
7	Число бюллетеней в переносных ящиках для голосования	557	23	20	14	55	12	34	18	10	20	1	12	55	63	3	29	12	6	23	38	37	5	67					
8	Число бюллетеней в стационарных ящиках для голосования	7639	436	200	52	640	227	562	125	340	447	100	102	1092	1048	176	482	172	57	253	208	334	186	400					
9	Число недействительных бюллетеней	96	6	3	1	10	2	6	0	0	10	4	3	16	8	2	2	4	3	4	6	1	1	4					
10	Число действительных бюллетеней	8100	453	217	65	685	237	590	143	350	457	97	111	1131	1103	177	509	180	60	272	240	370	190	463					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	3	4	2	3	1	4	2	4	2	0	2	17	20	4	6	2	2	3	6	5	2	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	56	3	1	0	1	1	3	0	2	0	0	1	13	16	4	5	0	0	1	2	0	0	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	34	0	1	2	1	2	2	2	1	1	2	6	1	0	0	0	1	2	3	2	2	1	2					
14	Число погашенных открепительных удостоверений	43	0	3	2	2	0	1	2	2	2	0	1	4	4	0	1	2	2	2	4	5	2	2					
