Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Износковская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3976	217	299	163	1259	160	122	1168	143	223	222									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4380	230	300	190	1400	200	150	1250	160	260	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2126	111	161	126	701	63	36	623	64	138	103									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	776	94	63	24	129	77	81	99	51	62	96									
6	Число погашенных избирательных бюллетеней	1478	25	76	40	570	60	33	528	45	60	41									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	776	94	63	24	129	77	81	99	51	62	96									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2126	111	161	126	701	63	36	623	64	138	103									
9	Число недействительных избирательных бюллетеней	51	0	0	1	29	0	1	11	1	2	6									
10	Число действительных избирательных бюллетеней	2851	205	224	149	801	140	116	711	114	198	193									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	472	15	25	30	130	50	25	117	20	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	465	15	18	30	130	50	25	117	20	30	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	12	7	6	11	5	7	23	5	8	5									
14	Число погашенных неиспользованных открепительных удостоверений	7	0	7	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	0	0	20	1	0	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	50	1	2	5	15	1	2	13	3	6	2									
		1.72%	0.49%	0.89%	3.33%	1.81%	0.71%	1.71%	1.80%	2.61%	3.00%	1.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	6	8	2	20	5	3	28	2	6	3									
		2.86%	2.93%	3.57%	1.33%	2.41%	3.57%	2.56%	3.88%	1.74%	3.00%	1.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	57	3	4	4	13	3	1	19	1	7	2									
		1.96%	1.46%	1.79%	2.67%	1.57%	2.14%	0.85%	2.63%	0.87%	3.50%	1.01%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1423	132	117	81	364	82	63	297	67	97	123									
		49.04%	64.39%	52.23%	54.00%	43.86%	58.57%	53.85%	41.14%	58.26%	48.50%	61.81%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	0	0	4	1	0	2	0	0	0									
		0.24%	0.00%	0.00%	0.00%	0.48%	0.71%	0.00%	0.28%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	2	0	0	0	1	0	0	1	0	0	0									
		0.07%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	566	27	53	34	171	22	6	158	21	38	36									
		19.50%	13.17%	23.66%	22.67%	20.60%	15.71%	5.13%	21.88%	18.26%	19.00%	18.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	0	0	0	2	0	0	12	0	0	1									
		0.52%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	1.66%	0.00%	0.00%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	11	2	0	1	3	0	0	3	0	2	0									
		0.38%	0.98%	0.00%	0.67%	0.36%	0.00%	0.00%	0.42%	0.00%	1.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	1	0	0	0	0	1	0	0	1									
		0.10%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.50%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	2	1	0	4	2	0	3	0	1	0									
		0.45%	0.98%	0.45%	0.00%	0.48%	1.43%	0.00%	0.42%	0.00%	0.50%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	520	28	32	17	168	22	39	140	18	37	19									
		17.92%	13.66%	14.29%	11.33%	20.24%	15.71%	33.33%	19.39%	15.65%	18.50%	9.55%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	0	0	6	0	0	2	0	1	1									
		0.34%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.28%	0.00%	0.50%	0.50%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	91	4	6	5	30	2	2	32	2	3	5									
		3.14%	1.95%	2.68%	3.33%	3.61%	1.43%	1.71%	4.43%	1.74%	1.50%	2.51%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
