Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Людиновская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	34314	1480	1267	1583	1993	1653	2653	1522	2038	2521	1962	1647	622	1592	1150	1520	1427	2646	1114	1317	260	130	377	260	202	84	412	253	328	301									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31900	1400	1100	1500	1900	1500	2500	1400	1900	2400	1900	1500	550	1500	1000	1400	1300	2500	1000	1000	275	135	375	275	200	90	425	250	325	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14469	703	546	674	909	797	1096	607	882	1117	779	677	250	597	517	561	574	1101	461	434	135	62	155	84	63	43	275	120	142	108									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1341	21	19	41	23	15	78	12	22	22	15	63	35	107	16	19	14	38	14	243	54	23	75	57	85	21	58	24	76	51									
6	Число погашенных избирательных бюллетеней	16090	676	535	785	968	688	1326	781	996	1261	1106	760	265	796	467	820	712	1361	525	323	86	50	145	134	52	26	92	106	107	141									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1341	21	19	41	23	15	78	12	22	22	15	63	35	107	16	19	14	38	14	243	54	23	75	57	85	21	58	24	76	51									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14465	703	546	674	908	797	1096	607	879	1117	779	677	250	597	517	561	574	1101	461	434	135	62	155	84	63	43	275	120	142	108									
9	Число недействительных избирательных бюллетеней	330	17	10	12	20	11	35	12	15	32	21	21	6	13	15	14	12	15	5	22	5	0	3	2	1	0	4	0	2	5									
10	Число действительных избирательных бюллетеней	15476	707	555	703	911	801	1139	607	886	1107	773	719	279	691	518	566	576	1124	470	655	184	85	227	139	147	64	329	144	216	154									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	782	30	24	20	23	30	42	28	32	45	40	20	10	25	25	30	40	35	20	15	30	20	25	20	15	20	35	28	25	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	767	30	20	20	19	30	42	28	30	45	40	20	10	25	25	29	40	35	17	15	30	20	24	20	15	20	35	28	25	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	471	21	21	8	16	61	11	30	19	15	21	11	8	24	21	12	13	19	14	44	12	13	7	6	10	9	5	3	7	10									
14	Число погашенных неиспользованных открепительных удостоверений	15	0	4	0	4	0	0	0	2	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	218	14	5	7	9	6	19	8	17	16	14	9	2	14	13	9	9	20	6	8	3	0	3	2	0	0	2	1	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	237	8	21	8	10	15	11	13	9	22	15	17	2	9	10	5	10	14	8	16	2	0	1	2	0	1	2	0	4	2									
		1.50%	1.10%	3.72%	1.12%	1.07%	1.85%	0.94%	2.10%	0.99%	1.93%	1.89%	2.30%	0.70%	1.28%	1.88%	0.86%	1.70%	1.23%	1.68%	2.36%	1.06%	0.00%	0.43%	1.42%	0.00%	1.56%	0.60%	0.00%	1.83%	1.26%									
