Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Южноуральская городская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217					
1	"Число избирателей, внесенных в списки избирателей"	31030	1156	1336	814	1259	726	1104	1479	982	1343	1674	2178	1948	1885	2519	2247	2040	2015	2032	2136	157					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	27950	1000	1200	700	1100	600	1000	1400	900	1200	1600	1800	1800	1700	2300	2100	1800	1800	1800	2000	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21027	648	783	462	894	479	794	970	632	918	1177	1468	1376	1316	1656	1569	1499	1394	1432	1471	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	923	27	48	53	31	61	29	40	39	35	49	130	53	63	77	27	30	53	47	31	0					
6	Число погашенных избирательных бюллетеней	6000	325	369	185	175	60	177	390	229	247	374	202	371	321	567	504	271	353	321	498	61					
7	Число избирательных бюллетеней в переносных ящиках для голосования	923	27	48	53	31	61	29	40	39	35	49	130	53	63	77	27	30	53	47	31	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21005	648	783	462	894	479	794	970	632	918	1176	1468	1372	1302	1655	1569	1498	1393	1432	1471	89					
9	Число недействительных избирательных бюллетеней	224	7	16	4	9	10	3	9	3	8	16	12	11	22	16	18	16	17	13	13	1					
10	Число действительных избирательных бюллетеней	21704	668	815	511	916	530	820	1001	668	945	1209	1586	1414	1343	1716	1578	1512	1429	1466	1489	88					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	400	15	15	15	20	15	21	14	15	20	20	25	25	25	25	25	25	25	25	25	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	237	5	4	2	5	6	14	13	6	7	12	20	18	23	12	17	19	18	13	23	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	241	2	5	5	12	11	12	11	9	10	19	10	20	21	13	10	17	19	17	14	4					
14	Число погашенных неиспользованных открепительных удостоверений	163	10	11	13	15	9	7	1	9	13	8	5	7	2	13	8	6	7	12	2	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	2	3	0	2	0	0	0	2	0	2	1	0	2	3	3	2	1	4	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	355	4	16	8	11	11	26	15	6	7	18	22	30	25	29	24	30	23	20	28	2					
		1.62%	0.59%	1.93%	1.55%	1.19%	2.04%	3.16%	1.49%	0.89%	0.73%	1.47%	1.38%	2.11%	1.83%	1.67%	1.50%	1.96%	1.59%	1.35%	1.86%	2.25%					
19	2.Всероссийская политическая партия «Гражданская Сила»	197	2	3	4	11	6	7	10	10	6	7	9	14	7	17	20	24	9	14	17	0					
		0.90%	0.30%	0.36%	0.78%	1.19%	1.11%	0.85%	0.99%	1.49%	0.63%	0.57%	0.56%	0.98%	0.51%	0.98%	1.25%	1.57%	0.62%	0.95%	1.13%	0.00%					
20	3.Политическая партия «Демократическая партия России»	20	0	1	2	2	0	1	0	3	2	0	2	2	1	1	1	1	0	0	0	1					
		0.09%	0.00%	0.12%	0.39%	0.22%	0.00%	0.12%	0.00%	0.45%	0.21%	0.00%	0.13%	0.14%	0.07%	0.06%	0.06%	0.07%	0.00%	0.00%	0.00%	1.12%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3260	36	94	60	101	69	123	136	69	123	213	276	236	219	229	283	273	291	236	184	9					
		14.87%	5.33%	11.31%	11.65%	10.92%	12.78%	14.95%	13.47%	10.28%	12.91%	17.39%	17.27%	16.56%	16.04%	13.22%	17.73%	17.87%	20.12%	15.96%	12.25%	10.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	266	15	13	3	4	8	6	17	7	15	19	19	16	12	25	15	31	11	14	15	1					
