Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																												
																																																																												
Наименование Избирательной комиссии:    Солнечногорская																																																																												
																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																												
																																																																												
		Сумма	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772					
1	"Число избирателей, внесенных в списки"	105955	2188	2066	1816	1677	1887	1912	2099	2211	2812	2688	2019	1443	2111	2248	747	1253	1496	2297	343	1681	450	404	274	1580	1818	272	685	399	783	309	918	514	334	2321	2058	2789	2878	859	709	643	676	1947	2559	2380	1262	2173	240	1288	713	2787	1244	703	2195	2426	1249	1022	889	1679	1404	1956	1606	2260	2539	2947	2921	639	1397	888	1975					
2	"Число бюллетеней, полученных участковыми комиссиями"	96742	1910	1850	1600	1500	1750	1730	1900	2010	2500	2670	1800	1300	1900	2050	650	1100	1300	2180	340	1600	380	370	417	1510	1650	250	600	350	766	290	810	492	315	2050	1850	2516	2697	832	630	597	620	1750	2300	2130	1140	1970	227	1129	611	2530	1130	687	1955	2165	1090	910	800	1500	1250	1800	1450	2289	2137	2714	2628	587	1406	883	1942					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	59383	1220	1167	1030	972	1111	1186	1162	1332	1599	1402	1134	804	1200	1208	354	658	740	1351	217	791	153	195	231	1016	1088	120	363	163	458	184	620	322	163	1224	1087	1494	1276	563	368	271	298	1090	1541	1365	745	1222	130	888	380	1456	572	446	1191	1196	635	563	498	924	858	943	943	1375	1505	1747	1764	465	859	644	1143					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2181	24	14	17	5	12	11	38	23	13	21	19	17	23	43	8	15	19	15	19	107	59	42	43	24	19	27	42	28	55	6	60	2	56	45	8	25	154	9	33	109	69	35	23	21	10	21	14	75	72	31	63	17	33	33	22	25	23	45	27	37	18	18	58	22	45	6	2	2	5					
6	Число погашенных бюллетеней	35173	666	669	553	523	627	533	700	650	888	1247	647	479	677	799	288	427	541	814	104	702	168	133	143	470	543	103	195	159	253	100	130	168	96	781	755	997	1267	260	229	217	253	625	736	744	385	727	83	166	159	1043	495	224	731	936	433	322	279	531	365	820	489	896	574	945	819	116	545	237	794					
7	Число бюллетеней в переносных ящиках для голосования	2181	24	14	17	5	12	11	38	23	13	21	19	17	23	43	8	15	19	15	19	107	59	42	43	24	19	27	42	28	55	6	60	2	56	45	8	25	154	9	33	109	69	35	23	21	10	21	14	75	72	31	63	17	33	33	22	25	23	45	27	37	18	18	58	22	45	6	2	2	5					
8	Число бюллетеней в стационарных ящиках для голосования	59275	1212	1157	1023	972	1111	1186	1159	1327	1579	1401	1134	804	1200	1191	354	658	740	1348	217	791	153	195	231	1016	1088	120	363	163	458	184	620	322	163	1224	1087	1488	1274	563	368	271	298	1090	1533	1364	745	1219	130	888	380	1456	572	446	1191	1196	633	562	498	924	858	943	941	1375	1500	1747	1760	465	859	644	1143					
9	Число недействительных бюллетеней	1601	26	32	30	11	19	20	30	17	23	29	19	12	21	34	24	14	15	41	5	37	5	10	9	39	33	6	21	7	35	8	34	9	23	56	25	50	28	16	19	9	18	12	16	23	13	10	10	27	13	72	17	18	43	56	46	16	42	37	41	29	19	24	9	22	22	7	8	13	17					
10	Число действительных бюллетеней	59855	1210	1139	1010	966	1104	1177	1167	1333	1569	1393	1134	809	1202	1200	338	659	744	1322	231	861	207	227	265	1001	1074	141	384	184	478	182	646	315	196	1213	1070	1463	1400	556	382	371	349	1113	1540	1362	742	1230	134	936	439	1415	618	445	1181	1173	609	571	479	932	844	951	940	1369	1549	1747	1783	464	853	633	1131					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1713	35	20	16	30	30	45	41	30	30	20	25	30	28	35	5	5	15	30	10	15	5	5	20	20	25	5	10	5	20	10	10	10	5	10	20	20	30	10	20	10	10	20	20	30	16	20	5	80	30	10	20	10	10	22	15	20	15	15	10	10	20	60	162	60	80	30	20	30	98					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1187	25	20	16	26	22	32	40	29	25	20	21	24	26	23	3	5	12	24	7	8	1	1	4	17	17	1	3	0	11	0	1	5	1	9	14	13	17	0	10	3	1	12	20	13	11	14	1	11	0	10	13	2	5	18	8	11	7	9	0	8	18	59	149	59	66	12	18	24	72					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	893	11	12	18	11	7	13	11	8	11	13	19	11	18	14	10	6	14	37	21	13	11	5	19	105	4	17	2	9	1	7	7	14	11	26	14	8	6	43	7	12	16	14	10	9	2	11	4	13	0	8	4	10	10	17	10	12	9	11	0	11	18	10	15	21	10	10	6	11	5					
