Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
"Наименование Избирательной комиссии:    Тюмень, Ленинская"																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	110828	1431	2062	1706	2066	2227	1902	2460	1826	2496	2058	2003	1997	2154	2474	2588	1558	2194	1412	1227	2270	1809	1928	1572	1908	1218	2403	1245	2837	2678	2768	2829	2623	1539	1690	2647	1052	2305	1853	581	1429	1262	1360	1586	1353	1076	434	1971	2447	1644	493	2555	2252	2291	2463	2887	2900	2342	159	328									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	109353	1400	2000	1700	2050	2200	1900	2400	1800	2450	2050	2000	1950	2100	2400	2550	1500	2200	1350	1200	2200	1800	1900	1550	1900	1150	2400	1250	2800	2700	2750	2800	2600	1550	1700	2600	1000	2300	1850	550	1400	1250	1300	1550	1300	1000	400	1900	2400	1600	450	2500	2250	2250	2450	2850	2850	2300	303	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	87113	1066	1509	1113	1500	1745	1637	1611	1650	1997	1551	1627	1627	1495	1950	2179	1274	1677	1101	1002	1558	1229	1337	1167	1526	849	1787	1126	1942	2008	2613	2266	2211	1521	1194	2521	851	2128	1693	427	1145	660	908	1278	1076	813	266	1435	1845	1524	298	2081	1839	1848	2017	2347	2326	1908	56	178									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	732	19	2	13	19	10	7	10	9	8	20	10	14	20	11	3	6	9	17	8	12	49	13	2	4	3	2	1	7	14	4	1	2	3	0	5	0	8	8	0	2	1	3	1	4	11	8	8	13	4	3	2	11	3	15	40	11	5	84	150									
6	Число погашенных избирательных бюллетеней	21508	315	489	574	531	445	256	779	141	445	479	363	309	585	439	368	220	514	232	190	630	522	550	381	370	298	611	123	851	678	133	533	387	26	506	74	149	164	149	123	253	589	389	271	220	176	126	457	542	72	149	417	400	399	418	463	513	387	163	172									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	732	19	2	13	19	10	7	10	9	8	20	10	14	20	11	3	6	9	17	8	12	49	13	2	4	3	2	1	7	14	4	1	2	3	0	5	0	8	8	0	2	1	3	1	4	11	8	8	13	4	3	2	11	3	15	40	11	5	84	150									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	87045	1066	1509	1113	1500	1745	1637	1611	1650	1997	1551	1627	1627	1495	1950	2179	1274	1677	1099	1002	1558	1229	1337	1165	1526	846	1787	1126	1942	2008	2613	2266	2211	1521	1194	2521	851	2128	1693	427	1145	660	908	1278	1076	802	266	1435	1845	1524	298	2081	1839	1848	2017	2297	2326	1908	56	178									
9	Число недействительных избирательных бюллетеней	711	1	15	19	15	1	1	16	0	25	16	16	1	1	0	0	13	17	23	1	0	12	18	12	10	1	18	0	1	1	26	1	22	15	11	2	9	17	17	4	10	31	9	1	1	17	2	0	3	0	1	1	19	19	31	119	24	35	7	3									
10	Число действительных избирательных бюллетеней	87066	1084	1496	1107	1504	1754	1643	1605	1659	1980	1555	1621	1640	1514	1961	2182	1267	1669	1093	1009	1570	1266	1332	1155	1520	848	1771	1127	1948	2021	2591	2266	2191	1509	1183	2524	842	2119	1684	423	1137	630	902	1278	1079	796	272	1443	1855	1528	300	2082	1831	1832	2001	2218	2313	1878	133	325									
