Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    район Фили-Давыдково																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888	УИК №2889	УИК №2890	УИК №2891	УИК №2892	УИК №2893	УИК №2894	УИК №2895	УИК №2896	УИК №2897	УИК №2898	УИК №2899	УИК №2900	УИК №2901	УИК №2902	УИК №2903	УИК №2904									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64994	2336	134	2053	1643	1948	2080	2488	2592	2606	2561	2527	2520	1075	2200	2348	2140	2474	2601	1689	2312	2156	2130	2625	2722	2612	2378	2657	2902	2485									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51432	1900	132	1700	1300	1600	1600	2000	2000	2000	2000	2000	2000	800	1800	1900	1700	2000	2100	1300	1800	1700	1700	2000	2000	2000	1900	2100	2400	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21358	1013	97	621	489	669	661	844	867	782	834	794	816	397	703	821	638	841	879	598	815	711	656	801	909	843	723	961	819	756									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	901	47	33	25	34	27	21	43	30	34	29	28	19	9	16	55	27	21	43	30	31	23	26	21	35	50	44	38	30	32									
6	Число погашенных избирательных бюллетеней	29173	840	2	1054	777	904	918	1113	1103	1184	1137	1178	1165	394	1081	1024	1035	1138	1178	672	954	966	1018	1178	1056	1107	1133	1101	1551	1212									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	901	47	33	25	34	27	21	43	30	34	29	28	19	9	16	55	27	21	43	30	31	23	26	21	35	50	44	38	30	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21279	999	97	621	487	668	661	844	836	781	834	791	816	397	702	819	636	841	878	596	815	711	655	799	900	843	723	960	817	752									
9	Число недействительных избирательных бюллетеней	302	11	0	4	9	6	12	11	15	13	6	14	12	4	19	10	10	7	9	8	12	7	14	2	8	19	18	14	15	13									
10	Число действительных избирательных бюллетеней	21878	1035	130	642	512	689	670	876	851	802	857	805	823	402	699	864	653	855	912	618	834	727	667	818	927	874	749	984	832	771									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	955	25	5	20	20	20	20	40	40	40	40	40	40	15	30	30	30	30	40	20	30	30	30	50	70	50	30	40	50	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	458	20	1	6	9	10	16	14	15	16	13	16	14	3	9	9	21	13	22	16	10	19	14	12	69	15	8	19	23	26									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	727	23	6	8	34	14	52	38	38	9	7	18	19	6	8	14	131	8	9	3	11	18	56	32	15	21	26	19	16	68									
14	Число погашенных неиспользованных открепительных удостоверений	497	5	4	14	11	10	4	26	25	24	27	24	26	12	21	21	9	17	18	4	20	11	16	38	1	35	22	21	27	4									
