Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Бай-Тайгинская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44					
1	"Число избирателей, внесенных в списки"	6120	1808	442	485	615	810	991	969					
2	"Число бюллетеней, полученных участковыми комиссиями"	6083	1817	422	468	619	794	1002	961					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	304	0	0	0	12	195	78	19					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3127	794	239	269	333	421	498	573					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	327	53	102	26	44	18	20	64					
6	Число погашенных бюллетеней	2325	970	81	173	230	160	406	305					
7	Число бюллетеней в переносных ящиках для голосования	631	53	102	26	56	213	98	83					
8	Число бюллетеней в стационарных ящиках для голосования	3127	794	239	269	333	421	498	573					
9	Число недействительных бюллетеней	161	37	10	12	11	2	32	57					
10	Число действительных бюллетеней	3597	810	331	283	378	632	564	599					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	85	10	10	10	10	20	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	22	8	1	0	5	0	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	10	5	0	0	1	2	1	1					
14	Число погашенных открепительных удостоверений	63	2	9	10	5	20	8	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	174	47	23	16	25	15	37	11					
		4.63%	5.54%	6.74%	5.42%	6.42%	2.36%	6.20%	1.67%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	8	3	0	1	1	1	1	1					
