Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																					
Дата голосования: 04.12.2011																																																																																																																					
																																																																																																																					
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																					
																																																																																																																					
Сводная таблица результатов выборов																																																																																																																					
																																																																																																																					
		Сумма	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
1	"Число избирателей, внесенных в список избирателей"	207394	2573	1508	2295	2668	2208	751	2023	1506	2460	1231	1938	2120	2950	1767	1196	2169	2015	2306	1844	556	2022	2172	854	2305	2370	2502	2702	1639	1761	1786	2126	1643	1915	1933	1198	2150	1707	2908	2118	1030	1624	2186	1670	2003	1255	1515	1359	2055	1457	2642	1697	1945	1605	1710	1247	1901	1143	2529	2490	1992	2397	2578	2435	1624	1612	1770	1995	2115	1394	2618	1530	2348	1786	1542	1446	1781	1661	2557	1698	2024	2391	2654	2096	1271	1364	2534	1083	1159	1635	2185	2255	2620	2095	1329	2870	2546	2320	18	756	2616	2646	2492	16	1828	1239	2577	871	2475	2847	745					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	170062	2200	1200	1900	2150	1800	750	1650	1250	2000	1000	1600	1700	2350	1400	1000	1800	1700	2000	1450	500	1650	1750	863	2000	1900	2100	2500	1300	1400	1450	1700	1300	1500	1550	1000	1700	1450	2400	1750	1000	1400	1750	1500	1600	1100	1250	1100	1600	1100	2150	1450	1900	1300	1450	1000	1500	900	2100	2000	1600	1900	2100	2000	1250	1300	1400	1600	1700	1150	2100	1250	1900	1450	1250	1200	1450	1350	2050	1350	1600	1950	2200	1750	1000	1150	1950	900	950	1300	1800	1800	2150	1700	1100	2300	2100	1900	18	800	2100	2100	2000	16	1500	950	2150	865	1900	2300	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	152635	1937	1128	1695	1989	1624	589	1520	1107	1834	951	1433	1481	2181	1363	862	1476	1474	1740	1374	375	1507	1716	521	1784	1849	1972	1940	1212	1282	1029	1612	1112	1053	1192	878	1654	1285	2285	1618	747	1217	1462	1231	1432	944	1121	859	1187	1086	1937	1220	1425	1181	1276	899	1400	855	1898	1955	1499	1846	1952	1414	1198	1182	1360	1479	1542	1032	1965	1129	1736	1340	1139	1087	1315	1231	1925	1258	1509	1783	1995	1581	943	1009	1841	808	861	1210	1620	1653	1950	1598	1085	2155	1945	1717	18	756	1963	2080	1859	16	1385	918	1932	527	1645	2123	555					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3024	10	3	25	17	54	11	15	22	23	8	21	24	94	24	35	161	35	18	9	45	10	21	9	12	29	21	244	19	39	339	45	60	61	37	21	25	15	15	19	28	9	15	22	91	9	16	60	18	10	45	10	33	23	13	17	26	6	12	45	15	16	16	23	31	27	32	15	44	15	10	19	25	31	18	9	21	34	13	10	12	21	19	10	11	14	63	5	9	17	27	39	15	7	4	7	9	9	0	0	11	8	12	0	4	11	1	26	11	11	4					
6	Число погашенных избирательных бюллетеней	14403	253	69	180	144	122	150	115	121	143	41	146	195	75	13	103	163	191	242	67	80	133	13	333	204	22	107	316	69	79	82	43	128	386	321	101	21	150	100	113	225	174	273	247	77	147	113	181	395	4	168	220	442	96	161	84	74	39	190	0	86	38	132	563	21	91	8	106	114	103	125	102	139	79	93	104	114	85	112	82	79	146	186	159	46	127	46	87	80	73	153	108	185	95	11	138	146	174	0	44	126	12	129	0	111	21	217	312	244	166	41					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3023	10	2	25	17	54	11	15	22	23	8	21	24	94	24	35	161	35	18	9	45	10	21	9	12	29	21	244	19	39	339	45	60	61	37	21	25	15	15	19	28	9	15	22	91	9	16	60	18	10	45	10	33	23	13	17	26	6	12	45	15	16	16	23	31	27	32	15	44	15	10	19	25	31	18	9	21	34	13	10	12	21	19	10	11	14	63	5	9	17	27	39	15	7	4	7	9	9	0	0	11	8	12	0	4	11	1	26	11	11	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	152594	1937	1126	1695	1989	1624	589	1520	1107	1834	951	1433	1481	2181	1363	862	1476	1474	1740	1374	375	1507	1716	521	1784	1849	1972	1940	1212	1282	1029	1612	1112	1053	1192	878	1654	1285	2285	1618	747	1217	1462	1231	1432	944	1121	859	1179	1086	1937	1219	1425	1181	1276	899	1400	855	1898	1955	1499	1846	1952	1414	1198	1182	1354	1479	1542	1032	1965	1129	1736	1340	1139	1087	1315	1231	1925	1258	1509	1760	1995	1581	943	1009	1841	808	861	1210	1620	1653	1950	1598	1085	2155	1945	1717	18	756	1962	2080	1859	16	1385	918	1932	527	1645	2123	555					
9	Число недействительных избирательных бюллетеней	484	0	2	0	1	3	0	0	2	3	0	15	16	6	6	2	0	9	0	0	0	0	0	7	13	0	13	11	5	7	4	3	0	14	42	1	9	3	0	12	2	0	5	0	0	6	0	6	1	1	12	19	0	0	15	9	0	0	0	0	2	0	4	19	7	5	14	0	2	7	7	0	3	3	0	0	4	0	5	0	9	1	9	0	0	0	10	0	0	0	0	9	6	3	0	9	0	3	0	3	18	0	0	0	0	4	0	4	10	18	1					
10	Число действительных избирательных бюллетеней	155133	1947	1126	1720	2005	1675	600	1535	1127	1854	959	1439	1489	2269	1381	895	1637	1500	1758	1383	420	1517	1737	523	1783	1878	1980	2173	1226	1314	1364	1654	1172	1100	1187	898	1670	1297	2300	1625	773	1226	1472	1253	1523	947	1137	913	1196	1095	1970	1210	1458	1204	1274	907	1426	861	1910	2000	1512	1862	1964	1418	1222	1204	1372	1494	1584	1040	1968	1148	1758	1368	1157	1096	1332	1265	1933	1268	1512	1780	2005	1591	954	1023	1894	813	870	1227	1647	1683	1959	1602	1089	2153	1954	1723	18	753	1955	2088	1871	16	1389	925	1933	549	1646	2116	558					
