Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																								
Дата голосования: 02.12.2007																																																																																																																								
																																																																																																																								
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																								
																																																																																																																								
Сводная таблица результатов выборов																																																																																																																								
																																																																																																																								
		Сумма	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
1	"Число избирателей, внесенных в списки избирателей"	197154	1824	1203	2857	2081	1648	672	1914	1447	2276	1280	2027	2035	2902	1884	1200	1963	1997	2246	1917	748	1592	2980	868	1565	2841	2670	2357	1620	1750	1852	2060	1688	1771	1952	1172	2004	1402	2878	2053	1010	1667	2050	1487	1936	1423	2572	1416	1886	1442	2621	1642	1937	1635	1850	1290	1303	1005	1023	2030	1860	2309	2462	2487	1457	1439	1598	1822	2121	1370	2726	1542	2215	1654	1604	1481	1308	967	2636	1412	2067	2384	2563	2140	1302	1504	2249	1055	1142	1109	2241	1912	2772	2158	1329	2330	2246	1570	30	891	1975	2533	2169	23	1235	1131	1910	805	522	1720	689	2075	1553	929					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	178425	1800	1100	2600	1900	1500	600	1700	1450	2200	1200	1800	1800	2600	1700	1100	1800	1900	2000	1700	700	1400	2700	800	1500	2500	2500	2100	1500	1600	1600	1800	1600	1600	1600	1000	1700	1300	2500	1800	900	1500	1700	1500	1700	1300	2300	1300	1700	1300	2400	1500	1700	1550	1700	1100	1200	900	1000	1800	1700	2100	2200	2200	1300	1300	1500	1600	1850	1200	2400	1500	2000	1500	1400	1300	1200	900	2400	1300	2000	2100	2300	1900	1150	1300	2100	1000	1000	1000	2000	1900	2500	1900	1200	2100	2000	1500	30	950	1800	2300	2000	25	1100	1000	1700	700	500	1600	620	1900	1300	800					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	164134	1544	987	2424	1861	1431	488	1686	1359	1996	1134	1772	1698	2341	1526	1055	1387	1630	1818	1618	589	1183	2543	730	1328	2478	2300	1978	1427	1452	1403	1710	1381	1297	1473	924	1626	1176	2288	1630	825	1439	1630	1246	1483	1029	2024	1197	1577	1288	2138	1329	1603	1451	1585	1005	1096	855	787	1595	1563	1985	2085	2108	1154	1213	1288	1533	1782	1154	2332	1446	1627	1392	1291	1249	1110	815	2301	1190	1819	1904	2049	1811	1115	1256	1850	913	965	881	1850	1523	2418	1810	1145	2018	1892	1367	30	891	1753	1949	1845	23	1033	987	1540	573	389	1575	600	1849	1272	768					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3803	36	0	22	28	51	86	10	16	52	35	27	36	147	47	25	254	67	24	12	15	16	26	8	25	20	29	22	23	56	105	44	72	61	36	42	36	47	33	23	40	27	30	21	102	102	24	37	33	12	65	22	20	34	11	29	16	10	20	62	22	11	15	7	36	25	32	20	38	10	29	32	51	63	24	10	19	31	19	23	20	27	25	16	0	31	79	10	30	62	96	221	12	15	5	7	6	2	0	0	10	4	12	0	16	4	7	32	55	7	0	20	22	2					
6	Число погашенных избирательных бюллетеней	10488	220	113	154	11	18	26	4	75	152	31	1	66	112	127	20	159	203	158	70	96	201	131	62	147	2	171	100	50	92	92	46	147	242	91	34	38	77	179	147	35	34	40	233	115	169	252	66	90	0	197	149	77	65	104	66	88	35	193	143	115	104	100	85	110	62	180	47	30	36	39	22	322	45	85	41	71	54	80	87	161	169	226	73	35	13	171	77	5	57	54	156	70	75	50	75	102	131	0	59	37	347	143	2	51	9	153	95	56	18	20	31	6	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3803	36	0	22	28	51	86	10	16	52	35	27	36	147	47	25	254	67	24	12	15	16	26	8	25	20	29	22	23	56	105	44	72	61	36	42	36	47	33	23	40	27	30	21	102	102	24	37	33	12	65	22	20	34	11	29	16	10	20	62	22	11	15	7	36	25	32	20	38	10	29	32	51	63	24	10	19	31	19	23	20	27	25	16	0	31	79	10	30	62	96	221	12	15	5	7	6	2	0	0	10	4	12	0	16	4	7	32	55	7	0	20	22	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	164099	1544	987	2424	1861	1431	488	1686	1359	1996	1134	1768	1698	2341	1526	1055	1387	1630	1818	1618	589	1183	2543	730	1328	2478	2300	1978	1427	1452	1403	1710	1381	1297	1473	924	1626	1176	2263	1624	825	1439	1630	1246	1483	1029	2024	1197	1577	1288	2138	1329	1603	1451	1585	1005	1096	855	787	1595	1563	1985	2085	2108	1154	1213	1288	1533	1782	1154	2332	1446	1627	1392	1291	1249	1110	815	2301	1190	1819	1904	2049	1811	1115	1256	1850	913	965	881	1850	1523	2418	1810	1145	2018	1892	1367	30	891	1753	1949	1845	23	1033	987	1540	573	389	1575	600	1849	1272	768					
9	Число недействительных избирательных бюллетеней	630	3	0	11	0	0	5	0	0	6	2	15	100	10	7	0	13	0	0	4	0	8	26	0	8	0	17	18	4	6	4	13	13	0	21	1	4	22	0	29	5	0	6	0	1	11	0	8	5	0	6	0	0	0	0	0	0	1	4	0	0	0	10	10	9	2	4	0	2	2	20	2	5	0	1	0	0	0	0	0	39	7	8	0	0	2	11	0	10	0	1	3	8	10	2	0	2	2	0	0	27	0	0	0	0	3	0	3	0	0	3	0	4	1					
10	Число действительных избирательных бюллетеней	167272	1577	987	2435	1889	1482	569	1696	1375	2042	1167	1780	1634	2478	1566	1080	1628	1697	1842	1626	604	1191	2543	738	1345	2498	2312	1982	1446	1502	1504	1741	1440	1358	1488	965	1658	1201	2296	1618	860	1466	1654	1267	1584	1120	2048	1226	1605	1300	2197	1351	1623	1485	1596	1034	1112	864	803	1657	1585	1996	2090	2105	1181	1236	1316	1553	1818	1162	2341	1476	1673	1455	1314	1259	1129	846	2320	1213	1800	1924	2066	1827	1115	1285	1918	923	985	943	1945	1741	2422	1815	1148	2025	1896	1367	30	891	1736	1953	1857	23	1049	988	1547	602	444	1582	597	1869	1290	769					
