Выборы Президента Российской Федерации																																																																																																																																								
																																																																																																																																								
Наименование Избирательной комиссии:    Невельская судовая																																																																																																																																								
																																																																																																																																								
Итоги голосования 																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №483	УИК №484	УИК №485	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №596	УИК №597	УИК №598					
1	"Число избирателей, внесенных в список"	3315	20	14	83	84	22	85	52	16	87	25	28	10	20	20	34	16	17	31	15	19	17	15	28	19	16	27	20	20	20	36	21	11	30	11	49	17	19	30	33	22	15	22	16	85	19	20	12	16	18	26	25	55	36	55	62	19	21	16	25	26	23	18	25	20	24	21	9	19	29	15	17	15	20	27	28	16	11	25	25	20	18	23	25	25	25	28	19	26	23	18	17	15	22	24	17	30	29	31	33	31	28	19	18	29	30	27	28	30	18	11	30	35	19	27	29	30	17	91	15	8	16	12	11	11	6	8	29	29	20					
2	Число полученных избирательных бюллетеней	3319	20	14	87	84	22	85	52	16	87	25	28	10	20	20	34	16	17	31	15	19	17	15	28	19	16	27	20	20	20	36	21	11	30	11	49	17	19	30	33	22	15	22	16	85	19	20	12	16	18	26	25	55	36	55	62	19	21	16	25	26	23	18	25	20	24	21	9	19	29	15	17	15	20	27	28	16	11	25	25	20	18	23	25	25	25	28	19	26	23	18	17	15	22	24	17	30	29	31	33	31	28	19	18	29	30	27	28	30	18	11	30	35	19	27	29	30	17	91	15	8	16	12	11	11	6	8	29	29	20					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3298	20	14	83	80	22	85	52	16	87	25	28	10	20	20	34	16	17	31	15	19	17	15	28	19	16	27	20	20	20	36	21	11	30	11	49	17	19	30	33	21	9	18	16	85	19	20	12	16	18	26	25	55	36	55	62	19	21	16	25	26	23	18	25	20	24	21	9	19	29	15	17	15	20	27	28	16	11	25	25	18	18	23	25	25	25	28	19	26	23	18	17	15	22	24	17	30	29	31	33	31	28	19	18	29	30	27	28	30	18	11	30	35	19	27	29	30	17	91	15	8	16	12	11	11	6	8	29	29	20					
5	"Число избирательных бюллетеней, выданных вне помещения"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	21	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	3298	20	14	83	80	22	85	52	16	87	25	28	10	20	20	34	16	17	31	15	19	17	15	28	19	16	27	20	20	20	36	21	11	30	11	49	17	19	30	33	21	9	18	16	85	19	20	12	16	18	26	25	55	36	55	62	19	21	16	25	26	23	18	25	20	24	21	9	19	29	15	17	15	20	27	28	16	11	25	25	18	18	23	25	25	25	28	19	26	23	18	17	15	22	24	17	30	29	31	33	31	28	19	18	29	30	27	28	30	18	11	30	35	19	27	29	30	17	91	15	8	16	12	11	11	6	8	29	29	20					
9	Число недействительных избирательных бюллетеней	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	3291	20	14	83	80	22	85	52	16	87	25	28	8	20	20	34	16	17	31	15	19	17	15	28	19	16	27	20	20	20	36	21	11	30	11	49	17	19	30	33	21	9	18	16	85	19	20	12	16	18	24	25	55	36	55	62	19	21	16	25	26	22	18	25	20	24	21	9	19	29	15	17	15	20	27	28	16	11	25	24	18	18	23	25	25	25	28	19	26	23	18	17	15	22	24	17	30	29	31	32	31	28	19	18	29	30	27	28	30	18	11	30	35	19	27	29	30	17	91	15	8	16	12	11	11	6	8	29	29	20					
