Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
"Наименование Избирательной комиссии:    Красноярск, Железнодорожная"																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №2281									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67296	2114	2393	1215	1846	1634	1206	1762	1880	1994	2169	2002	2700	2017	2542	2799	2471	2109	1858	2116	2298	2457	2235	2674	2733	2326	2105	2278	2364	1085	2156	1505	2225	28									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	64500	2000	2000	1200	1700	1500	1200	1700	1700	1900	1900	1900	2500	2000	2400	2700	2400	2000	1800	2000	2200	2400	2200	2600	2700	2200	2000	2200	2300	1000	2000	1600	2200	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23171	475	734	501	727	612	449	787	794	650	654	755	950	584	733	688	609	714	609	780	831	763	816	905	865	827	757	894	780	238	730	1068	864	28									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	882	12	42	11	21	19	6	9	12	14	8	15	14	18	53	25	10	20	13	10	6	20	9	8	7	9	12	10	10	8	8	437	6	0									
6	Число погашенных избирательных бюллетеней	40447	1513	1224	688	952	869	745	904	894	1236	1238	1130	1536	1398	1614	1987	1781	1266	1178	1210	1363	1617	1375	1687	1828	1364	1231	1296	1510	754	1262	95	1330	372									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	881	12	41	11	21	19	6	9	12	14	8	15	14	18	53	25	10	20	13	10	6	20	9	8	7	9	12	10	10	8	8	437	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23058	474	734	501	726	609	449	786	769	648	646	755	949	584	733	688	608	714	608	780	830	762	816	904	864	827	757	829	780	238	730	1068	864	28									
9	Число недействительных избирательных бюллетеней	777	5	29	12	20	16	11	41	20	23	20	26	35	18	24	24	19	22	22	29	14	23	33	23	12	16	18	41	24	3	44	87	23	0									
10	Число действительных избирательных бюллетеней	23162	481	746	500	727	612	444	754	761	639	634	744	928	584	762	689	599	712	599	761	822	759	792	889	859	820	751	798	766	243	694	1418	847	28									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2315	75	80	45	65	60	45	65	65	70	70	70	95	70	90	95	90	75	65	75	80	85	80	95	95	80	75	80	85	40	75	0	80	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	479	9	18	11	15	14	16	19	11	12	10	25	22	17	14	22	17	17	15	14	22	16	20	19	22	13	19	14	7	2	14	0	13	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	386	8	17	10	10	23	8	10	12	8	14	17	12	13	13	12	12	5	6	9	14	8	7	7	4	11	4	4	19	7	8	13	33	28									
14	Число погашенных неиспользованных открепительных удостоверений	1836	66	62	34	50	46	29	46	54	58	60	45	73	53	76	73	73	58	50	61	58	69	60	76	73	67	56	66	78	38	61	0	67	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	7	1	5	0	3	1	1	2	3	2	1	2	0	1	2	1	0	0	0	1	0	0	2	0	1	1	3	5	1	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	579	15	15	8	18	11	11	21	15	19	18	20	27	9	13	11	13	25	15	26	14	23	12	28	31	35	17	21	13	6	16	35	18	0									
		2.42%	3.09%	1.94%	1.56%	2.41%	1.75%	2.42%	2.64%	1.92%	2.87%	2.75%	2.60%	2.80%	1.50%	1.65%	1.54%	2.10%	3.41%	2.42%	3.29%	1.67%	2.94%	1.45%	3.07%	3.56%	4.19%	2.21%	2.50%	1.65%	2.44%	2.17%	2.33%	2.07%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	630	14	23	9	32	19	17	18	18	15	14	19	30	18	28	19	15	23	17	21	25	18	26	25	28	23	19	16	19	4	23	25	10	0									
		2.63%	2.88%	2.97%	1.76%	4.28%	3.03%	3.74%	2.26%	2.30%	2.27%	2.14%	2.47%	3.12%	2.99%	3.56%	2.66%	2.43%	3.13%	2.74%	2.66%	2.99%	2.30%	3.15%	2.74%	3.21%	2.75%	2.47%	1.91%	2.41%	1.63%	3.12%	1.66%	1.15%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	484	4	22	12	22	12	6	16	12	15	20	27	19	18	20	11	11	12	6	14	17	26	14	10	12	11	21	21	13	6	21	21	12	0									
		2.02%	0.82%	2.84%	2.34%	2.95%	1.91%	1.32%	2.01%	1.54%	2.27%	3.06%	3.51%	1.97%	2.99%	2.54%	1.54%	1.78%	1.63%	0.97%	1.77%	2.03%	3.32%	1.70%	1.10%	1.38%	1.32%	2.73%	2.50%	1.65%	2.44%	2.85%	1.40%	1.38%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8038	196	261	198	247	206	153	259	260	208	231	227	314	216	265	249	202	226	204	242	268	281	270	315	282	256	271	292	252	97	265	493	324	8									
		33.58%	40.33%	33.68%	38.67%	33.07%	32.80%	33.63%	32.58%	33.29%	31.42%	35.32%	29.48%	32.61%	35.88%	33.72%	34.92%	32.69%	30.79%	32.85%	30.63%	32.06%	35.93%	32.73%	34.54%	32.38%	30.62%	35.24%	34.80%	31.90%	39.43%	35.91%	32.76%	37.24%	28.57%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	486	10	13	9	16	16	7	10	20	21	11	20	16	12	9	13	8	17	12	10	16	13	17	20	24	26	23	18	19	3	10	24	23	0									
		2.03%	2.06%	1.68%	1.76%	2.14%	2.55%	1.54%	1.26%	2.56%	3.17%	1.68%	2.60%	1.66%	1.99%	1.15%	1.82%	1.29%	2.32%	1.93%	1.27%	1.91%	1.66%	2.06%	2.19%	2.76%	3.11%	2.99%	2.15%	2.41%	1.22%	1.36%	1.59%	2.64%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	66	2	5	2	2	0	2	1	2	2	1	2	4	1	1	0	2	2	2	4	2	0	4	2	3	1	2	1	1	2	1	9	1	0									
		0.28%	0.41%	0.65%	0.39%	0.27%	0.00%	0.44%	0.13%	0.26%	0.30%	0.15%	0.26%	0.42%	0.17%	0.13%	0.00%	0.32%	0.27%	0.32%	0.51%	0.24%	0.00%	0.48%	0.22%	0.34%	0.12%	0.26%	0.12%	0.13%	0.81%	0.14%	0.60%	0.11%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3625	65	164	42	81	80	61	86	82	86	93	105	143	83	138	150	108	107	94	129	101	110	112	113	128	107	94	90	105	55	91	516	99	7									
		15.14%	13.37%	21.16%	8.20%	10.84%	12.74%	13.41%	10.82%	10.50%	12.99%	14.22%	13.64%	14.85%	13.79%	17.56%	21.04%	17.48%	14.58%	15.14%	16.33%	12.08%	14.07%	13.58%	12.39%	14.70%	12.80%	12.22%	10.73%	13.29%	22.36%	12.33%	34.29%	11.38%	25.00%									
