Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    район Теплый Стан																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	83761	1982	1955	2110	2177	1874	2203	2041	1980	2022	2060	2162	452	2424	2135	1947	2095	2017	1993	2189	1944	2033	1984	1703	1977	2017	1845	2117	1698	1865	2789	2083	2393	1923	1282	1954	2095	2183	2032	1988	2441	2287	562	189	559									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65730	1500	1500	1500	2000	1500	2000	1500	1500	1500	1500	1500	400	2000	1500	1500	1500	1500	1500	2000	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	2000	1500	2000	1500	1000	1500	1500	2000	1500	1500	2000	2000	580	200	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28713	762	660	683	778	595	832	629	666	700	657	699	153	714	715	659	711	591	617	747	595	718	602	428	646	653	688	704	644	604	907	755	845	691	456	770	712	714	777	770	734	757	504	97	374									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1076	23	28	35	21	9	17	21	24	21	18	22	7	23	19	19	16	17	27	23	23	14	26	21	10	27	11	9	35	14	38	16	17	16	8	17	23	14	21	25	11	20	32	82	156									
6	Число погашенных избирательных бюллетеней	35941	715	812	782	1201	896	1151	850	810	779	825	779	240	1263	766	822	773	892	856	1230	882	768	872	1051	844	820	801	787	821	882	1055	729	1138	793	536	713	765	1272	702	705	1255	1223	44	21	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1075	23	28	35	21	9	17	21	24	20	18	22	7	23	19	19	16	17	27	23	23	14	26	21	10	27	11	9	35	14	38	16	17	16	8	17	23	14	21	25	11	20	32	82	156									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28556	762	660	648	778	595	832	611	666	694	657	696	153	709	696	659	710	590	604	747	595	718	598	427	631	651	687	704	638	604	904	755	837	688	456	768	712	714	777	762	731	757	504	97	374									
9	Число недействительных избирательных бюллетеней	493	10	9	4	13	9	10	11	13	13	10	10	3	11	13	5	11	11	0	14	16	11	17	10	16	5	7	12	6	13	18	16	19	8	4	9	7	15	19	19	14	12	7	0	33									
10	Число действительных избирательных бюллетеней	29138	775	679	679	786	595	839	621	677	701	665	708	157	721	702	673	715	596	631	756	602	721	607	438	625	673	691	701	667	605	924	755	835	696	460	776	728	713	779	768	728	765	529	179	497									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	840	20	10	20	20	20	20	20	10	20	10	20	10	20	20	20	20	10	20	20	20	20	30	20	20	20	20	20	20	20	30	30	20	20	10	20	30	20	20	30	20	20	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	527	14	5	14	12	10	16	14	8	8	8	11	2	14	13	14	9	5	13	11	14	12	23	12	13	9	14	9	17	15	20	23	16	8	6	14	23	17	16	20	9	11	1	2	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	646	8	3	12	4	15	2	2	0	9	26	29	14	5	5	10	4	7	2	7	5	10	2	18	6	7	6	11	8	12	5	11	8	7	50	5	5	21	3	15	12	33	42	32	148									
14	Число погашенных неиспользованных открепительных удостоверений	313	6	5	6	8	10	4	6	2	12	2	9	8	6	7	6	11	5	7	9	6	8	7	8	7	11	6	11	3	5	10	7	4	12	4	6	7	3	4	10	11	9	9	8	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	49	3	4	3	1	4	0	1	3	1	0	1	0	2	1	3	2	0	1	4	0	1	0	1	0	2	1	2	0	1	0	1	0	1	0	0	0	2	0	2	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1123	33	21	40	49	31	40	18	25	23	34	19	5	25	26	28	30	22	20	31	24	32	21	11	21	22	32	33	41	17	36	17	40	22	12	27	33	20	35	38	28	29	4	0	8									
		3.79%	4.20%	3.05%	5.86%	6.13%	5.13%	4.71%	2.85%	3.62%	3.22%	5.04%	2.65%	3.13%	3.42%	3.64%	4.13%	4.13%	3.62%	3.17%	4.03%	3.88%	4.37%	3.37%	2.46%	3.28%	3.24%	4.58%	4.63%	6.09%	2.75%	3.82%	2.20%	4.68%	3.13%	2.59%	3.44%	4.49%	2.75%	4.39%	4.83%	3.77%	3.73%	0.75%	0.00%	1.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	708	21	16	13	20	18	14	19	20	21	14	19	3	27	10	13	16	10	14	14	10	11	13	8	16	10	13	11	13	25	16	99	15	12	11	14	17	13	15	15	10	14	8	2	15									
		2.39%	2.68%	2.33%	1.90%	2.50%	2.98%	1.65%	3.01%	2.90%	2.94%	2.07%	2.65%	1.88%	3.69%	1.40%	1.92%	2.20%	1.65%	2.22%	1.82%	1.62%	1.50%	2.08%	1.79%	2.50%	1.47%	1.86%	1.54%	1.93%	4.05%	1.70%	12.84%	1.76%	1.70%	2.37%	1.78%	2.31%	1.79%	1.88%	1.91%	1.35%	1.80%	1.49%	1.12%	2.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	938	23	26	24	28	18	38	18	28	13	25	31	3	16	23	21	22	20	22	21	17	32	30	13	21	18	19	27	20	24	27	21	23	18	15	30	25	18	29	24	24	28	6	2	7									
		3.17%	2.93%	3.78%	3.51%	3.50%	2.98%	4.48%	2.85%	4.06%	1.82%	3.70%	4.32%	1.88%	2.19%	3.22%	3.10%	3.03%	3.29%	3.49%	2.73%	2.75%	4.37%	4.81%	2.90%	3.28%	2.65%	2.72%	3.79%	2.97%	3.88%	2.87%	2.72%	2.69%	2.56%	3.23%	3.82%	3.40%	2.47%	3.63%	3.05%	3.23%	3.60%	1.12%	1.12%	1.32%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10026	213	223	228	198	160	251	154	224	221	229	239	43	259	219	208	249	242	214	222	220	253	202	161	250	224	224	203	223	247	309	271	261	243	156	249	234	213	242	209	249	231	422	162	372									
		33.84%	27.13%	32.41%	33.38%	24.78%	26.49%	29.56%	24.37%	32.46%	30.95%	33.93%	33.29%	26.88%	35.38%	30.63%	30.68%	34.30%	39.87%	33.91%	28.83%	35.60%	34.56%	32.37%	35.94%	39.00%	33.04%	32.09%	28.47%	33.14%	39.97%	32.80%	35.15%	30.56%	34.52%	33.62%	31.72%	31.84%	29.26%	30.33%	26.56%	33.56%	29.73%	78.73%	90.50%	70.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	573	14	15	12	21	9	25	17	17	10	12	14	2	6	17	13	7	11	15	12	12	15	12	11	12	17	12	20	18	6	24	14	14	15	9	15	16	22	12	9	13	19	5	0	2									
		1.93%	1.78%	2.18%	1.76%	2.63%	1.49%	2.94%	2.69%	2.46%	1.40%	1.78%	1.95%	1.25%	0.82%	2.38%	1.92%	0.96%	1.81%	2.38%	1.56%	1.94%	2.05%	1.92%	2.46%	1.87%	2.51%	1.72%	2.81%	2.67%	0.97%	2.55%	1.82%	1.64%	2.13%	1.94%	1.91%	2.18%	3.02%	1.50%	1.14%	1.75%	2.45%	0.93%	0.00%	0.38%									
24	"6. Политическая партия ""Гражданская Платформа"""	101	6	1	3	1	1	3	6	0	2	1	3	1	0	2	3	1	0	2	3	2	1	2	1	3	3	1	5	1	0	1	5	6	4	1	5	0	4	3	3	4	3	2	0	2									
		0.34%	0.76%	0.15%	0.44%	0.13%	0.17%	0.35%	0.95%	0.00%	0.28%	0.15%	0.42%	0.63%	0.00%	0.28%	0.44%	0.14%	0.00%	0.32%	0.39%	0.32%	0.14%	0.32%	0.22%	0.47%	0.44%	0.14%	0.70%	0.15%	0.00%	0.11%	0.65%	0.70%	0.57%	0.22%	0.64%	0.00%	0.55%	0.38%	0.38%	0.54%	0.39%	0.37%	0.00%	0.38%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3206	67	72	68	96	66	83	67	72	63	103	91	20	115	116	57	93	96	86	87	99	74	63	50	95	78	60	79	61	72	75	77	105	74	44	65	91	71	69	72	83	75	18	5	33									
		10.82%	8.54%	10.47%	9.96%	12.02%	10.93%	9.78%	10.60%	10.43%	8.82%	15.26%	12.67%	12.50%	15.71%	16.22%	8.41%	12.81%	15.82%	13.63%	11.30%	16.02%	10.11%	10.10%	11.16%	14.82%	11.50%	8.60%	11.08%	9.06%	11.65%	7.96%	9.99%	12.30%	10.51%	9.48%	8.28%	12.38%	9.75%	8.65%	9.15%	11.19%	9.65%	3.36%	2.79%	6.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	964	27	25	33	28	30	36	30	26	28	20	20	4	19	18	23	22	13	22	32	12	26	16	18	20	22	27	30	22	14	26	31	26	23	20	21	16	30	25	21	21	35	0	0	6									
		3.25%	3.44%	3.63%	4.83%	3.50%	4.97%	4.24%	4.75%	3.77%	3.92%	2.96%	2.79%	2.50%	2.60%	2.52%	3.39%	3.03%	2.14%	3.49%	4.16%	1.94%	3.55%	2.56%	4.02%	3.12%	3.24%	3.87%	4.21%	3.27%	2.27%	2.76%	4.02%	3.04%	3.27%	4.31%	2.68%	2.18%	4.12%	3.13%	2.67%	2.83%	4.50%	0.00%	0.00%	1.13%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1167	30	29	23	32	21	55	26	23	43	15	22	8	26	25	32	21	20	26	29	25	18	17	16	18	16	25	43	17	16	58	27	26	26	37	37	31	47	28	47	29	50	3	1	3									
		3.94%	3.82%	4.22%	3.37%	4.01%	3.48%	6.48%	4.11%	3.33%	6.02%	2.22%	3.06%	5.00%	3.55%	3.50%	4.72%	2.89%	3.29%	4.12%	3.77%	4.05%	2.46%	2.72%	3.57%	2.81%	2.36%	3.58%	6.03%	2.53%	2.59%	6.16%	3.50%	3.04%	3.69%	7.97%	4.71%	4.22%	6.46%	3.51%	5.97%	3.91%	6.44%	0.56%	0.56%	0.57%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	98	2	1	3	0	2	39	3	2	0	2	2	2	1	0	3	3	0	1	4	1	4	2	1	0	2	1	2	0	1	2	1	0	0	1	2	3	0	1	0	1	2	0	0	1									
		0.33%	0.25%	0.15%	0.44%	0.00%	0.33%	4.59%	0.47%	0.29%	0.00%	0.30%	0.28%	1.25%	0.14%	0.00%	0.44%	0.41%	0.00%	0.16%	0.52%	0.16%	0.55%	0.32%	0.22%	0.00%	0.29%	0.14%	0.28%	0.00%	0.16%	0.21%	0.13%	0.00%	0.00%	0.22%	0.25%	0.41%	0.00%	0.13%	0.00%	0.13%	0.26%	0.00%	0.00%	0.19%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3470	148	96	88	104	76	61	90	94	95	65	73	21	89	70	95	70	51	53	80	53	92	62	39	30	92	88	124	91	41	131	104	105	86	81	105	74	108	107	122	95	98	16	0	7									
		11.71%	18.85%	13.95%	12.88%	13.02%	12.58%	7.18%	14.24%	13.62%	13.31%	9.63%	10.17%	13.13%	12.16%	9.79%	14.01%	9.64%	8.40%	8.40%	10.39%	8.58%	12.57%	9.94%	8.71%	4.68%	13.57%	12.61%	17.39%	13.52%	6.63%	13.91%	13.49%	12.30%	12.22%	17.46%	13.38%	10.07%	14.84%	13.41%	15.50%	12.80%	12.61%	2.99%	0.00%	1.32%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4338	125	105	95	147	122	129	123	105	134	101	124	27	80	105	133	129	73	86	132	75	101	89	66	87	112	114	85	94	88	132	16	124	96	53	132	121	94	143	131	115	126	36	6	27									
		14.64%	15.92%	15.26%	13.91%	18.40%	20.20%	15.19%	19.46%	15.22%	18.77%	14.96%	17.27%	16.88%	10.93%	14.69%	19.62%	17.77%	12.03%	13.63%	17.14%	12.14%	13.80%	14.26%	14.73%	13.57%	16.52%	16.33%	11.92%	13.97%	14.24%	14.01%	2.08%	14.52%	13.64%	11.42%	16.82%	16.46%	12.91%	17.92%	16.65%	15.50%	16.22%	6.72%	3.35%	5.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	194	3	4	4	4	1	17	2	5	2	6	6	1	7	6	0	4	1	5	7	2	6	1	5	4	4	10	3	8	3	5	4	7	1	0	7	6	8	5	5	10	3	2	0	0									
		0.65%	0.38%	0.58%	0.59%	0.50%	0.17%	2.00%	0.32%	0.72%	0.28%	0.89%	0.84%	0.63%	0.96%	0.84%	0.00%	0.55%	0.16%	0.79%	0.91%	0.32%	0.82%	0.16%	1.12%	0.62%	0.59%	1.43%	0.42%	1.19%	0.49%	0.53%	0.52%	0.82%	0.14%	0.00%	0.89%	0.82%	1.10%	0.63%	0.64%	1.35%	0.39%	0.37%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2232	63	45	45	58	40	48	48	36	46	38	45	17	51	65	44	48	37	65	82	50	56	77	38	48	53	65	36	58	51	82	68	83	76	20	67	61	65	65	72	46	52	7	1	14									
		7.53%	8.03%	6.54%	6.59%	7.26%	6.62%	5.65%	7.59%	5.22%	6.44%	5.63%	6.27%	10.63%	6.97%	9.09%	6.49%	6.61%	6.10%	10.30%	10.65%	8.09%	7.65%	12.34%	8.48%	7.49%	7.82%	9.31%	5.05%	8.62%	8.25%	8.70%	8.82%	9.72%	10.80%	4.31%	8.54%	8.30%	8.93%	8.15%	9.15%	6.20%	6.69%	1.31%	0.56%	2.64%									
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
																																																							
