Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Качугская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759					
1	"Число избирателей, внесенных в списки"	14172	1182	1305	330	845	420	293	871	674	480	64	125	154	50	161	77	189	752	83	331	133	139	94	748	121	169	169	119	154	566	201	324	78	121	45	328	188	266	169	186	656	137	171	133	135	236					
2	"Число бюллетеней, полученных участковыми комиссиями"	14561	1168	1290	336	895	422	299	871	717	489	85	128	149	52	175	75	191	766	80	346	133	135	100	770	114	160	166	120	156	586	211	329	73	130	48	355	210	261	164	185	682	241	170	143	147	238					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7481	485	558	145	376	166	103	320	244	246	52	91	104	41	112	61	97	507	44	196	78	74	48	370	68	82	107	97	127	353	109	199	68	71	28	216	96	191	120	120	275	121	120	97	108	190					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	557	39	59	3	25	17	15	23	16	27	12	5	8	0	3	1	18	33	9	19	0	1	23	60	0	21	7	0	12	4	10	11	0	0	0	6	1	0	0	7	19	16	8	13	4	2					
6	Число погашенных бюллетеней	6523	644	673	188	494	239	181	528	457	216	21	32	37	11	60	13	76	226	27	131	55	60	29	340	46	57	52	23	17	229	92	119	5	59	20	133	113	70	44	58	388	104	42	33	35	46					
7	Число бюллетеней в переносных ящиках для голосования	557	39	59	3	25	17	15	23	16	27	12	5	8	0	3	1	18	33	9	19	0	1	23	60	0	21	7	0	12	4	10	11	0	0	0	6	1	0	0	7	19	16	8	13	4	2					
8	Число бюллетеней в стационарных ящиках для голосования	7481	485	558	145	376	166	103	320	244	246	52	91	104	41	112	61	97	507	44	196	78	74	48	370	68	82	107	97	127	353	109	199	68	71	28	216	96	191	120	120	275	121	120	97	108	190					
9	Число недействительных бюллетеней	145	18	4	4	7	6	4	5	6	6	2	1	2	1	6	1	0	13	1	3	2	1	0	12	3	0	3	2	2	3	1	2	2	2	0	0	0	0	0	3	4	2	8	2	1	0					
10	Число действительных бюллетеней	7893	506	613	144	394	177	114	338	254	267	62	95	110	40	109	61	115	527	52	212	76	74	71	418	65	103	111	95	137	354	118	208	66	69	28	222	97	191	120	124	290	135	120	108	111	192					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	243	35	30	5	13	5	5	10	10	5	5	5	5	2	5	2	5	5	2	5	2	2	2	5	2	2	2	2	2	5	5	5	2	2	2	5	5	2	2	2	8	5	5	2	2	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	12	26	2	11	2	2	6	8	4	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	8	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	5	2	2	1	3	0	1	1	0	0	1	2	2	3	4	4	2	3	0	4	1	3	3	4	2	3	4	2	0	1	2	2	0	0	1	0	0	2	0	0	3	0	0	1	2					
14	Число погашенных открепительных удостоверений	154	23	4	3	2	3	3	4	2	1	4	5	5	2	5	1	5	5	2	5	2	2	2	3	2	2	2	2	2	5	5	2	2	2	2	5	5	1	2	2	0	5	5	2	2	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																				
18	"1. ""ЕДИНЕНИЕ"""	148	11	10	3	7	2	2	3	6	1	0	5	2	0	6	7	2	16	1	4	4	1	1	3	0	1	5	0	1	6	1	1	0	4	0	6	0	3	1	3	5	3	3	5	3	0					
		1.84%	2.09%	1.62%	2.02%	1.74%	1.09%	1.69%	0.87%	2.30%	0.36%	0.0%	5.20%	1.78%	0.0%	5.21%	11.29%	1.73%	2.96%	1.88%	1.86%	5.12%	1.33%	1.40%	0.69%	0.0%	0.97%	4.38%	0.0%	0.71%	1.68%	0.84%	0.47%	0.0%	5.63%	0.0%	2.70%	0.0%	1.57%	0.83%	2.36%	1.70%	2.18%	2.34%	4.54%	2.67%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	64	4	11	1	2	3	1	2	2	4	0	0	0	1	0	0	1	2	2	0	1	1	1	2	1	0	1	0	0	0	0	1	0	2	1	1	1	4	0	2	4	0	1	0	1	3					
		0.79%	0.76%	1.78%	0.67%	0.49%	1.63%	0.84%	0.58%	0.76%	1.46%	0.0%	0.0%	0.0%	2.43%	0.0%	0.0%	0.86%	0.37%	3.77%	0.0%	1.28%	1.33%	1.40%	0.46%	1.47%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	2.81%	3.57%	0.45%	1.03%	2.09%	0.0%	1.57%	1.36%	0.0%	0.78%	0.0%	0.89%	1.56%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	182	17	10	4	10	5	2	7	6	2	1	0	2	0	0	0	6	10	4	2	1	1	2	11	0	3	5	4	7	6	4	9	0	2	0	7	4	9	1	1	8	2	1	2	1	3					
		2.26%	3.24%	1.62%	2.70%	2.49%	2.73%	1.69%	2.04%	2.30%	0.73%	1.56%	0.0%	1.78%	0.0%	0.0%	0.0%	5.21%	1.85%	7.54%	0.93%	1.28%	1.33%	2.81%	2.55%	0.0%	2.91%	4.38%	4.12%	5.03%	1.68%	3.36%	4.28%	0.0%	2.81%	0.0%	3.15%	4.12%	4.71%	0.83%	0.78%	2.72%	1.45%	0.78%	1.81%	0.89%	1.56%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	97	9	6	2	6	3	3	10	7	4	3	2	0	0	2	0	1	5	0	5	1	0	0	2	0	0	2	0	2	1	1	5	0	1	0	3	0	0	0	5	1	2	0	1	1	1					
		1.20%	1.71%	0.97%	1.35%	1.49%	1.63%	2.54%	2.91%	2.69%	1.46%	4.68%	2.08%	0.0%	0.0%	1.73%	0.0%	0.86%	0.92%	0.0%	2.32%	1.28%	0.0%	0.0%	0.46%	0.0%	0.0%	1.75%	0.0%	1.43%	0.28%	0.84%	2.38%	0.0%	1.40%	0.0%	1.35%	0.0%	0.0%	0.0%	3.93%	0.34%	1.45%	0.0%	0.90%	0.89%	0.52%					
22	"5. ""За Русь Святую"""	28	7	2	1	3	0	0	1	1	0	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1					
		0.34%	1.33%	0.32%	0.67%	0.74%	0.0%	0.0%	0.29%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.37%	1.88%	0.46%	0.0%	0.0%	0.0%	0.23%	0.0%	0.97%	0.0%	0.0%	0.0%	0.0%	0.84%	0.47%	0.0%	0.0%	0.0%	0.0%	1.03%	0.0%	0.83%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.52%					
