Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Павловская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42634	1291	1431	1443	899	1443	1931	1961	1195	1952	345	1251	2466	1247	1582	500	295	1002	1033	849	993	1000	708	292	1468	569	465	1074	253	103	543	499	704	927	852	863	409	277	539	241	1384	425	253	664	272	1028	318	598	797									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42765	1280	1450	1450	900	1300	1950	1760	1200	1950	360	1250	2400	1250	1600	510	320	1020	1040	850	1000	1000	740	320	1500	600	470	1100	265	105	560	520	700	930	860	880	410	275	545	240	1430	430	260	665	275	1060	355	630	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	16517	527	517	529	311	440	772	542	454	801	158	484	926	473	559	219	122	410	287	276	361	275	218	192	606	280	223	421	115	44	282	160	220	461	316	314	112	100	175	117	582	144	140	406	116	561	145	287	337									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5147	55	50	82	32	57	119	219	16	35	17	42	62	52	202	60	90	131	204	184	152	161	156	19	189	165	66	149	55	13	38	109	220	88	97	123	186	100	216	96	208	71	101	123	90	240	31	137	39									
6	Число погашенных избирательных бюллетеней	21101	698	883	839	557	803	1059	999	730	1114	185	724	1412	725	839	231	108	479	549	390	487	564	366	109	705	155	181	530	95	48	240	251	260	381	447	443	112	75	154	27	640	215	19	136	69	259	179	206	424									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5147	55	50	82	32	57	119	219	16	35	17	42	62	52	202	60	90	131	204	184	152	161	156	19	189	165	66	149	55	13	38	109	220	88	97	123	186	100	216	96	208	71	101	123	90	240	31	137	39									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	16517	527	517	529	311	440	772	542	454	801	158	484	926	473	559	219	122	410	287	276	361	275	218	192	606	280	223	421	115	44	282	160	220	461	316	314	112	100	175	117	582	144	140	406	116	561	145	287	337									
9	Число недействительных избирательных бюллетеней	293	6	8	8	6	8	10	16	19	14	5	14	34	2	10	1	6	10	2	4	6	5	7	8	6	6	3	5	6	1	1	1	1	5	0	0	2	3	1	0	12	2	4	5	1	8	2	3	6									
10	Число действительных избирательных бюллетеней	21371	576	559	603	337	489	881	745	451	822	170	512	954	523	751	278	206	531	489	456	507	431	367	203	789	439	286	565	164	56	319	268	439	544	413	437	296	197	390	213	778	213	237	524	205	793	174	421	370									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	824	15	15	15	15	15	15	15	15	15	15	15	15	15	30	15	15	15	15	15	15	15	44	25	35	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	25	25	25	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	518	5	8	11	4	4	6	2	8	8	15	7	8	5	30	15	15	15	7	4	8	5	38	25	35	15	7	15	15	3	14	15	2	15	4	15	0	0	0	3	15	3	7	1	0	25	25	25	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	136	5	0	5	4	6	4	5	7	3	0	10	19	1	4	2	3	3	1	0	3	1	2	1	3	1	3	4	2	1	0	0	3	1	1	3	1	0	2	1	2	1	1	3	0	3	3	3	5									
14	Число погашенных неиспользованных открепительных удостоверений	306	10	7	4	11	11	9	13	7	7	0	8	7	10	0	0	0	0	8	11	7	10	6	0	0	0	8	0	0	12	1	0	13	0	11	0	15	15	15	12	0	12	8	14	15	0	0	0	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	1	1	2	1	0	4	5	3	3	0	1	5	2	0	0	0	1	1	0	3	2	0	0	0	7	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	2	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	206	10	7	9	2	8	12	5	13	11	2	1	28	4	5	2	0	6	9	3	9	3	2	2	8	3	3	5	1	0	5	0	0	0	0	2	0	0	0	0	4	0	0	1	0	1	5	4	11									
		0.95%	1.72%	1.23%	1.47%	0.58%	1.61%	1.35%	0.66%	2.77%	1.32%	1.14%	0.19%	2.83%	0.76%	0.66%	0.72%	0.00%	1.11%	1.83%	0.65%	1.75%	0.69%	0.53%	0.95%	1.01%	0.67%	1.04%	0.88%	0.59%	0.00%	1.56%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.19%	0.00%	0.12%	2.84%	0.94%	2.93%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	701	20	27	18	7	18	32	15	23	37	6	8	39	22	20	10	5	23	13	18	16	5	14	4	33	10	16	37	5	7	10	9	0	17	14	9	4	7	5	0	41	13	5	8	0	24	5	11	11									
		3.24%	3.44%	4.76%	2.95%	2.04%	3.62%	3.59%	1.97%	4.89%	4.43%	3.43%	1.52%	3.95%	4.19%	2.63%	3.58%	2.36%	4.25%	2.65%	3.91%	3.12%	1.15%	3.74%	1.90%	4.15%	2.25%	5.54%	6.49%	2.94%	12.28%	3.13%	3.35%	0.00%	3.10%	3.39%	2.06%	1.34%	3.50%	1.28%	0.00%	5.19%	6.05%	2.07%	1.51%	0.00%	2.99%	2.84%	2.59%	2.93%									
