Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Целинная																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781					
1	"Число избирателей, внесенных в список избирателей"	14116	2082	1102	1457	521	352	1020	678	1257	753	542	100	877	646	119	346	700	137	532	504	216	175					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14300	2065	1150	1500	535	365	1000	690	1280	765	545	100	895	660	120	350	720	130	535	500	220	175					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7342	966	529	693	289	189	687	398	645	430	277	55	389	351	80	172	364	85	268	258	116	101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	833	129	44	70	31	17	86	30	78	44	26	10	76	34	7	15	48	13	15	30	20	10					
6	Число погашенных избирательных бюллетеней	6125	970	577	737	215	159	227	262	557	291	242	35	430	275	33	163	308	32	252	212	84	64					
7	Число избирательных бюллетеней в переносных ящиках для голосования	833	129	44	70	31	17	86	30	78	44	26	10	76	34	7	15	48	13	15	30	20	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7339	966	529	693	289	189	687	398	645	430	277	55	386	351	80	172	364	85	268	258	116	101					
9	Число недействительных избирательных бюллетеней	178	12	14	17	6	6	20	12	18	6	10	0	10	8	2	4	4	5	12	4	0	8					
10	Число действительных избирательных бюллетеней	7994	1083	559	746	314	200	753	416	705	468	293	65	452	377	85	183	408	93	271	284	136	103					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	124	22	19	17	2	2	8	8	5	6	2	2	4	4	2	3	4	2	4	4	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	90	22	18	17	0	0	5	5	2	6	1	0	2	1	0	1	4	0	0	3	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	2	5	2	1	1	5	5	6	4	4	2	1	4	1	1	5	5	5	7	2	3					
14	Число погашенных неиспользованных открепительных удостоверений	34	0	1	0	2	2	3	3	3	0	1	2	2	3	2	2	0	2	4	1	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	813	141	69	90	29	10	40	67	49	71	24	8	41	34	8	14	31	9	22	25	23	8					
		9.95%	12.88%	12.04%	11.80%	9.06%	4.85%	5.17%	15.65%	6.78%	14.98%	7.92%	12.31%	8.87%	8.83%	9.20%	7.49%	7.52%	9.18%	7.77%	8.68%	16.91%	7.21%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1091	130	73	114	44	35	62	42	139	71	46	14	58	45	8	20	47	12	38	61	15	17					
		13.35%	11.87%	12.74%	14.94%	13.75%	16.99%	8.02%	9.81%	19.23%	14.98%	15.18%	21.54%	12.55%	11.69%	9.20%	10.70%	11.41%	12.24%	13.43%	21.18%	11.03%	15.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	68	8	6	5	1	2	6	4	2	4	5	2	3	2	2	4	3	3	1	5	0	0					
		0.83%	0.73%	1.05%	0.66%	0.31%	0.97%	0.78%	0.93%	0.28%	0.84%	1.65%	3.08%	0.65%	0.52%	2.30%	2.14%	0.73%	3.06%	0.35%	1.74%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2208	327	150	235	76	67	91	167	199	178	60	15	125	106	27	49	125	27	58	73	32	21					
		27.02%	29.86%	26.18%	30.80%	23.75%	32.52%	11.77%	39.02%	27.52%	37.55%	19.80%	23.08%	27.06%	27.53%	31.03%	26.20%	30.34%	27.55%	20.49%	25.35%	23.53%	18.92%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	77	8	6	10	3	2	2	3	10	5	7	0	5	6	0	0	5	0	4	1	0	0					
		0.94%	0.73%	1.05%	1.31%	0.94%	0.97%	0.26%	0.70%	1.38%	1.05%	2.31%	0.00%	1.08%	1.56%	0.00%	0.00%	1.21%	0.00%	1.41%	0.35%	0.00%	0.00%					
