Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ивдельская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  1802	УИК  1803	УИК  1804	УИК  1805	УИК  1806	УИК  1807	УИК  1808	УИК  1809	УИК  1810	УИК  1811	УИК  1812	УИК  1813	УИК  1814	УИК  1815	УИК  1816	УИК  1817	УИК  1818	УИК  1819	УИК  1820	УИК  1821	УИК  1822					
1	"Число избирателей, внесенных в список"	16164	1307	607	1905	1493	329	344	2219	1473	894	1937	186	159	138	227	536	77	280	455	476	1072	50					
2	Число полученных избирательных бюллетеней	15994	1320	589	1829	1440	330	338	2179	1490	900	1920	190	170	140	250	529	80	280	450	470	1050	50					
3	"Число избирательных бюллетеней, выданных  досрочно"	42	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9010	743	354	1097	716	168	193	1168	903	485	1021	127	103	95	124	343	65	194	272	237	570	32					
5	"Число избирательных бюллетеней, выданных вне помещения"	673	34	31	52	84	7	3	127	66	43	70	0	0	0	4	0	0	2	31	62	53	4					
6	Число погашенных избирательных бюллетеней	6269	543	204	680	640	155	142	884	521	372	829	63	67	45	80	186	15	84	147	171	427	14					
7	Число избирательных бюллетеней в переносных ящиках	715	34	31	52	84	7	3	127	66	43	70	0	0	0	46	0	0	2	31	62	53	4					
8	Число бюллетеней в стационарных ящиках для голосования	9003	743	354	1097	716	168	191	1168	902	485	1017	127	103	95	124	343	65	194	272	237	570	32					
9	Число недействительных избирательных бюллетеней	112	9	5	15	10	2	6	12	13	1	14	0	0	0	1	7	1	3	5	4	4	0					
10	Число действительных избирательных бюллетеней	9606	768	380	1134	790	173	188	1283	955	527	1073	127	103	95	169	336	64	193	298	295	619	36					
11	Число полученных открепительных  удостоверений	275	25	10	30	20	10	5	30	25	10	30	5	5	5	5	5	5	5	10	10	20	5					
12	Число выданных открепительных удостоверений	58	11	3	10	4	0	4	4	12	3	3	1	1	0	0	0	1	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	3	0	4	2	1	0	0	0	4	1	0	0	0	0	1	0	0	4	0	0	0					
14	Число неиспользованных открепительных удостоверений	217	14	7	20	16	10	1	26	13	7	27	4	4	5	5	5	4	5	10	10	19	5					
15	"Число открепительных удостоверений, выданных в ТИК"	10	2	0	2	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	234	29	11	33	15	2	2	43	26	8	20	0	3	2	5	7	0	3	12	7	6	0					
		2.41%	3.73%	2.86%	2.87%	1.88%	1.14%	1.03%	3.32%	2.69%	1.52%	1.84%	0.00%	2.91%	2.11%	2.94%	2.04%	0.00%	1.53%	3.96%	2.34%	0.96%	0.00%					
19	. Малышкин Олег Александрович	263	14	14	30	23	3	2	40	23	18	33	6	3	5	3	7	2	5	9	7	16	0					
		2.71%	1.80%	3.64%	2.61%	2.88%	1.71%	1.03%	3.09%	2.38%	3.41%	3.04%	4.72%	2.91%	5.26%	1.76%	2.04%	3.08%	2.55%	2.97%	2.34%	2.57%	0.00%					
20	. Миронов Сергей Михайлович	71	3	2	8	10	0	1	8	5	7	5	2	1	0	4	2	0	3	4	1	5	0					
		0.73%	0.39%	0.52%	0.70%	1.25%	0.00%	0.52%	0.62%	0.52%	1.33%	0.46%	1.57%	0.97%	0.00%	2.35%	0.58%	0.00%	1.53%	1.32%	0.33%	0.80%	0.00%					
21	. Путин Владимир Владимирович	7968	622	324	926	667	151	159	1044	792	459	888	99	85	83	129	284	54	168	222	255	525	32					
		81.99%	80.05%	84.16%	80.59%	83.38%	86.29%	81.96%	80.62%	81.82%	86.93%	81.69%	77.95%	82.52%	87.37%	75.88%	82.80%	83.08%	85.71%	73.27%	85.28%	84.27%	88.89%					
22	. Хакамада Ирина Муцуовна	228	20	3	48	12	7	9	42	19	5	23	3	2	2	0	14	1	3	1	4	9	1					
		2.35%	2.57%	0.78%	4.18%	1.50%	4.00%	4.64%	3.24%	1.96%	0.95%	2.12%	2.36%	1.94%	2.11%	0.00%	4.08%	1.54%	1.53%	0.33%	1.34%	1.44%	2.78%					
23	. Харитонов Николай Михайлович	618	62	22	44	48	6	12	74	61	23	90	12	7	2	25	15	6	9	38	17	45	0					
		6.36%	7.98%	5.71%	3.83%	6.00%	3.43%	6.19%	5.71%	6.30%	4.36%	8.28%	9.45%	6.80%	2.11%	14.71%	4.37%	9.23%	4.59%	12.54%	5.69%	7.22%	0.00%					
																												
24	Против всех	224	18	4	45	15	4	3	32	29	7	14	5	2	1	3	7	1	2	12	4	13	3					
		2.31%	2.32%	1.04%	3.92%	1.88%	2.29%	1.55%	2.47%	3.00%	1.33%	1.29%	3.94%	1.94%	1.05%	1.76%	2.04%	1.54%	1.02%	3.96%	1.34%	2.09%	8.33%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
