Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Суворовская																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686					
1	"Число избирателей, внесенных в списки"	33346	1512	1349	1824	2136	1680	2781	2905	1841	54	490	903	758	570	1641	1613	447	1235	503	539	1025	172	261	309	270	173	118	212	314	119	1033	821	404	446	384	234	319	262	686	154	310	91	84	256	108					
2	"Число бюллетеней, полученных участковыми комиссиями"	33049	1492	1348	1802	2109	1667	2770	2893	1855	80	491	872	758	580	1655	1601	452	1219	501	520	998	171	257	291	269	178	117	209	322	119	1000	715	403	449	372	232	317	265	691	155	303	87	80	265	119					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15058	666	629	882	1097	844	1361	1397	1049	6	204	510	270	253	703	701	188	509	229	258	424	87	100	114	92	57	63	64	106	43	449	435	88	161	129	53	154	95	196	113	107	14	31	97	30					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2400	22	32	23	29	14	19	46	44	48	7	83	21	13	27	28	43	76	12	35	109	28	77	97	90	60	23	88	76	5	59	65	171	114	117	108	61	82	94	25	60	56	17	59	37					
6	Число погашенных бюллетеней	15591	804	687	897	983	809	1390	1450	762	26	280	279	467	314	925	872	221	634	260	227	465	56	80	80	87	61	31	57	140	71	492	215	144	174	126	71	102	88	401	17	136	17	32	109	52					
7	Число бюллетеней в переносных ящиках для голосования	2400	22	32	23	29	14	19	46	44	48	7	83	21	13	27	28	43	76	12	35	109	28	77	97	90	60	23	88	76	5	59	65	171	114	117	108	61	82	94	25	60	56	17	59	37					
8	Число бюллетеней в стационарных ящиках для голосования	15057	666	629	882	1097	844	1360	1397	1049	6	204	510	270	253	703	701	188	509	229	258	424	87	100	114	92	57	63	64	106	43	449	435	88	161	129	53	154	95	196	113	107	14	31	97	30					
9	Число недействительных бюллетеней	365	11	8	17	18	10	30	16	13	1	5	13	10	13	47	8	12	4	7	2	9	4	1	0	0	0	0	1	1	0	72	5	0	5	2	0	3	6	2	1	0	0	1	4	3					
10	Число действительных бюллетеней	17092	677	653	888	1108	848	1349	1427	1080	53	206	580	281	253	683	721	219	581	234	291	524	111	176	211	182	117	86	151	181	48	436	495	259	270	244	161	212	171	288	137	167	70	47	152	64					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	335	15	15	16	20	15	40	42	25	0	3	5	5	5	10	10	5	10	5	5	10	2	3	3	2	2	2	2	3	2	7	5	4	3	3	3	3	3	6	2	3	2	4	3	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	203	14	8	16	16	12	33	29	25	0	1	2	1	2	3	7	0	10	1	3	6	0	1	1	2	0	0	0	3	0	1	1	2	0	0	0	0	0	0	0	1	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	277	3	7	7	9	6	2	3	9	23	1	12	1	2	2	4	2	3	1	7	4	4	5	9	2	2	3	3	1	1	4	95	5	5	4	2	2	2	4	0	1	7	4	2	2					
14	Число погашенных открепительных удостоверений	132	1	7	0	4	3	7	13	0	0	2	3	4	3	7	3	5	0	4	2	4	2	2	2	0	2	2	2	0	2	6	4	2	3	3	3	3	3	6	2	2	2	2	3	2					
15	Число открепительных удостоверений выданных ТИК	30	0	3	6	1	1	1	2	1	0	2	0	0	0	1	1	2	0	0	1	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	"1. ""ЕДИНЕНИЕ"""	212	5	4	6	15	11	12	21	11	0	3	13	4	5	10	7	5	5	0	3	6	1	2	4	6	1	0	5	5	1	4	10	1	6	1	3	0	1	5	1	3	1	0	4	1					
		1.21%	0.72%	0.60%	0.66%	1.33%	1.28%	0.87%	1.45%	1.00%	0.0%	1.42%	2.19%	1.37%	1.87%	1.36%	0.96%	2.16%	0.85%	0.0%	1.02%	1.12%	0.86%	1.12%	1.89%	3.29%	0.85%	0.0%	3.28%	2.74%	2.08%	0.78%	2.0%	0.38%	2.18%	0.40%	1.86%	0.0%	0.56%	1.72%	0.72%	1.79%	1.42%	0.0%	2.56%	1.49%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	549	34	25	35	43	58	64	65	43	1	4	12	6	7	10	23	1	18	5	0	9	6	3	7	3	4	0	0	0	1	4	15	2	7	0	2	3	15	4	3	4	2	0	1	0					
		3.14%	4.94%	3.78%	3.86%	3.81%	6.75%	4.64%	4.50%	3.93%	1.85%	1.89%	2.02%	2.06%	2.63%	1.36%	3.15%	0.43%	3.07%	2.07%	0.0%	1.68%	5.21%	1.69%	3.31%	1.64%	3.41%	0.0%	0.0%	0.0%	2.08%	0.78%	3.0%	0.77%	2.54%	0.0%	1.24%	1.39%	8.47%	1.37%	2.17%	2.39%	2.85%	0.0%	0.64%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	635	19	35	45	32	39	50	46	57	5	3	22	12	10	45	28	9	16	9	13	12	7	3	10	2	4	0	4	5	1	8	10	5	13	9	11	2	6	14	0	3	1	0	9	1					
		3.63%	2.76%	5.29%	4.97%	2.84%	4.54%	3.62%	3.18%	5.21%	9.25%	1.42%	3.70%	4.12%	3.75%	6.16%	3.84%	3.89%	2.73%	3.73%	4.43%	2.25%	6.08%	1.69%	4.73%	1.09%	3.41%	0.0%	2.63%	2.74%	2.08%	1.57%	2.0%	1.93%	4.72%	3.65%	6.83%	0.93%	3.38%	4.82%	0.0%	1.79%	1.42%	0.0%	5.76%	1.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	570	35	28	32	52	40	56	59	64	4	8	18	4	10	13	35	2	9	5	9	11	1	4	2	1	1	2	0	0	0	3	20	3	5	3	4	8	2	10	0	2	2	0	3	0					
		3.26%	5.08%	4.23%	3.53%	4.61%	4.66%	4.06%	4.08%	5.85%	7.40%	3.79%	3.03%	1.37%	3.75%	1.78%	4.80%	0.86%	1.53%	2.07%	3.07%	2.06%	0.86%	2.25%	0.94%	0.54%	0.85%	2.32%	0.0%	0.0%	0.0%	0.59%	4.0%	1.15%	1.81%	1.21%	2.48%	3.72%	1.12%	3.44%	0.0%	1.19%	2.85%	0.0%	1.92%	0.0%					
22	"5. ""За Русь Святую"""	145	13	6	7	9	3	21	10	8	1	4	6	1	2	3	7	2	4	1	1	2	0	0	1	0	3	0	1	4	0	2	2	0	5	3	3	1	1	4	1	1	1	1	0	0					
		0.83%	1.88%	0.90%	0.77%	0.79%	0.34%	1.52%	0.69%	0.73%	1.85%	1.89%	1.01%	0.34%	0.75%	0.41%	0.96%	0.86%	0.68%	0.41%	0.34%	0.37%	0.0%	0.0%	0.47%	0.0%	2.56%	0.0%	0.65%	2.19%	0.0%	0.39%	0.4%	0.0%	1.81%	1.21%	1.86%	0.46%	0.56%	1.37%	0.72%	0.59%	1.42%	2.08%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	48	0	1	4	0	6	4	2	2	0	0	4	1	0	2	6	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	1	1	2	0	1	1	1	0	0	3	0	0	1	0					
		0.27%	0.0%	0.15%	0.44%	0.0%	0.69%	0.29%	0.13%	0.18%	0.0%	0.0%	0.67%	0.34%	0.0%	0.27%	0.82%	0.0%	0.0%	0.41%	0.34%	0.18%	0.0%	0.0%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.2%	0.38%	0.72%	0.0%	0.62%	0.46%	0.56%	0.0%	0.0%	1.79%	0.0%	0.0%	0.64%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	124	9	4	7	10	6	21	8	3	0	3	3	5	2	7	8	0	5	1	3	3	1	1	3	0	0	0	1	2	0	0	1	1	2	2	1	0	1	0	0	0	0	0	0	0					
		0.71%	1.30%	0.60%	0.77%	0.88%	0.69%	1.52%	0.55%	0.27%	0.0%	1.42%	0.50%	1.71%	0.75%	0.95%	1.09%	0.0%	0.85%	0.41%	1.02%	0.56%	0.86%	0.56%	1.42%	0.0%	0.0%	0.0%	0.65%	1.09%	0.0%	0.0%	0.2%	0.38%	0.72%	0.81%	0.62%	0.0%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	47	3	3	1	2	3	4	3	5	0	0	1	0	0	2	0	1	1	0	0	3	0	0	2	0	0	0	0	0	0	0	1	1	4	1	1	0	2	3	0	0	0	0	0	0					
