Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Исилькульская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №712	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31502	898	1550	1077	1332	1084	1053	1009	1211	1096	925	1449	1259	1087	839	821	675	716	658	116	141	176	1121	254	236	117	251	184	291	258	705	309	1006	197	157	270	278	643	184	65	59	512	157	592	589	1534	423	192	200	192	129	189	1036									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29655	920	1450	1000	1250	950	1000	950	1100	1050	900	1400	1200	950	750	750	600	600	650	110	130	170	1000	230	200	120	250	180	250	240	700	300	1000	200	150	250	270	600	180	70	65	500	150	500	580	1500	400	180	180	180	170	180	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13932	332	493	383	458	382	411	506	461	424	458	463	409	340	255	283	221	243	316	62	37	76	561	211	145	106	207	153	201	170	395	245	444	88	85	138	131	301	115	40	42	313	76	264	337	746	245	118	130	136	126	152	498									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1086	13	18	19	14	41	29	36	30	46	38	25	34	103	19	37	42	29	24	3	22	12	69	7	0	0	3	0	0	0	29	0	39	9	0	4	8	46	8	5	1	28	12	21	31	34	5	19	12	0	3	0	59									
6	Число погашенных избирательных бюллетеней	14637	575	939	598	778	527	560	408	609	580	404	912	757	507	476	430	337	328	310	45	71	82	370	12	55	14	40	27	49	70	276	55	517	103	65	108	131	253	57	25	22	159	62	215	212	720	150	43	38	44	41	28	443									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1086	13	18	19	14	41	29	36	30	46	38	25	34	103	19	37	42	29	24	3	22	12	69	7	0	0	3	0	0	0	29	0	39	9	0	4	8	46	8	5	1	28	12	21	31	34	5	19	12	0	3	0	59									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13932	332	493	383	458	382	411	506	461	424	458	463	409	340	255	283	221	243	316	62	37	76	561	211	145	106	207	153	201	170	395	245	444	88	85	138	131	301	115	40	42	313	76	264	337	746	245	118	130	136	126	152	498									
9	Число недействительных избирательных бюллетеней	397	15	19	6	7	8	13	15	10	18	9	16	19	12	6	13	4	6	5	0	2	5	18	4	3	5	0	2	0	3	9	1	23	0	8	1	10	4	0	1	0	9	7	5	8	24	10	0	8	0	0	0	26									
10	Число действительных избирательных бюллетеней	14621	330	492	396	465	415	427	527	481	452	487	472	424	431	268	307	259	266	335	65	57	83	612	214	142	101	210	151	201	167	415	244	460	97	77	141	129	343	123	44	43	332	81	280	360	756	240	137	134	136	129	152	531									
