Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    Краснокутская																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26841	957	780	911	787	885	764	966	896	924	717	440	814	1001	1072	469	410	291	393	1374	694	672	256	456	578	479	734	643	620	980	473	540	879	890	577	608	532	814	565									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27413	977	794	924	788	907	788	968	979	1017	734	450	834	987	1041	466	416	299	390	1310	730	698	263	486	595	488	790	666	644	931	499	566	875	872	644	623	567	823	584									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13937	395	334	367	344	436	371	406	417	340	329	222	259	433	583	230	205	145	202	623	335	354	135	298	302	341	390	434	450	510	286	355	538	557	378	423	318	369	523									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1263	46	28	20	14	39	54	21	23	45	10	15	31	28	15	10	3	13	24	105	43	18	15	21	14	30	43	59	23	122	27	25	44	95	45	24	19	10	42									
6	Число погашенных избирательных бюллетеней	12213	536	432	537	430	432	363	541	539	632	395	213	544	526	443	226	208	141	164	582	352	326	113	167	279	117	357	173	171	299	186	186	293	220	221	176	230	444	19									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1263	46	28	20	14	39	54	21	23	45	10	15	31	28	15	10	3	13	24	105	43	18	15	21	14	30	43	59	23	122	27	25	44	95	45	24	19	10	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13935	395	334	367	344	436	371	406	417	340	329	222	259	433	581	230	205	145	202	623	335	354	135	298	302	341	390	434	450	510	286	355	538	557	378	423	318	369	523									
9	Число недействительных избирательных бюллетеней	365	19	5	6	9	20	5	7	7	5	3	2	7	9	22	3	8	2	0	33	4	15	2	7	4	4	26	16	17	4	3	6	15	14	11	7	8	23	7									
10	Число действительных избирательных бюллетеней	14833	422	357	381	349	455	420	420	433	380	336	235	283	452	574	237	200	156	226	695	374	357	148	312	312	367	407	477	456	628	310	374	567	638	412	440	329	356	558									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	516	12	9	12	9	13	12	12	11	12	14	5	10	15	10	5	5	4	11	26	9	29	7	5	7	6	27	18	8	18	5	12	50	21	41	12	17	10	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	516	12	9	12	9	13	12	12	11	12	14	5	10	15	10	5	5	4	11	26	9	29	7	5	7	6	27	18	8	18	5	12	50	21	41	12	17	10	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	0	2	10	4	3	4	1	1	1	2	1	0	1	0	1	0	4	0	1	0	3	2	1	1	1	2	0	1	2	0	2	4	2	3	3	1	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	134	6	5	2	3	3	7	4	3	2	3	3	6	4	2	1	1	0	2	6	1	0	0	2	9	0	2	3	2	1	0	0	4	3	14	2	20	3	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	121	2	6	4	1	4	3	7	8	3	4	4	1	7	6	3	3	7	3	6	3	3	1	1	4	3	2	1	1	2	3	1	1	6	1	1	1	3	1									
		0.80%	0.45%	1.66%	1.03%	0.28%	0.84%	0.71%	1.64%	1.82%	0.78%	1.18%	1.69%	0.34%	1.52%	1.01%	1.25%	1.44%	4.43%	1.33%	0.82%	0.79%	0.81%	0.67%	0.31%	1.27%	0.81%	0.46%	0.20%	0.21%	0.32%	0.96%	0.26%	0.17%	0.92%	0.24%	0.22%	0.30%	0.79%	0.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	401	12	10	6	7	10	10	15	13	8	11	6	6	14	12	4	4	8	13	21	6	13	6	8	13	12	17	9	6	20	11	13	17	19	7	13	6	9	6									
		2.64%	2.72%	2.76%	1.55%	1.96%	2.11%	2.35%	3.51%	2.95%	2.08%	3.24%	2.53%	2.07%	3.04%	2.01%	1.67%	1.92%	5.06%	5.75%	2.88%	1.59%	3.49%	4.00%	2.51%	4.11%	3.23%	3.93%	1.83%	1.27%	3.16%	3.51%	3.42%	2.92%	2.91%	1.65%	2.91%	1.78%	2.37%	1.06%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	220	8	7	13	4	6	8	7	14	12	15	4	5	14	9	7	4	1	7	5	3	2	2	5	8	5	2	3	5	9	4	8	4	2	0	0	2	4	2									
		1.45%	1.81%	1.93%	3.36%	1.12%	1.26%	1.88%	1.64%	3.18%	3.12%	4.42%	1.69%	1.72%	3.04%	1.51%	2.92%	1.92%	0.63%	3.10%	0.69%	0.79%	0.54%	1.33%	1.57%	2.53%	1.35%	0.46%	0.61%	1.06%	1.42%	1.28%	2.11%	0.69%	0.31%	0.00%	0.00%	0.59%	1.06%	0.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9652	210	213	203	213	252	224	215	208	227	179	128	153	244	351	129	124	56	122	457	286	225	105	225	158	288	319	386	355	455	197	258	348	439	359	396	257	199	489									
		63.51%	47.62%	58.84%	52.45%	59.50%	53.05%	52.71%	50.35%	47.27%	58.96%	52.80%	54.01%	52.76%	52.93%	58.89%	53.75%	59.62%	35.44%	53.98%	62.77%	75.66%	60.48%	70.00%	70.53%	50.00%	77.63%	73.67%	78.30%	75.05%	71.99%	62.94%	67.89%	59.79%	67.33%	84.87%	88.59%	76.26%	52.51%	86.55%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	70	1	0	4	6	1	4	2	3	1	3	2	0	6	9	0	1	2	0	6	0	1	2	2	0	0	1	1	1	2	1	2	1	2	0	0	0	1	2									
