Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Киквидзенская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12746	2059	1651	171	380	131	760	164	112	437	86	547	116	953	762	423	373	1792	629	594	270	336									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12840	2100	1650	170	380	130	750	160	110	430	80	550	120	950	750	440	390	1850	630	600	270	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5775	1053	675	128	239	61	288	86	56	232	43	208	53	394	211	201	188	697	342	249	160	211									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1046	155	96	30	21	10	42	9	8	32	6	78	4	83	73	21	27	112	128	73	14	24									
6	Число погашенных избирательных бюллетеней	6019	892	879	12	120	59	420	65	46	166	31	264	63	473	466	218	175	1041	160	278	96	95									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1046	155	96	30	21	10	42	9	8	32	6	78	4	83	73	21	27	112	128	73	14	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5770	1049	675	128	239	61	288	86	56	232	43	208	53	394	210	201	188	697	342	249	160	211									
9	Число недействительных избирательных бюллетеней	124	17	16	1	5	1	13	6	1	4	5	4	4	8	5	1	3	20	4	2	4	0									
10	Число действительных избирательных бюллетеней	6692	1187	755	157	255	70	317	89	63	260	44	282	53	469	278	221	212	789	466	320	170	235									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	70	60	7	15	5	30	7	5	18	5	22	5	40	30	18	16	70	25	25	10	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	228	70	16	0	4	0	3	0	3	4	5	14	0	3	4	18	16	60	5	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	60	12	4	0	1	1	1	1	2	7	5	2	2	1	1	2	3	4	3	1	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	272	0	44	7	11	5	27	7	2	14	0	8	5	37	26	0	0	10	20	23	9	17									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	1	2	0	0	0	2	0	0	0	0	2	0	1	1	0	1	1	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	6	6	0	1	0	1	1	1	1	0	2	0	7	0	2	1	2	4	2	4	1									
		0.62%	0.50%	0.78%	0.00%	0.38%	0.00%	0.30%	1.05%	1.56%	0.38%	0.00%	0.70%	0.00%	1.47%	0.00%	0.90%	0.47%	0.25%	0.85%	0.62%	2.30%	0.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	192	28	24	0	7	0	10	3	1	6	0	4	1	9	18	4	6	32	15	15	5	4									
		2.82%	2.33%	3.11%	0.00%	2.69%	0.00%	3.03%	3.16%	1.56%	2.27%	0.00%	1.40%	1.75%	1.89%	6.36%	1.80%	2.79%	3.96%	3.19%	4.66%	2.87%	1.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	109	20	16	0	9	0	4	0	1	3	2	1	0	5	1	5	9	19	2	5	2	5									
