Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Бийск, Приобская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85779	799	980	1335	1575	876	1399	2266	2558	2550	1570	1694	1984	1535	1376	1532	1325	1956	1733	1439	2015	1371	1192	2265	1956	1844	1051	2176	2065	1527	3166	1944	2196	2200	2260	1995	1435	2222	1489	2296	2426	2775	2527	2327	1823	1462	1541	1751									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82300	800	900	1300	1500	800	1200	2000	2300	2300	1600	1700	1800	1400	1300	1500	1200	1800	1700	1400	2000	1300	1200	2200	1700	1800	1000	2100	2000	1500	3000	1900	2200	2200	2200	1900	1400	2200	1400	2300	2400	2700	2500	2300	1800	1500	1400	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28220	188	200	293	412	304	317	588	726	721	344	687	729	411	523	565	444	570	530	508	514	531	424	864	622	605	407	799	645	413	924	724	760	666	761	862	564	895	570	863	956	812	897	809	561	480	586	646									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	623	13	13	10	41	12	3	29	7	20	2	14	12	10	15	11	9	18	10	27	4	6	7	40	40	20	5	8	28	2	15	18	8	5	9	19	7	31	9	2	7	11	11	4	5	19	2	5									
6	Число погашенных избирательных бюллетеней	53457	599	687	997	1047	484	880	1383	1567	1559	1254	999	1059	979	762	924	747	1212	1160	865	1482	763	769	1296	1038	1175	588	1293	1327	1085	2061	1158	1432	1529	1430	1019	829	1274	821	1435	1437	1877	1592	1487	1234	1001	812	1049									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	623	13	13	10	41	12	3	29	7	20	2	14	12	10	15	11	9	18	10	27	4	6	7	40	40	20	5	8	28	2	15	18	8	5	9	19	7	31	9	2	7	11	11	4	5	19	2	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28216	188	200	293	412	304	317	588	726	721	344	687	729	411	523	564	443	570	530	508	514	531	424	864	622	605	407	799	645	413	924	724	760	666	761	862	564	893	570	863	956	812	897	809	561	480	586	646									
9	Число недействительных избирательных бюллетеней	828	10	3	8	15	10	10	16	21	21	10	12	21	13	22	17	16	18	11	13	20	24	17	35	22	16	16	24	19	18	26	17	37	13	22	14	15	16	11	23	25	25	23	21	14	13	21	14									
10	Число действительных избирательных бюллетеней	28011	191	210	295	438	306	310	601	712	720	336	689	720	408	516	558	436	570	529	522	498	513	414	869	640	609	396	783	654	397	913	725	731	658	748	867	556	908	568	842	938	798	885	792	552	486	567	637									
